doc,page,url,schematic,parts
0,1,https://vk3ye.com/projects/index.htm,0,2
1,1,https://vk3ye.com/gateway/nofeb97.htm,0,1
10,1,https://vk3ye.com/projects/dcfmsch.gif,1,2
11,1,https://vk3ye.com/projects/can.gif,1,3
12,1,https://vk3ye.com/projects/6mcon.gif,0,2
13,1,https://vk3ye.com/projects/lunch.gif,1,2
14,1,https://vk3ye.com/projects/2v40.gif,1,2
15,1,https://vk3ye.com/projects/vxo.gif,0,1
16,1,https://vk3ye.com/projects/80dsb.gif,1,4
17,1,https://vk3ye.com/projects/keymon.gif,0,2
18,1,https://vk3ye.com/gateway/schmor.gif,0,1
19,1,https://vk3ye.com/projects/psu.gif,0,2
1a,1,https://vk3ye.com/gateway/xtal.gif,0,1
1b,1,https://vk3ye.com/gateway/cap.gif,1,2
1c,1,https://vk3ye.com/projects/dip.gif,0,1
1d,1,https://vk3ye.com/projects/gen.gif,1,3
1e,1,https://vk3ye.com/projects/twotone.gif,1,1
1f,1,https://vk3ye.com/gateway/lmatch.gif,0,1
1g,1,https://vk3ye.com/projects/magloop.gif,0,1
2,1,https://vk3ye.com/gateway/nooct98.htm,0,1
3,1,https://vk3ye.com/gateway/noapr96.htm,0,1
4,1,https://vk3ye.com/gateway/noapr00.htm,0,1
5,1,https://vk3ye.com/gateway/nodec99.htm,0,1
6,1,https://vk3ye.com/technical/troubleshooting.htm,0,1
7,1,https://vk3ye.com/technical/modules.htm,0,1
8,1,https://vk3ye.com/gateway/firsthf.htm,0,1
9,1,https://vk3ye.com/projects/projbitx.htm,0,1
a,1,https://vk3ye.com/projects/projubitx.htm,0,1
b,1,https://vk3ye.com/projects/projpixie.htm,0,1
c,1,https://vk3ye.com/qrp/possible.htm,0,1
d,1,https://vk3ye.com/qrp/equipment.htm,0,14
e,1,https://vk3ye.com/qrp/gear.htm,0,8
f,1,https://vk3ye.com/projects/projparts.htm,0,12
g,1,https://vk3ye.com/projects/pixiehack.htm,0,1
h,1,https://vk3ye.com/gateway/nodec00.htm,0,2
i,1,https://vk3ye.com/projects/projcry.htm,0,1
j,1,https://www.vk3ye.com/projects/projamrec.htm,0,1
k,1,https://vk3ye.com/gateway/nonov99.htm,0,6
l,1,https://vk3ye.com/projects/projsuper.htm,0,1
m,1,https://vk3ye.com/projects/projchirpy.htm,0,1
n,1,https://vk3ye.com/projects/projhighlevel.htm,0,1
o,1,https://vk3ye.com/projects/projbeach40.htm,0,2
p,1,https://vk3ye.com/projects/projssbphasing.htm,0,4
q,1,https://vk3ye.com/projects/projafamp.htm,0,1
r,1,https://vk3ye.com/gateway/noapr97.htm,0,6
s,1,https://vk3ye.com/projects/crystal.gif,0,4
t,1,https://vk3ye.com/gateway/moor.gif,1,3
u,1,https://vk3ye.com/gateway/moorct.jpg,1,1
v,1,http://vk3ye.com/projects/crystal.gif,0,4
w,1,https://vk3ye.com/projects/projam.gif,0,1
x,1,https://vk3ye.com/projects/dcrx.gif,1,3
y,1,https://vk3ye.com/projects/s80.gif,1,3
z,1,https://vk3ye.com/projects/bfo.gif,0,1
