doc,page,url,schematic,parts
0,1,https://xdevs.com/article/kx-ref/,0,10
1,1,https://xdevs.com/article/792x/,0,5
10,1,https://xdevs.com/doc/xDevs.com/Neutron/sch/sch_dacs.png,1,1
11,1,https://xdevs.com/doc/xDevs.com/Neutron/sch/sch_adc.png,1,1
12,1,https://xdevs.com/doc/xDevs.com/Neutron/sch/sch_ldet.png,1,3
13,1,https://xdevs.com/doc/xDevs.com/Neutron/sch/sch_ldoneg.png,1,1
14,1,https://xdevs.com/article/rf2023/,0,9
15,1,https://xdevs.com/article/calfest-2022/,0,2
16,1,https://xdevs.com/article/si2019/,0,1
17,1,https://xdevs.com/article/f742a/,0,1
18,1,https://xdevs.com/article/fsl935/,0,1
19,1,https://xdevs.com/review/sr104,0,1
1a,80,"https://xdevs.com/doc/Keithley/2002/2002-905-01.pdf#page=80&zoom=200,138,265&h=792",0,1
1b,11,"https://xdevs.com/doc/Keithley/2002/SPEC-2002.pdf#page=11&zoom=200,13,417&h=792",0,1
1c,1,https://xdevs.com/doc/HP_Agilent_Keysight/3458A/img_sg/sg3458_a6in.jpg,1,2
1d,1,https://xdevs.com/doc/HP_Agilent_Keysight/3458A/img_sg/sg3458_paff.jpg,1,1
1e,1,https://xdevs.com/doc/HP_Agilent_Keysight/3458A/img_sg/sg3458_a6in_1.jpg,1,2
1f,1,https://xdevs.com/doc/HP_Agilent_Keysight/3458A/img_sg/sg3458_paff_1.jpg,1,1
1g,1,https://xdevs.com/doc/xDevs.com/CalFest_2022/hp3245_ianj_adr1399.jpg,1,1
1h,1,https://xdevs.com/doc/xDevs.com/X7000/x7000_refs.jpg,1,2
1i,275,"https://xdevs.com/doc/Tinsley/5685A/tinsley_catalog_website_copy_2002.pdf#page=275&zoom=200,0,116&h=792",0,1
1i,276,"https://xdevs.com/doc/Tinsley/5685A/tinsley_catalog_website_copy_2002.pdf#page=276&zoom=200,153,446&h=792",0,1
1i,284,"https://xdevs.com/doc/Tinsley/5685A/tinsley_catalog_website_copy_2002.pdf#page=284&zoom=200,0,453&h=792",0,1
1i,286,"https://xdevs.com/doc/Tinsley/5685A/tinsley_catalog_website_copy_2002.pdf#page=286&zoom=200,0,451&h=792",0,1
1i,287,"https://xdevs.com/doc/Tinsley/5685A/tinsley_catalog_website_copy_2002.pdf#page=287&zoom=200,0,571&h=792",0,1
1j,1,https://xdevs.com/doc/Tinsley/5685A/mi6010rfm_rs_t5685_10r_rx_xg9330_100_tcr_3458a_sr1010_r2_jan2025.png,0,1
1k,1,https://xdevs.com/doc/Tinsley/5648/t5648_topi.jpg,1,3
1l,1,https://xdevs.com/doc/Tinsley/5648/t5648_froes.jpg,0,1
1m,1,https://xdevs.com/doc/Tinsley/5685A/mi6010rfm_rs_t5685_10r_rx_xg9330_100_tcr_3458a_sr1010_r2_jan2025_1.png,0,1
1n,1,https://xdevs.com/doc/Tinsley/5648/t5648_topi_1.jpg,1,2
1o,1,https://xdevs.com/doc/Tinsley/5648/t5646_psu_sch.png,0,1
1p,1,https://xdevs.com/doc/Tinsley/5648/t5646_sch.png,1,1
1q,14,"https://xdevs.com/doc/Fluke/742/FLUKE_742A_Series_INSTR.pdf#page=14&zoom=200,268,150&h=792",0,1
1r,55,"https://xdevs.com/doc/Fluke/5700a/5700A_old_sm.pdf#page=55&zoom=200,113,82&h=792",0,3
1r,62,"https://xdevs.com/doc/Fluke/5700a/5700A_old_sm.pdf#page=62&zoom=200,89,48&h=792",0,1
