doc,page,url,schematic,parts
0,1,https://yusynth.net/Modular/EN/STEINERVCF/index-V2.html,0,4
1,1,https://yusynth.net/Modular/EN/MIXOUT/index.html,0,10
10,1,https://yusynth.net/Modular/FR/VCO/index.html,0,17
11,1,https://yusynth.net/Modular/FR/NOISE/index.html,0,7
12,1,https://yusynth.net/Modular/FR/STANDARDS/index.html,0,1
13,1,https://yusynth.net/Modular/FR/MINMAX/index.html,0,3
14,1,https://yusynth.net/Modular/EN/ADSR/index_old.html,0,4
15,1,https://yusynth.net/Modular/EN/ADSR/index_latest.html,0,5
16,1,https://yusynth.net/Modular/FR/AUTOBEND/index.html,0,4
17,1,https://yusynth.net/Modular/FR/DUALSLEW/index.html,0,5
18,1,https://yusynth.net/Modular/FR/QUAD-LFO/index.html,0,4
19,1,https://yusynth.net/Modular/FR/RINGMOD/index.html,0,3
1a,1,https://yusynth.net/Modular/EN/RINGMOD/index_old.html,0,3
1b,1,https://yusynth.net/Modular/FR/VCA/index.html,0,6
1c,1,https://yusynth.net/Modular/EN/MIXER/Mixer-1U.html,0,4
1d,1,https://yusynth.net/Modular/EN/MIXER/Mixer-2U.html,0,4
1e,1,https://yusynth.net/Modular/FR/GATEDELAY/index.html,0,5
1f,1,https://yusynth.net/Modular/FR/PULSEDELAY/index.html,0,2
1g,1,https://yusynth.net/Modular/FR/RANDOMGATE/index.html,0,5
1h,1,https://yusynth.net/Modular/FR/DIVIDER/index.html,0,2
1i,1,https://yusynth.net/Modular/FR/COMPARATORS/index.html,0,2
1j,1,https://yusynth.net/Modular/FR/LOGICAL/index.html,0,2
1k,1,https://yusynth.net/Modular/index.html,0,7
1l,1,https://yusynth.net/Modular/FR/LFO/VC-LFO1.html,0,6
1m,1,https://yusynth.net/Modular/FR/LFO/VC-LFO2.html,0,7
1n,1,https://yusynth.net/Modular/FR/ADSR/index_old.html,0,4
1o,1,https://yusynth.net/Modular/FR/ADSR/index_new.html,0,5
1p,1,https://yusynth.net/Modular/FR/RINGMOD/index_old.html,0,3
1q,1,https://yusynth.net/Modular/FR/MIXER/Mixer-1U.html,0,4
1r,1,https://yusynth.net/Modular/FR/MIXER/Mixer-2U.html,0,4
1s,1,https://yusynth.net/Modular/EN/ADSR/index_new.html,0,4
1t,1,https://yusynth.net/Modular/Commun/STEINERVCF/Steiner-improved-sch.gif,1,3
1u,1,https://yusynth.net/Modular/Commun/STEINERVCF/Steiner-improved-LAYOUT2-5U.jpg,1,2
1v,1,https://yusynth.net/Modular/Commun/STEINERVCF/Steiner-improved-LAYOUT2-Euro.jpg,1,2
1w,1,https://yusynth.net/Modular/Commun/STEINERVCF/Steiner-improved-SILK.jpg,1,1
1x,1,https://yusynth.net/Modular/Commun/STEINERVCF/Steiner-improved-COMP-LAY1.gif,1,3
1y,1,https://yusynth.net/Modular/Commun/STEINERVCF/3096-COMP-LAY1.gif,1,2
1z,1,"https://yusynth.net/Modular/Commun/STEINERVCF/Steiner-improved-sch.pdf#page=1&zoom=200,322,337&h=612",1,3
2,1,https://yusynth.net/Modular/EN/STEINERVCF/index.html,0,8
20,2,"https://yusynth.net/archives/ElectronicDesign/N-Steiner-VCF-1974.pdf#page=2&zoom=200,407,37&h=501",1,5
21,1,https://yusynth.net/Modular/Commun/STEINERVCF/Steiner-improved-wiring.jpg,1,2
22,1,https://yusynth.net/Modular/Commun/MIXOUT/mixout-panner-sch.gif,1,6
23,1,https://yusynth.net/Modular/Commun/MIXOUT/mixout-output-sch.gif,1,5
24,1,https://yusynth.net/Modular/Commun/MIXOUT/mixout-panner-COMP-LAY1.gif,1,5
25,1,https://yusynth.net/Modular/Commun/MIXOUT/mixout-panner-layout.jpg,1,4
26,1,https://yusynth.net/Modular/Commun/MIXOUT/mixout-output-layout.jpg,1,3
27,1,"https://yusynth.net/Modular/Commun/MIXOUT/mixout-panner-sch.pdf#page=1&zoom=200,338,53&h=595",1,4
28,1,https://yusynth.net/Modular/Commun/MIXOUT/mixout-output-SILK.jpg,1,3
29,1,https://yusynth.net/Modular/Commun/MIXOUT/mixout-output-COMP-LAY1.gif,1,5
2a,1,"https://yusynth.net/Modular/Commun/MIXOUT/mixout-output-sch.pdf#page=1&zoom=200,472,152&h=595",1,5
2b,1,https://yusynth.net/Modular/Commun/STEINERVCF/VCF-CA3096-sch.gif,1,3
2c,1,https://yusynth.net/Modular/Commun/STEINERVCF/VCF-2SC1583-sch.gif,1,4
2d,1,https://yusynth.net/Modular/Commun/STEINERVCF/LAYOUT-3096.jpg,0,2
2e,1,"https://yusynth.net/Modular/Commun/STEINERVCF/VCF-CA3096-sch.pdf#page=1&zoom=200,356,241&h=612",1,4
2f,1,https://yusynth.net/Modular/Commun/STEINERVCF/LAYOUT-1583.jpg,0,3
2g,1,https://yusynth.net/Modular/Commun/STEINERVCF/1583-COMP-LAY1.gif,1,2
