part,documents,pages,uses,sources
0B2,29,32,32,bartola electronics_world_us elektor pmillett popular_electronics radio_electronics radio_tv_experimenter techlib wireless_world
0B2C,1,1,1,wireless_world
0B2E,1,1,1,wireless_world
0B2F,2,2,2,everyday_electronics practical_electronics
0B2H,2,2,2,elektor elmchan
0D3,47,58,58,books djerickson el34world elementary_electronics elmchan hobbyist_specials popular_electronics radio_electronics radio_tv_experimenter synfo techlib wireless_world
0D3A,3,3,3,elektor pmillett practical_electronics
0D3C,1,1,1,elektor
0D3E,2,2,2,elektor practical_electronics
0D3H,2,2,2,eti_uk synfo
12AH7,9,10,10,el34world radio_constructor radio_electronics schematicheaven wireless_world
12AH7GT,3,3,3,radio_electronics wireless_world
12AK7,10,10,10,drtube el34world schematicheaven
12AK7WA,2,2,2,el34world schematicheaven
12AN7,1,1,1,radio_electronics
12AT7,991,1561,1561,bartola books el34world electronics_illustrated electronics_world_us elektor elementary_electronics esp eti_uk everyday_electronics expanon hobbyist_specials passdiy pisotones pmillett popular_electronics practical_electronics practical_wireless radio_constructor radio_electronics radio_tv_experimenter schematicheaven thetubestore tubecad valvewizard vintagefender wireless_world
12AT7WA,3,3,3,el34world schematicheaven valvewizard
12AU6,71,80,80,el34world electronics_illustrated electronics_world_us hobbyist_specials popular_electronics radio_constructor radio_electronics schematicheaven
12AU7,955,1495,1495,books drtube el34world electronics_illustrated electronics_world_us elektor elementary_electronics esp eti_uk everyday_electronics expanon hobbyist_specials pisotones pmillett popular_electronics practical_electronics practical_wireless radio_constructor radio_electronics radio_tv_experimenter schematicheaven schmitzbits sjostrom tubecad valvewizard wireless_world
12AU7A,84,89,89,books drtube el34world electronics_illustrated electronics_world_us expanon pmillett popular_electronics radio_electronics radio_tv_experimenter schematicheaven valvewizard
12AU7ETC,1,1,1,radio_electronics
12AU7FIL,1,1,1,radio_electronics
12AU7IS,1,1,1,radio_electronics
12AU7WA,1,1,1,valvewizard
12AV6,98,133,133,books el34world electronics_illustrated electronics_world_us elementary_electronics expanon hobbyist_specials popular_electronics radio_electronics radio_tv_experimenter schematicheaven wireless_world
12AV7,39,48,48,el34world electronics_illustrated electronics_world_us popular_electronics radio_electronics tubecad valvewizard
12AX7,2478,3588,3588,bartola books djerickson drtube el34world electronics_illustrated electronics_world_us elektor elementary_electronics esp eti_uk everyday_electronics expanon firstwatt hobbyist_specials passdiy pisotones pmillett popular_electronics practical_electronics practical_wireless radio_constructor radio_electronics radio_tv_experimenter redcircuits schematicheaven schmitzbits sjostrom thetubestore tubecad valvewizard vintagefender wireless_world
12AX7A,327,446,446,books el34world electronics_illustrated electronics_world_us elektor esp eti_uk everyday_electronics expanon hobbyist_specials pisotones radio_electronics radio_tv_experimenter schematicheaven thetubestore valvewizard vintagefender
