key,url,role,type,http,bytes,sha256,download_at,n_pages,text_method,ocr_at,ocr_v,index_at,index_v,linkcheck_at,link_ok,skip_reason
http://buildyourguitar.com/resources/lemme/#helmuth-lemme-the-secrets-of-electric-guitar-pickups,http://buildyourguitar.com/resources/lemme/,book,local,,,,2026-09-20,9,ocr+text,2026-09-20,ocr+text-1,2026-09-20,parts-2026-09-20f,,,
http://synth.stromeko.net/diy/OTA.pdf#achim-gratz-operational-transconductance-amplifiers,http://synth.stromeko.net/diy/OTA.pdf,book,local,,,,2026-09-20,20,ocr+text,2026-09-20,ocr+text-1,2026-09-20,parts-2026-09-20f,2026-09-20,,
http://www.aeroelectric.com/Reference_Docs/Books/Electronics%20Fundamentals%20Circuits%20Devices%20and%20Applications%208th%20Edition%20By%20David%20M%20Buchla%20and%20Thomas%20L%20Floyd.pdf#floyd-buchla-electronics-fundamentals-8th-ed,http://www.aeroelectric.com/Reference_Docs/Books/Electronics%20Fundamentals%20Circuits%20Devices%20and%20Applications%208th%20Edition%20By%20David%20M%20Buchla%20and%20Thomas%20L%20Floyd.pdf,book,local,,,,2026-09-20,1065,ocr+text,2026-09-20,ocr+text-1,2026-09-20,parts-2026-09-20f,2026-09-20,,
http://www.guitarstudio.tv/documents/Designing-V-T-Amplifiers.pdf#charles-couch-designing-vacuum-tube-amplifiers,http://www.guitarstudio.tv/documents/Designing-V-T-Amplifiers.pdf,book,local,,,,2026-09-20,318,ocr+text,2026-09-20,ocr+text-1,2026-09-20,parts-2026-09-20f,2026-09-20,,
http://www.tubebooks.org/books/electronic_amplifiers.pdf#pettit-mcwhorter-electronic-amplifier-circuits,http://www.tubebooks.org/books/electronic_amplifiers.pdf,book,local,,,,2026-09-20,340,ocr+text,2026-09-20,ocr+text-1,2026-09-20,parts-2026-09-20f,2026-09-20,,
https://archive.org/details/AnalysisAndDesignOfAnalogIntegratedCircuits#gray-meyer-analysis-and-design-of-analog-integrated-circuits,https://archive.org/details/AnalysisAndDesignOfAnalogIntegratedCircuits,book,local,,,,2026-09-20,897,ocr+text,2026-09-20,ocr+text-1,2026-09-20,parts-2026-09-20f,,,
https://archive.org/details/BasicElectronicsVolumes151955#van-valkenburgh-nooger-neville-basic-electronics-vols-1-5-1955,https://archive.org/details/BasicElectronicsVolumes151955,book,local,,,,2026-09-20,570,ocr+text,2026-09-20,ocr+text-1,2026-09-20,parts-2026-09-20f,2026-09-20,,
https://archive.org/details/CapacitorSound#cyril-bateman-capacitor-sound,https://archive.org/details/CapacitorSound,book,local,,,,2026-09-20,48,ocr+text,2026-09-20,ocr+text-1,2026-09-20,parts-2026-09-20f,,,
https://archive.org/details/CherryHooperAmplifyingDevicesAndLowPassAmplifierDesign1968RR#cherry-hooper-amplifying-devices-and-low-pass-amplifier-design-1968,https://archive.org/details/CherryHooperAmplifyingDevicesAndLowPassAmplifierDesign1968RR,book,local,,,,2026-09-20,1070,ocr+text,2026-09-20,ocr+text-1,2026-09-20,parts-2026-09-20f,,,
https://archive.org/details/EngineersNotebookIIAHandbook#forrest-mims-iii-engineer-s-notebook-ii,https://archive.org/details/EngineersNotebookIIAHandbook,book,local,,,,2026-09-20,128,ocr+text,2026-09-20,ocr+text-1,2026-09-20,parts-2026-09-20f,,,
