key,url,role,type,http,bytes,sha256,download_at,n_pages,text_method,ocr_at,ocr_v,index_at,index_v,linkcheck_at,link_ok,skip_reason
https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201975-02,,issue,local,,,,2026-09-19,55,ocr+text,2026-09-19,ocr+text-1,2026-09-20,parts-2026-09-20f,2026-09-20,,
https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201975-07_08,,issue,local,,,,2026-09-19,51,ocr+text,2026-09-19,ocr+text-1,2026-09-20,parts-2026-09-20f,2026-09-20,,
https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201975-09,,issue,local,,,,2026-09-19,49,ocr+text,2026-09-19,ocr+text-1,2026-09-20,parts-2026-09-20f,2026-09-20,,
https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201976-01,,issue,local,,,,2026-09-19,46,ocr+text,2026-09-19,ocr+text-1,2026-09-20,parts-2026-09-20f,2026-09-20,,
https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201976-02,,issue,local,,,,2026-09-19,50,ocr+text,2026-09-19,ocr+text-1,2026-09-20,parts-2026-09-20f,2026-09-20,,
https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201976-03,,issue,local,,,,2026-09-19,52,ocr+text,2026-09-19,ocr+text-1,2026-09-20,parts-2026-09-20f,2026-09-20,,
https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201976-04,,issue,local,,,,2026-09-19,54,ocr+text,2026-09-19,ocr+text-1,2026-09-20,parts-2026-09-20f,2026-09-20,,
https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201976-05,,issue,local,,,,2026-09-19,55,ocr+text,2026-09-19,ocr+text-1,2026-09-20,parts-2026-09-20f,2026-09-20,,
https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201976-07_08,,issue,local,,,,2026-09-19,63,ocr+text,2026-09-19,ocr+text-1,2026-09-20,parts-2026-09-20f,2026-09-20,,
https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201976-09,,issue,local,,,,2026-09-19,49,ocr+text,2026-09-19,ocr+text-1,2026-09-20,parts-2026-09-20f,2026-09-20,,
https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201976-10,,issue,local,,,,2026-09-19,50,ocr+text,2026-09-19,ocr+text-1,2026-09-20,parts-2026-09-20f,2026-09-20,,
https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201976-11,,issue,local,,,,2026-09-19,49,ocr+text,2026-09-19,ocr+text-1,2026-09-20,parts-2026-09-20f,2026-09-20,,
https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201976-12,,issue,local,,,,2026-09-19,49,ocr+text,2026-09-19,ocr+text-1,2026-09-20,parts-2026-09-20f,2026-09-20,,
https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201977-01,,issue,local,,,,2026-09-19,46,ocr+text,2026-09-19,ocr+text-1,2026-09-20,parts-2026-09-20f,2026-09-20,,
https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201977-02,,issue,local,,,,2026-09-19,43,ocr+text,2026-09-19,ocr+text-1,2026-09-20,parts-2026-09-20f,2026-09-20,,
https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201977-03,,issue,local,,,,2026-09-19,43,ocr+text,2026-09-19,ocr+text-1,2026-09-20,parts-2026-09-20f,2026-09-20,,
https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201977-04,,issue,local,,,,2026-09-19,45,ocr+text,2026-09-19,ocr+text-1,2026-09-20,parts-2026-09-20f,2026-09-20,,
https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201977-05,,issue,local,,,,2026-09-19,49,ocr+text,2026-09-19,ocr+text-1,2026-09-20,parts-2026-09-20f,2026-09-20,,
https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201977-06,,issue,local,,,,2026-09-19,39,ocr+text,2026-09-19,ocr+text-1,2026-09-20,parts-2026-09-20f,2026-09-20,,
https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201977-07_08,,issue,local,,,,2026-09-19,71,ocr+text,2026-09-19,ocr+text-1,2026-09-20,parts-2026-09-20f,2026-09-20,,
https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201977-09,,issue,local,,,,2026-09-19,53,ocr+text,2026-09-19,ocr+text-1,2026-09-20,parts-2026-09-20f,2026-09-20,,
https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201977-10,,issue,local,,,,2026-09-19,54,ocr+text,2026-09-19,ocr+text-1,2026-09-20,parts-2026-09-20f,2026-09-20,,
https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201977-11,,issue,local,,,,2026-09-19,51,ocr+text,2026-09-19,ocr+text-1,2026-09-20,parts-2026-09-20f,2026-09-20,,
https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201977-12,,issue,local,,,,2026-09-19,49,ocr+text,2026-09-19,ocr+text-1,2026-09-20,parts-2026-09-20f,2026-09-20,,
https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201978-01,,issue,local,,,,2026-09-19,53,ocr+text,2026-09-19,ocr+text-1,2026-09-20,parts-2026-09-20f,2026-09-20,,
https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201978-02,,issue,local,,,,2026-09-19,45,ocr+text,2026-09-19,ocr+text-1,2026-09-20,parts-2026-09-20f,2026-09-20,,
https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201978-03,,issue,local,,,,2026-09-19,45,ocr+text,2026-09-19,ocr+text-1,2026-09-20,parts-2026-09-20f,2026-09-20,,
https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201978-04,,issue,local,,,,2026-09-19,51,ocr+text,2026-09-19,ocr+text-1,2026-09-20,parts-2026-09-20f,2026-09-20,,
https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201978-05,,issue,local,,,,2026-09-19,46,ocr+text,2026-09-19,ocr+text-1,2026-09-20,parts-2026-09-20f,2026-09-20,,
https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201978-06,,issue,local,,,,2026-09-19,49,ocr+text,2026-09-19,ocr+text-1,2026-09-20,parts-2026-09-20f,2026-09-20,,
https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201978-07_08,,issue,local,,,,2026-09-19,103,ocr+text,2026-09-19,ocr+text-1,2026-09-20,parts-2026-09-20f,2026-09-20,,
https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201978-09,,issue,local,,,,2026-09-19,56,ocr+text,2026-09-19,ocr+text-1,2026-09-20,parts-2026-09-20f,2026-09-20,,
https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201978-10,,issue,local,,,,2026-09-19,59,ocr+text,2026-09-19,ocr+text-1,2026-09-20,parts-2026-09-20f,2026-09-20,,
https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201978-11,,issue,local,,,,2026-09-19,52,ocr+text,2026-09-19,ocr+text-1,2026-09-20,parts-2026-09-20f,2026-09-20,,
https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201978-12,,issue,local,,,,2026-09-19,62,ocr+text,2026-09-19,ocr+text-1,2026-09-20,parts-2026-09-20f,2026-09-20,,
https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201979-01,,issue,local,,,,2026-09-19,57,ocr+text,2026-09-19,ocr+text-1,2026-09-20,parts-2026-09-20f,2026-09-20,,
https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201979-02,,issue,local,,,,2026-09-19,49,ocr+text,2026-09-19,ocr+text-1,2026-09-20,parts-2026-09-20f,2026-09-20,,
https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201979-03,,issue,local,,,,2026-09-19,50,ocr+text,2026-09-19,ocr+text-1,2026-09-20,parts-2026-09-20f,2026-09-20,,
https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201979-04,,issue,local,,,,2026-09-19,42,ocr+text,2026-09-19,ocr+text-1,2026-09-20,parts-2026-09-20f,2026-09-20,,
https://archive.org/details/ElektorMagazine/Elektor%5Bnonlinear.ir%5D%201979-05,,issue,local,,,,2026-09-19,56,ocr+text,2026-09-19,ocr+text-1,2026-09-20,parts-2026-09-20f,2026-09-20,,
