key,url,role,type,http,bytes,sha256,download_at,n_pages,text_method,ocr_at,ocr_v,index_at,index_v,linkcheck_at,link_ok,skip_reason
http://qrp-labs.com/clockn,,project_page,html,200,48916,3fcb702cfda4963d63b52cf5a0ef90337840f6200ad47cf8e4e82a900a6379ab,2026-09-20,1,text,,,2026-09-20,parts-2026-09-20f,,,
http://qrp-labs.com/contact.html,,document,,404,4044,,,,,,,,,,,http 404
http://qrp-labs.com/flights,,project_page,html,200,71653,7d3a5bc83cc1647d1ac999cc58bbb018a460b3e23589cae4590da4469ee62e0e,2026-09-20,1,text,,,2026-09-20,parts-2026-09-20f,,,
http://qrp-labs.com/flights/u4b13.html,,project_page,html,200,90419,08cdcd6ebf942a646b0447d4e27ee07281c2757756808d3a14c9881a2359694d,2026-09-20,1,text,,,2026-09-20,parts-2026-09-20f,,,
http://qrp-labs.com/flights/u4b19.html,,project_page,html,200,29440,3aecb72a13e409bd6e9bd25998763ab862fc9c552556a3d1251d26d9288097fa,2026-09-20,1,text,,,2026-09-20,parts-2026-09-20f,,,
http://qrp-labs.com/flights/u4b21.html,,project_page,html,200,42761,f7eb6fb0654a64e45a07b803be22d40daf5cc15e60a5bdaa8c23e32da3aaf882,2026-09-20,1,text,,,2026-09-20,parts-2026-09-20f,,,
http://qrp-labs.com/flights/u4b9,,project_page,html,200,53336,e41244d40f8291594842a0730f3dc0dbbd8db6f231abf8648ba1041b600f8cc2,2026-09-20,1,text,,,2026-09-20,parts-2026-09-20f,,,
http://qrp-labs.com/images/50wpa/photos/8.1-PowerOutVsSupply.png,,figure,png,200,37689,3bc137197250487412b3416d1e57de25d4222e885dcb5f4f62f794a047f06ee9,2026-09-20,1,ocr_boxes,2026-09-20,ocr_boxes-1,2026-09-20,parts-2026-09-20f,,,
http://qrp-labs.com/images/50wpa/photos/8.3-24wpm-Dit-2.png,,figure,png,200,14032,31345840f36ca19dc3d60808f776d9b919b2e8005572a9eb1cc6e9fd037d53f3,2026-09-20,1,ocr_boxes,2026-09-20,ocr_boxes-1,2026-09-20,parts-2026-09-20f,,,
http://qrp-labs.com/images/50wpa/photos/pic0.jpg,,figure,jpeg,200,196232,afc0103b9f5b748fc1261b1fecb3c4a90ba75f0bac64177c1e65f41a98782d7d,2026-09-20,1,ocr_boxes,2026-09-20,ocr_boxes-1,2026-09-20,parts-2026-09-20f,,,
http://qrp-labs.com/images/50wpabox/photos/front2.jpg,,figure,jpeg,200,181824,340ac24cda96f8e3ec79b52cdd25fbb535c1f2c49f5bfd8384fb77a1b7687f8d,2026-09-20,1,ocr_boxes,2026-09-20,ocr_boxes-1,2026-09-20,parts-2026-09-20f,,,
http://qrp-labs.com/images/50wpabox/photos/rear1.jpg,,figure,jpeg,200,168419,73886f1088cd9251f3ee4afa2c8ed5cc731738cb9d9f9c229f9fa8f3b9840473,2026-09-20,1,ocr_boxes,2026-09-20,ocr_boxes-1,2026-09-20,parts-2026-09-20f,,,
http://qrp-labs.com/images/appnotes/AN001_A4.pdf,,figure,pdf,200,640807,4ae79d7fa9428aa278dea3074ffcd6f1cecafc35784f1c78ac8962ce00ef57d0,2026-09-20,6,ocr_boxes,2026-09-20,ocr_boxes-1,2026-09-20,parts-2026-09-20f,,,
http://qrp-labs.com/images/appnotes/AN001_LT.pdf,,figure,pdf,200,641756,09568bf139ba74e99f5bdfffdba7a51a42931a1c89f9029e9f968e3c0ad745d6,2026-09-20,7,ocr_boxes,2026-09-20,ocr_boxes-1,2026-09-20,parts-2026-09-20f,,,
http://qrp-labs.com/images/appnotes/AN002_A4.pdf,,figure,pdf,200,913351,02dad6f953467881eb377bc009f3fe4deb18061e3a4c196cc009e782c565d083,2026-09-20,4,ocr_boxes,2026-09-20,ocr_boxes-1,2026-09-20,parts-2026-09-20f,,,
http://qrp-labs.com/images/appnotes/AN002_LT.pdf,,figure,pdf,200,914171,12997a703ce91b6cba6148c5dc7a17f35808819866b35d2cfb4ddff4d905bda2,2026-09-20,5,ocr_boxes,2026-09-20,ocr_boxes-1,2026-09-20,parts-2026-09-20f,,,
http://qrp-labs.com/images/appnotes/AN003_A4.pdf,,figure,pdf,200,569634,0f93a99a31bef5e9928a73b532dfbe96652f23bbad3beb3a24388b0560d5c009,2026-09-20,5,ocr_boxes,2026-09-20,ocr_boxes-1,2026-09-20,parts-2026-09-20f,,,
http://qrp-labs.com/images/appnotes/AN003_LT.pdf,,figure,pdf,200,569921,432a36a4ddfbed32f781a4f8fd4b463bc27a167b8de59042c7aa99c2f86fbfba,2026-09-20,5,ocr_boxes,2026-09-20,ocr_boxes-1,2026-09-20,parts-2026-09-20f,,,
http://qrp-labs.com/images/appnotes/AN004_A4.pdf,,figure,pdf,200,1203162,410f2792743706aa9ee345744a724d63ae6c3b7d947f282629bd516a1bacfd52,2026-09-20,7,ocr_boxes,2026-09-20,ocr_boxes-1,2026-09-20,parts-2026-09-20f,,,
http://qrp-labs.com/images/appnotes/AN004_LT.pdf,,figure,pdf,200,1203424,c8ca8c2fdc7dad9b615f54af8bc98f0f98e7d41193cdfaca615fac275825aaa5,2026-09-20,7,ocr_boxes,2026-09-20,ocr_boxes-1,2026-09-20,parts-2026-09-20f,,,
http://qrp-labs.com/images/appnotes/AN006_A4.pdf,,figure,pdf,200,512916,232610fb9a01fac350ffefc1028db105b3a0ca2cdd1b17a4d22f12e5c61394a9,2026-09-20,7,ocr_boxes,2026-09-20,ocr_boxes-1,2026-09-20,parts-2026-09-20f,,,
http://qrp-labs.com/images/appnotes/AN006_LT.pdf,,figure,pdf,200,512558,dd3640bd6f3bfbdd06e2723aacea6a331c2cfc1f339ddb52ab6f84a86417efa9,2026-09-20,7,ocr_boxes,2026-09-20,ocr_boxes-1,2026-09-20,parts-2026-09-20f,,,
http://qrp-labs.com/images/clockkit/0/clock.jpg,,figure,jpeg,200,100114,6003c80dae7f88e8d7ffa28ad62a50f8b30ca6e82464488e8093e274533fce4c,2026-09-20,1,ocr_boxes,2026-09-20,ocr_boxes-1,2026-09-20,parts-2026-09-20f,,,
http://qrp-labs.com/images/clockkit/Clock.pdf,,figure,pdf,200,345958,c8740413f4c92e3996030832095db4f7675f35d3980a5e9619f3a7a07e22c9dc,2026-09-20,3,ocr_boxes,2026-09-20,ocr_boxes-1,2026-09-20,parts-2026-09-20f,,,
http://qrp-labs.com/images/clockkit/clock.jpg,,figure,jpeg,200,100114,6003c80dae7f88e8d7ffa28ad62a50f8b30ca6e82464488e8093e274533fce4c,2026-09-20,1,ocr_boxes,2026-09-20,ocr_boxes-1,2026-09-20,parts-2026-09-20f,,,
http://qrp-labs.com/images/clockkit/clock_assembly.pdf,,figure,pdf,200,1281467,05a2b2b36c319150d474b0dd9a01ef021c3b9a2b0143e7561a1b8c18dffe0d67,2026-09-20,10,ocr_boxes,2026-09-20,ocr_boxes-1,2026-09-20,parts-2026-09-20f,,,
http://qrp-labs.com/images/clockkit/clock_assembly2.pdf,,figure,pdf,200,1443476,090bbeda11b738e46b9cd76fb42517f063ca7cab249d17ee28eae2db648754a0,2026-09-20,10,ocr_boxes,2026-09-20,ocr_boxes-1,2026-09-20,parts-2026-09-20f,,,
http://qrp-labs.com/images/clockkit/clock_assembly3.pdf,,figure,pdf,200,1361274,5335d3f748428f29870df920d59e6e0eefb2ccab0ae5950dd29457cb2d05f434,2026-09-20,13,ocr_boxes,2026-09-20,ocr_boxes-1,2026-09-20,parts-2026-09-20f,,,
http://qrp-labs.com/images/clockkit/clock_operation1.01.pdf,,figure,pdf,200,289376,ad7d7bb03d79c227252dbe26049618bba97a206d7140143c1d5e9180ed4ccac9,2026-09-20,10,ocr_boxes,2026-09-20,ocr_boxes-1,2026-09-20,parts-2026-09-20f,,,
http://qrp-labs.com/images/clockkit/clock_operation1.02a.pdf,,figure,pdf,200,396716,0cacf9d05fd1273d9cd9a2838bbb4c364d3952a0ed95b78abd1480787e1820f7,2026-09-20,19,ocr_boxes,2026-09-20,ocr_boxes-1,2026-09-20,parts-2026-09-20f,,,
http://qrp-labs.com/images/clockkit/clock_operation1.03.pdf,,figure,pdf,200,311360,e9cae75ffd2eae607a5c459e8df8c9a39b954f84e94d48d193267d824bb5f99d,2026-09-20,19,ocr_boxes,2026-09-20,ocr_boxes-1,2026-09-20,parts-2026-09-20f,,,
http://qrp-labs.com/images/clockkit/g4xat/1.jpg,,figure,jpeg,200,185396,6ca178119d654e156b55a99d253e2df22839c69dc5fb23a44f6b275f2710422c,2026-09-20,1,ocr_boxes,2026-09-20,ocr_boxes-1,2026-09-20,parts-2026-09-20f,,,
http://qrp-labs.com/images/clockkit/g4xat/2.jpg,,figure,jpeg,200,229062,8bd70f2963d6aeee2df3ba094203d8058326e57a680b27986119d4e201bbff15,2026-09-20,1,ocr_boxes,2026-09-20,ocr_boxes-1,2026-09-20,parts-2026-09-20f,,,
http://qrp-labs.com/images/clockkit/ka3bwp/DSC09941.jpg,,figure,jpeg,200,82455,abe61780365b20b7fb75716e60a8dcd2a86757ffd815d706964f2564ce24787f,2026-09-20,1,ocr_boxes,2026-09-20,ocr_boxes-1,2026-09-20,parts-2026-09-20f,,,
http://qrp-labs.com/images/clockkit/ka3bwp/DSC09942.jpg,,figure,jpeg,200,71124,fc5a4aca619da974c08fca20b8dc2e179b607612232bef1a1dc9e3d87da1069b,2026-09-20,1,ocr_boxes,2026-09-20,ocr_boxes-1,2026-09-20,parts-2026-09-20f,,,
http://qrp-labs.com/images/clockkit/ka3bwp/DSC09943.jpg,,figure,jpeg,200,94784,928fc52affe022c1939883546a0d94bddc46ae7c0789d4792559f09ee35003b6,2026-09-20,1,ocr_boxes,2026-09-20,ocr_boxes-1,2026-09-20,parts-2026-09-20f,,,
http://qrp-labs.com/images/clockkit/ka3bwp/DSC09946.jpg,,figure,jpeg,200,88417,093d774014b79fe13375209de6a5c556898a758d9d1eb85b99fae1c9aa6a2717,2026-09-20,1,ocr_boxes,2026-09-20,ocr_boxes-1,2026-09-20,parts-2026-09-20f,,,
http://qrp-labs.com/images/clockkit/ka3bwp/DSCF0003.jpg,,figure,jpeg,200,133754,2af25c189ec7a5c5c5500dfd02e571d8732bc4b9cb90f87d20ed3d1a2625558b,2026-09-20,1,ocr_boxes,2026-09-20,ocr_boxes-1,2026-09-20,parts-2026-09-20f,,,
http://qrp-labs.com/images/clockkit/pa2pgu/1.jpg,,figure,jpeg,200,200634,a198a5424d8e184c02fcf793c2bd37119e6e9302a5c0a03033e5a673c2fca3c5,2026-09-20,1,ocr_boxes,2026-09-20,ocr_boxes-1,2026-09-20,parts-2026-09-20f,,,
http://qrp-labs.com/images/clockkit/pa2pgu/2.jpg,,figure,jpeg,200,279747,87fd9ef01fa23f4d9ecacab368b9b7d8091a7e9cccd032b62f35bd51e1dc9ed0,2026-09-20,1,ocr_boxes,2026-09-20,ocr_boxes-1,2026-09-20,parts-2026-09-20f,,,
http://qrp-labs.com/images/clockkit/pa2pgu/3.jpg,,figure,jpeg,200,322817,c2d927d686abd2783b10bc2c696373633be0a3edf361757d511191512e8c79ad,2026-09-20,1,ocr_boxes,2026-09-20,ocr_boxes-1,2026-09-20,parts-2026-09-20f,,,
http://qrp-labs.com/images/clockkit/pe4h/1.jpg,,figure,jpeg,200,141711,5a24740c4fde8be0ccb434a2c130171d4fecf9356ede7849103e178e58583407,2026-09-20,1,ocr_boxes,2026-09-20,ocr_boxes-1,2026-09-20,parts-2026-09-20f,,,
http://qrp-labs.com/images/clockkit/pe4h/2.jpg,,figure,jpeg,200,95258,b94d02c8268ec8ec0f6c541b090f7ae5fcad5a92a9cdda625cdf4b59131b19ad,2026-09-20,1,ocr_boxes,2026-09-20,ocr_boxes-1,2026-09-20,parts-2026-09-20f,,,
http://qrp-labs.com/images/clockkit/pe4h/3.jpg,,figure,jpeg,200,91776,2c6e1abbfad9720d57bbdb4d72cd6ede2e2ab4c367e0b72d0b82de20f9255a67,2026-09-20,1,ocr_boxes,2026-09-20,ocr_boxes-1,2026-09-20,parts-2026-09-20f,,,
http://qrp-labs.com/images/clockkit/pe4h/4.jpg,,figure,jpeg,200,847254,8a166dcfda4ff1981d9f03ca33911968d331736baef9c7ca9f404f4d65968d7c,2026-09-20,1,ocr_boxes,2026-09-20,ocr_boxes-1,2026-09-20,parts-2026-09-20f,,,
