part,doc,page,times,near
1N001,5n,4,1,D4 C22 D3
1N270,4x,2,1,D2 D1 IC1
1N270,4x,3,1,D2 D1 IC1
1N270,4x,6,1,D2 Q3 R8
1N270,5n,3,1,
1N270,6m,3,1,
1N270,g,2,1,D1 IC2 IC1
1N270,g,3,1,
1N34A,13,24,1,D3 D4 Q1
1N34A,14,2,2,D3 D1 IC1
1N34A,14,3,1,D3 D4 Q1
1N34A,2r,2,1,D12 D1 IC3
1N34A,4i,6,2,D2 D3
1N34A,4n,4,3,D6 D5 D7
1N34A,4v,4,2,D2 D1 D3
1N34A,4v,7,1,D2 D3 C9
1N34A,4w,4,1,
1N34A,4w,11,2,D2 D1
1N34A,4w,28,1,D2 D1
1N34A,5m,6,2,
1N34A,5p,2,1,D1
1N34A,5p,4,2,D7 D3 D6
1N34A,65,4,2,D2 D1 D3
1N34A,65,7,1,D3 D2 C11
1N34A,6b,6,1,D6 D4 D2
1N34A,6i,4,2,D4 D3 D5
1N34A,6p,4,1,
1N34A,6q,2,1,D2 D1 IC2
1N34A,6q,3,1,D2 R3 Q2
1N34A,72,24,2,D4 D5 C8
1N34A,k,7,1,D4 D5 C8
1N400,l,2,1,
1N4001,0,2,1,
1N4001,1,12,4,D2 C40 IC1
1N4001,16,5,2,
1N4001,1i,6,1,
1N4001,1k,4,1,D1 C11 R15
1N4001,1p,4,1,D1 R21 R22
1N4001,1t,4,1,D1 C9 R13
1N4001,22,2,1,
1N4001,2l,3,1,D1 R12 R13
1N4001,3,1,1,
1N4001,31,5,1,D5 C14 C2
1N4001,3v,3,1,D1 R17 R18
1N4001,48,2,1,IC3 Q1
1N4001,48,4,3,D5 C18 C17
1N4001,4f,4,2,D2 D1 D3
1N4001,4f,6,2,D2 R20 C9
1N4001,4x,2,1,
1N4001,4x,3,1,
1N4001,5d,8,2,D4 D3 D5
1N4001,5d,13,2,D4 D5 R32
1N4001,5m,4,2,D3 D4 D2
1N4001,5m,8,2,D4 C22 D3
1N4001,5n,4,2,D4 C22 D3
1N4001,5o,4,1,
1N4001,5o,11,2,D3 D2 D4
1N4001,5o,23,2,D4 C22 D3
1N4001,5o,24,2,D3 D4 D2
1N4001,60,4,4,D2 D1 D3
1N4001,60,7,4,D2 C14 D3
1N4001,64,3,1,D1 IC1B R15
1N4001,6h,4,2,D2 D3 D1
1N4001,6h,6,1,D2 D3 C4
1N4001,6i,5,1,
1N4001,9,3,1,D1 R27 R28
1N4001,g,4,1,D1 R6 C7
1N4002,10,2,1,D1 IC1
1N4002,10,4,1,D1 C14 C15
1N4002,14,2,1,D1 IC1 D3
1N4002,14,3,1,D1 C6 R6
1N4002,19,5,1,D1 D3 D4
1N4002,19,9,1,D1 C1 R4
1N4002,1i,2,1,D11 IC1 Q1
1N4002,1i,6,2,D11 IC1 Q1
1N4002,1i,7,1,D11 IC1 Q1
1N4002,1k,2,1,D1 IC1
1N4002,1o,2,1,D1 Q1
1N4002,1o,4,1,D1 C13 R18
1N4002,1p,2,1,D1 D6
1N4002,1t,2,1,D1 IC1 D5
1N4002,1v,2,1,D1 IC3 IC2
1N4002,1v,3,1,D1 R15 C11
1N4002,1x,2,2,D1 IC2 IC1
1N4002,1x,3,3,D3 D2 C11
1N4002,1y,2,1,D5 IC1
1N4002,2l,2,1,D1 IC1
1N4002,2n,2,1,D1 Q1
1N4002,2o,2,1,D1
1N4002,2o,4,1,D1 C14 R27
1N4002,2r,2,2,D1 IC3 D12
1N4002,2r,3,3,D3 D2 C11
1N4002,33,2,1,D5 IC1 Q1
1N4002,3m,2,1,D1
1N4002,3m,3,1,D1 C10 C1
1N4002,3p,2,1,D1 Q1 IC2
1N4002,3p,4,1,D1 C8 R17
1N4002,3v,2,1,D1 IC1
1N4002,42,2,1,D1 IC1 Q1
1N4002,42,3,1,D1 C16 R23
1N4002,4z,2,1,D1
1N4002,4z,3,1,D1
1N4002,4z,5,1,D1 C13 R2
1N4002,57,2,1,D1 IC2 IC1
1N4002,58,2,1,D1 IC1 Q1
1N4002,58,3,1,D1
1N4002,5e,2,1,D1 IC1
1N4002,5e,3,1,D1 C15 R19
1N4002,5g,2,1,D1
1N4002,5g,3,1,D1 C8 C9
1N4002,5m,4,1,
1N4002,5n,2,1,IC3 IC2 IC1
1N4002,5p,2,1,D1
1N4002,5p,4,1,D1 C16 R5
1N4002,64,2,1,D1
1N4002,6b,2,1,D1 IC1
1N4002,6b,5,1,D1
1N4002,6b,6,1,D1 D2 IC1
1N4002,6b,7,2,D1 D2 IC1
1N4002,6b,8,2,D1 IC1 D5
1N4002,6b,9,2,D1 D2 IC1
1N4002,6l,6,6,D3 C11 IC2
1N4002,6q,2,1,D2 D1 IC2
1N4002,6q,3,3,D6 D5 C10
1N4002,6x,2,1,D1 D2 IC2
1N4002,6x,3,1,D1 D2 IC2
1N4002,6x,5,1,D1 C20 R19
1N4002,9,2,1,D1 Q2 Q1
1N4002,g,2,1,D1 IC2 IC1
1N4003,5m,4,1,
1N4004,1i,6,1,
1N4004,3g,8,2,D8 D7 D9
1N4004,3g,12,1,
1N4004,3g,15,2,D8 R81 D9
1N4004,3h,6,2,D2 D3 C24
1N4004,3h,9,1,
1N4004,3h,11,2,D3 R28 D2
1N4004,3i,6,2,D2 D3 C30
1N4004,3i,9,1,
1N4004,3i,11,2,D3 R38 D2
1N4004,3j,6,2,Q3 Q2 Q1
1N4004,3j,7,1,
1N4004,3j,10,2,D1 R89 D2
1N4004,3k,8,2,D2 D1 D3
1N4004,3k,12,1,
1N4004,3k,16,2,D3 R81 D2
1N4004,6i,5,1,
1N4005,6b,6,1,D4 D6 D2
1N4007,58,2,2,D1 IC1 Q1
1N4007,58,3,2,D5 D4 R7
1N4007,59,4,2,D4 D3 D5
1N4007,59,7,1,D4 D5 R7
1N4007,6i,4,1,D3 D2 D4
1N4007,6i,5,1,
1N4007,6i,7,1,D3 D2 Q2
1N400X,2n,3,1,D1 C5 C7
1N400X,58,2,1,
1N400X,v,2,1,
1N4148,1i,7,1,D11 IC1 Q1
1N4148,2b,2,1,IC2 IC1
1N4148,2b,3,4,D4 D3 R6
1N4148,3h,11,2,D4 R40 IC4A
1N4148,3i,11,2,D4 R50 IC6A
1N4148,6i,5,1,
1N4148,g,3,6,
1N456,e,4,5,
1N457A,3g,8,4,D2 D1 D3
1N457A,3g,14,4,D2 D3 R17
1N458A,16,5,2,D2 D1 D3
1N458A,16,9,2,D2 R33 D3
1N4733A,18,4,2,D2 IC1 D1
1N4733A,18,7,2,C7 R6 C8
1N4733A,2e,6,3,D3 D2 D4
1N4733A,2e,10,3,D5 R12 IC2A
1N4735A,11,12,1,
1N4737A,1,6,1,IC1 Q9
1N4737A,1,12,1,C35 R37 C1
1N4739,22,4,1,D1 C6 C7
1N4739,2b,2,1,IC2 IC1
1N4739,4x,6,1,D1 C7 C8
1N4739,5n,3,1,
1N4739A,15,4,1,
1N4739A,15,11,2,D3 D2 D1
1N4739A,15,27,1,C23 R41 C22
1N4739A,15,28,1,D3 D2 D1
1N4739A,1a,3,1,
1N4739A,1c,4,2,D1 C19 Q1
1N4739A,1c,5,2,C2 Q1 C3
1N4739A,3l,5,1,
1N4739A,3l,6,1,
1N4739A,7,4,1,
1N4739A,7,11,2,D3 D1
1N4739A,7,28,1,C35 R36 C34
1N4739A,7,29,1,D3 D1 IC3
1N4739A,i,4,3,D1 C20 C19
1N4739A,i,6,3,Q1 C1 R3
