part,doc,page,times,near
0D3,i,96,1,
12AT7,8,145,2,
12AT7,u,25,1,
12AT7,y,1169,1,
12AT7,y,1324,1,
12AU7,2,801,3,V3A V3B R12
12AU7,m,273,1,
12AU7,m,274,1,
12AU7,m,280,1,
12AU7,m,393,1,
12AU7,m,992,1,
12AU7,p,801,3,V3A V3B R12
12AU7,y,761,1,
12AU7,y,762,1,
12AU7,y,831,2,
12AU7,y,1324,1,
12AU7A,8,145,1,
12AV6,8,145,1,
12AX7,2,619,1,
12AX7,2,799,2,
12AX7,8,12,1,
12AX7,8,20,1,
12AX7,8,21,1,
12AX7,8,30,1,
12AX7,8,39,1,
12AX7,8,103,2,
12AX7,8,108,1,
12AX7,8,112,2,
12AX7,8,113,1,
12AX7,8,114,2,
12AX7,8,118,2,
12AX7,8,119,2,
12AX7,8,120,2,
12AX7,8,125,2,
12AX7,8,127,1,
12AX7,8,128,1,
12AX7,8,129,2,
12AX7,8,130,2,
12AX7,8,131,1,
12AX7,8,145,2,
12AX7,8,159,4,
12AX7,8,177,1,
12AX7,8,197,1,
12AX7,8,198,1,
12AX7,8,201,3,
12AX7,8,202,3,
12AX7,8,204,1,
12AX7,8,205,2,V1A R8 C5
12AX7,8,207,1,
12AX7,8,270,1,
12AX7,8,271,1,
12AX7,9,96,1,
12AX7,a,276,1,
12AX7,c,13,1,
12AX7,l,145,1,
12AX7,m,44,1,
12AX7,m,46,1,
12AX7,m,120,2,
12AX7,m,125,1,
12AX7,m,227,1,
12AX7,m,228,2,
12AX7,m,239,1,
12AX7,m,492,1,
12AX7,m,846,1,
12AX7,n,79,1,
12AX7,o,35,1,
12AX7,o,127,1,
12AX7,p,619,1,
12AX7,p,799,2,
12AX7,u,13,3,
12AX7,u,25,1,
12AX7,u,26,4,R2 R4 R1
12AX7,u,48,3,
12AX7,u,49,1,
12AX7,u,60,1,
12AX7,y,635,2,
12AX7A,8,20,1,
12AX7A,8,112,1,
12AX7A,8,145,2,
12AX7A,b,500,1,
12AX7A,b,534,3,
12AX7A,b,535,3,C1
12AX7A,b,536,3,R1
12AX7A,b,537,1,
12AY7,8,145,1,
12AY7,y,826,1,
12AY7,y,827,1,
12AY7,y,831,6,
12AY7,y,1237,1,
12AY7,y,1485,1,
12AY7,y,1497,1,
12AZ7A,8,145,1,
12B4,y,1521,1,
12B4A,n,583,1,
12B4A,n,584,1,
12BH7,n,287,1,
12BH7A,8,145,1,
12SN7,o,127,1,
12SN7GTA,n,499,2,
12SN7GTA,n,503,1,
1590BB,d,24,1,
1N01,12,503,1,
1N01,12,707,1,
1N01,12,741,1,
1N100,b,625,1,
1N1778,5,416,1,
1N34,i,408,1,
1N34,y,732,4,X2 X3 S1
1N34,y,1179,1,
1N34A,b,625,1,
1N34A,c,47,1,
1N34A,c,57,1,
1N34A,d,11,2,
1N34A,d,12,1,
1N3595,g,193,1,
1N3595,g,308,1,
1N3595,g,327,1,
1N3595,g,328,1,
1N3595,k,71,2,
1N3595,k,72,1,
1N3595,k,156,1,
1N3595,k,157,1,
1N3595,k,159,1,
1N3600,2,817,1,Q13 Q12 Q11
1N3600,p,817,1,Q13 Q12 Q11
1N4001,15,118,2,
1N4001,15,142,1,
1N4001,15,149,1,
1N4001,d,12,3,
1N4001,g,157,1,D4 Q3
1N4001,g,612,1,
1N4001,g,652,1,D1
1N4001,h,738,1,D2 D4 D3
1N4001,h,739,1,D2 D4 D3
1N4001,h,766,1,D2 D4 D3
1N4001,h,918,1,C1
1N4001,j,121,1,
1N4001,n,357,1,
1N4001,n,376,1,
1N4001,n,381,1,
1N4001,n,389,1,
1N4001,n,496,1,
1N4001,n,497,1,
1N4001,t,85,4,D1 R2 C5
1N4001,t,89,2,C4 C6 IC1A
1N4001,t,94,2,R10 R3 IC1B
1N4001,t,99,2,D2 R1 D1
1N4001,t,105,2,D2 R14 C13
1N4001,t,119,2,
1N4001,t,128,5,R1 R6 R4
1N4001,t,133,2,D1 X1 R13
1N4001,t,174,2,C3
1N4001,t,185,4,IC1A C1
1N4001,v,125,1,R1
1N4001,w,55,1,
1N4001,w,60,1,
1N4001,w,65,1,
1N4001,w,133,1,
1N4001,x,246,1,
1N4001,x,250,1,
1N4002,2,673,2,D1 R2 R1
1N4002,4,316,2,
1N4002,d,12,2,
1N4002,g,328,1,
1N4002,g,884,1,
1N4002,n,374,2,
1N4002,n,381,5,
1N4002,p,673,2,D1 R2 R1
1N4002,x,250,1,
1N4003,8,142,1,
1N4003,x,250,1,
1N4004,8,205,1,D4 D2 D3
1N4004,d,12,1,
1N4004,g,65,1,
1N4004,g,72,1,
1N4004,g,641,1,
1N4004,q,321,2,D2 R1 C4
1N4004,q,498,1,D1 C1 R2
1N4004,q,499,5,D1 D2 R1
1N4004,w,60,1,
1N4006,8,222,1,
1N4007,8,229,2,
1N4007,8,231,2,
1N4007,g,65,1,
1N4007,g,242,1,
1N4007,g,244,1,D1 R4 R3
1N4007,n,496,1,
1N4148,15,196,1,
1N4148,15,229,1,
1N4148,2,232,1,C2 C1 U2
1N4148,2,608,2,D1 R7 R4
1N4148,2,609,1,
1N4148,2,694,2,
1N4148,2,702,1,
1N4148,2,815,1,R8 R13 Q1A
1N4148,4,1,1,
1N4148,4,347,2,D1 R3 R4
1N4148,4,351,4,D3 D4 Q2
1N4148,4,489,4,D1 C1 U1
1N4148,4,495,1,D2 RV1 Q1
1N4148,4,501,7,D1 D3 D5
1N4148,4,506,5,D10 R2 D11
1N4148,4,528,1,
1N4148,4,530,4,D4 D1 D3
1N4148,a,292,2,D1 D2
1N4148,c,47,1,
1N4148,c,57,1,
1N4148,d,11,1,
1N4148,d,12,3,
1N4148,g,64,1,
1N4148,g,65,1,
1N4148,g,69,2,
1N4148,g,242,2,D1 Q1 Q4
1N4148,g,327,1,
1N4148,g,837,2,
1N4148,g,838,1,
1N4148,g,875,1,
1N4148,g,876,1,
1N4148,n,149,1,J511
1N4148,n,151,2,
1N4148,n,214,3,
1N4148,n,435,1,
1N4148,n,492,1,
1N4148,n,493,1,
1N4148,o,262,1,
1N4148,o,265,1,
1N4148,o,288,2,
1N4148,o,289,1,
1N4148,o,290,1,
1N4148,p,232,1,C2 C1 U2
1N4148,p,608,2,D1 R7 R4
1N4148,p,609,1,
1N4148,p,694,2,
1N4148,p,702,1,
1N4148,p,815,1,R8 R13 Q1A
1N4148,q,106,1,
1N4148,q,117,2,D1 D2 R10
1N4148,q,174,1,
1N4148,q,232,1,D1 R20 C2
1N4148,q,249,1,D1 R20 C7
1N4148,q,311,2,C11 D2 R21
1N4148,q,358,2,D1 D2 R9
1N4148,q,438,1,R6 R8 R4
1N4148,q,526,1,D2 C3 R13
1N4148,q,572,4,D1 D3
1N4148,q,594,5,D10 R2 D11
1N4148,s,417,1,C2
1N4148,v,259,1,D2 R9 R1
1N4148,v,272,1,
1N4148,v,305,1,
1N4148,x,246,2,
1N4148,x,250,1,
1N4148W,g,65,1,
1N4149,2,816,3,R11 R9 C3
1N4149,p,816,3,R11 R9 C3
1N4370,g,712,1,
1N4678,g,708,1,
1N4713,g,708,1,
1N4728,8,243,1,
1N4733,g,46,1,
1N4733,n,357,1,
1N4733,w,89,1,
1N4733,w,103,1,
1N4733,w,105,1,Q3 Q1
1N4733,w,106,1,Q3 Q1
1N4733A,w,60,1,
1N4734,g,1135,1,D1 R1 U1
1N4740,x,249,1,
1N4742,h,766,1,D5 R1 C1
1N4764A,8,97,3,
1N4895,g,708,2,
1N4895,g,709,2,
1N4933,s,252,1,
1N5221,g,46,1,
1N5221,g,707,1,
1N5232,g,709,1,
1N5232B,g,46,1,
1N5232B,g,709,1,R3 R1
1N5234,g,311,1,R7 R6 R3
1N5234B,g,46,1,
1N5235,2,609,2,D3 R7 R11
1N5235,p,609,2,D3 R7 R11
1N5240B,2,695,2,D3 D4
1N5240B,p,695,2,D3 D4
1N5244,g,725,1,
1N5261,g,725,1,
1N5283,g,656,1,
1N5294,g,176,3,
1N5294,g,656,1,
1N5308,g,656,1,
1N5379B,8,97,1,
1N5400,g,667,1,
1N5402,w,60,1,
1N5406,g,65,1,
1N5408,g,667,1,
1N5711,2,693,2,D1 D2
1N5711,2,694,2,
1N5711,g,65,1,
1N5711,g,309,1,
1N5711,g,328,1,
1N5711,p,693,2,D1 D2
1N5711,p,694,2,
1N5712,2,548,2,
1N5712,p,548,2,
1N5819,g,65,1,
1N5819,g,240,2,Q2 Q1
