part,doc,page,times,near
3000HZ,u,1,1,
AF140,25,97,1,
AF160,25,98,1,
AF180,25,99,1,
EM672,67,1,1,
KSC35,0,1,3,
KSC35,1,1,3,
KSC35,10,1,3,
KSC35,11,1,3,
KSC35,12,1,3,
KSC35,13,1,3,
KSC35,14,1,3,
KSC35,15,1,3,
KSC35,16,1,3,
KSC35,17,1,3,
KSC35,18,1,3,
KSC35,19,1,3,
KSC35,1a,1,3,
KSC35,1b,1,3,
KSC35,1c,1,3,
KSC35,1d,1,3,
KSC35,1e,1,3,
KSC35,1f,1,3,
KSC35,1g,1,3,
KSC35,1h,1,3,
KSC35,1i,1,3,
KSC35,1j,1,3,
KSC35,1k,1,4,
KSC35,1l,1,3,
KSC35,1m,1,3,
KSC35,1n,1,3,
KSC35,1o,1,3,
KSC35,1p,1,3,
KSC35,1q,1,3,
KSC35,1r,1,3,
KSC35,1s,1,3,
KSC35,1t,1,3,
KSC35,1u,1,3,
KSC35,1v,1,3,
KSC35,1w,1,3,
KSC35,1x,1,3,
KSC35,1y,1,3,
KSC35,1z,1,3,
KSC35,2,1,3,
KSC35,20,1,3,
KSC35,21,1,3,
KSC35,22,1,3,
KSC35,23,1,3,
KSC35,24,8,1,
KSC35,26,1,3,
KSC35,27,1,4,
KSC35,28,1,3,
KSC35,29,1,3,
KSC35,2a,1,3,
KSC35,2b,1,3,
KSC35,2c,1,3,
KSC35,2d,1,3,
KSC35,2e,1,3,
KSC35,2f,1,3,
KSC35,2g,1,3,
KSC35,2h,1,3,
KSC35,2i,1,3,
KSC35,2j,1,3,
KSC35,2k,1,3,
KSC35,2l,1,3,
KSC35,2m,1,3,
KSC35,2n,1,3,
KSC35,2o,1,3,
KSC35,2p,1,3,
KSC35,2q,1,3,
KSC35,2r,1,3,
KSC35,2s,1,3,
KSC35,2t,1,3,
KSC35,2u,1,3,
KSC35,2v,1,3,
KSC35,2w,1,3,
KSC35,2x,1,3,
KSC35,2y,1,3,
KSC35,2z,1,3,
KSC35,3,1,3,
KSC35,30,1,3,
KSC35,31,1,3,
KSC35,32,1,3,
KSC35,33,1,3,
KSC35,34,1,3,
KSC35,35,1,3,
KSC35,36,1,3,
KSC35,37,1,3,
KSC35,38,1,3,
KSC35,39,1,3,
KSC35,3a,1,3,
KSC35,3b,1,3,
KSC35,3c,1,3,
KSC35,3d,1,3,
KSC35,3e,1,3,
KSC35,3f,1,3,
KSC35,3g,1,3,
KSC35,3h,1,3,
KSC35,3i,1,3,
KSC35,3j,1,3,
KSC35,3k,1,3,
KSC35,3l,1,3,
KSC35,3m,1,3,
KSC35,3n,1,3,
KSC35,3o,1,3,
KSC35,3p,1,3,
KSC35,3q,1,3,
KSC35,3r,1,3,
KSC35,3s,1,3,
KSC35,3t,1,3,
KSC35,3u,1,3,
KSC35,3v,1,3,
KSC35,3w,1,3,
KSC35,3x,1,3,
KSC35,3y,1,3,
KSC35,3z,1,3,
KSC35,4,1,3,
KSC35,40,1,3,
KSC35,41,1,3,
KSC35,42,1,3,
KSC35,43,1,3,
KSC35,44,1,3,
KSC35,45,1,3,
KSC35,46,1,3,
KSC35,47,1,4,
KSC35,48,1,3,
KSC35,49,1,3,
KSC35,4a,1,3,
KSC35,4b,1,3,
KSC35,4c,1,3,
KSC35,4d,1,3,
KSC35,4e,1,3,
KSC35,4f,1,3,
KSC35,4g,1,3,
KSC35,4h,1,3,
KSC35,4i,1,3,
KSC35,4j,1,3,
KSC35,4k,1,3,
KSC35,4l,1,3,
KSC35,4m,1,3,
KSC35,4n,1,3,
KSC35,4o,1,3,
KSC35,4p,1,3,
KSC35,4q,1,3,
KSC35,4r,1,3,
KSC35,4s,1,3,
KSC35,4t,1,3,
KSC35,4u,1,3,
KSC35,4v,1,3,
KSC35,4w,1,3,
KSC35,4x,1,3,
KSC35,4y,1,3,
KSC35,4z,1,3,
KSC35,5,1,4,
KSC35,50,1,4,
KSC35,51,1,3,
KSC35,52,1,3,
KSC35,53,1,3,
KSC35,54,1,3,
KSC35,55,1,3,
KSC35,56,1,3,
KSC35,57,1,3,
KSC35,58,1,4,
KSC35,59,1,17,
KSC35,5a,1,15,
KSC35,5b,1,6,
KSC35,5c,1,8,
KSC35,5d,1,3,
KSC35,5e,1,3,
KSC35,5f,1,3,
KSC35,5g,1,3,
KSC35,5h,1,3,
KSC35,5i,1,3,
KSC35,5j,1,3,
KSC35,5k,1,3,
KSC35,5l,1,3,
KSC35,5m,1,3,
KSC35,5n,1,3,
KSC35,5o,1,3,
KSC35,5p,1,3,
KSC35,5q,1,3,
KSC35,5r,1,3,
KSC35,5s,1,3,
KSC35,5t,1,3,
KSC35,5u,1,3,
KSC35,5v,1,3,
KSC35,5w,1,3,
KSC35,5x,1,3,
KSC35,5y,1,3,
KSC35,5z,1,3,
KSC35,6,1,3,
KSC35,60,1,3,
KSC35,61,1,3,
KSC35,62,1,3,
KSC35,63,1,3,
KSC35,64,1,3,
KSC35,65,1,3,
KSC35,66,1,3,
KSC35,67,1,3,
KSC35,68,1,3,
KSC35,7,1,3,
KSC35,8,1,3,
KSC35,9,1,3,
KSC35,a,1,3,
KSC35,b,1,3,
KSC35,c,1,3,
KSC35,d,1,3,
KSC35,e,1,3,
KSC35,f,1,3,
KSC35,g,1,3,
KSC35,h,1,3,
KSC35,i,1,3,
KSC35,j,1,3,
KSC35,k,1,3,
KSC35,l,1,3,
KSC35,m,1,3,
KSC35,n,1,3,
KSC35,o,1,3,
KSC35,p,1,3,
KSC35,q,1,3,
KSC35,r,1,3,
KSC35,s,1,3,
KSC35,t,1,3,
KSC35,u,1,3,
KSC35,v,1,3,
KSC35,w,1,3,
KSC35,x,1,3,
KSC35,y,1,3,
KSC35,z,1,3,
KSC50,5c,1,1,
KSC75,0,1,6,
