part,doc,page,times,near
0D3,16,1,1,
12AX7,32,1,1,
12AX7,32,2,1,
12AX7,33,1,2,R18 R18 R15
12AX7,34,1,1,
12AX7,3c,1,1,
12AX7,3h,1,1,
12AX7,3i,1,1,
12AX7,r,1,10,
12AY7,32,1,1,
12AY7,32,2,1,
12AY7,33,1,2,R8 C1 R2
12AY7,34,1,1,
12AY7,r,1,4,
1N1826,2u,8,1,R1 R2
1N2071,1f,10,1,
1N2071,1f,103,1,
1N2071,1g,1,6,D17 C2 C3
1N3595,1c,111,1,
1N4002,1f,10,1,
1N4002,1f,19,8,
1N4002,1f,20,2,
1N4002,1f,103,1,
1N4002,1f,105,5,Q17 Q18 Q4
1N4002,1g,1,7,D9 D11 D12
1N4002,21,1,2,D2 C1 D3
1N4002,2v,1,2,C1
1N4002,31,1,2,D2 C1 D3
1N4005,2m,19,5,C37 C35 C38
1N4005,2u,9,1,
1N4005,2u,10,1,
1N4006,1c,107,1,
1N4007,1c,107,1,
1N4007,1j,1,10,D3 C1 D6
1N4007,1k,1,4,D9 D10 V1
1N4007,2m,19,2,C37 C36 C35
1N4007,33,1,2,D1 C11 C12
1N4007,r,1,2,
1N4148,1c,104,1,
1N4148,1c,107,1,
1N4148,1c,114,1,
1N4148,1c,116,1,
1N4148,1c,118,1,
1N4148,1v,1,2,D1 Q1 C4
1N4148,2k,1,11,D5 C8 C34
1N4148,2w,1,2,D2 C13 R12
1N4148,2x,1,2,D2 U1 C13
1N4148,2y,1,2,D2 C13 R2
1N4148,2z,1,2,D1 C9 C13
1N4148,p,1,1,
1N4579,1c,113,1,
1N4607,1c,107,1,
1N4744,1c,113,1,
1N4744A,1c,109,1,
1N4747A,1c,119,1,
1N4760A,1c,109,1,
1N4937,1c,114,1,
1N4937,1c,116,1,
1N4937,1c,118,1,
1N5388A,1c,113,1,
1N5711,1c,118,1,
1N5711,1c,129,4,C5 U2 C2
1N5819,1p,1,4,D1 D2 D3
1N718,1c,113,1,
1N723,1c,119,1,
1N749A,1c,113,1,
1N751,1c,119,1,
1N759,2u,9,1,R2 R1
1N914,1c,125,8,R20 R23 J21
1N914,1c,126,2,C100 R75 C101
1N914,1c,129,2,R11 U4 R12
1N914,1c,131,6,C95 C50 R106
1N914,1c,132,4,C139 Q48 C68
1N914,1c,137,2,Q26 R31 Q27
1N914,1k,1,1,D1 R8 Q1
1N963B,1c,113,1,
1S4,16,1,1,
27C256,1c,108,1,
27C256,1c,126,1,U17 P22 D1
27C512,1c,108,1,
2A3,1c,128,1,C23 U38 R28
2A3,1c,131,1,C116 U46 C101
2N2100,26,1,1,R9 U4
2N2222,3c,1,2,
2N2222A,2k,1,1,Q4 C9 R9
2N2580,2u,8,1,
2N2907,u,1,1,
2N3055,19,1,6,
2N3055,1z,1,1,R4 R1
2N3055,20,1,2,Q1 R4 R1
2N3055,2t,1,1,Q2 Q1 R3
2N3055,2w,1,1,R19 R18
2N3055,2x,1,1,D9 D8 D7
2N3055,2y,1,1,D9 D8 D7
2N3055,2z,1,2,Q3 Q4 C5
2N3055,30,1,1,
2N3055,q,1,6,
2N3773,19,1,1,
2N3773,d,1,2,
2N3773,q,1,1,
2N3904,1c,107,1,
2N3904,1c,111,1,
2N3904,1c,114,1,
2N3904,1c,116,3,
2N3904,1c,127,1,Q5 R93 C65
2N3904,1c,133,2,Q31 C2 Q32
2N3904,1c,137,11,Q31 R17 R15
2N3904,1o,1,2,R971 Q920 R973
2N3904,1z,1,1,Q3 R2 R4
2N3904,20,1,1,R2 R4
2N3904,2m,19,9,Q5 R21 R22
2N3904,36,1,1,Q2 R21 D4
2N3904,3c,1,1,
2N3904,3d,1,2,
2N3904,3f,1,1,
2N3904,d,1,1,
2N3904,g,1,2,
2N3904,p,1,2,
2N3906,1c,111,1,
2N3906,1c,114,1,
2N3906,1c,116,1,
2N3906,1c,133,1,Q29 Q36 C4
2N3906,1c,137,1,Q27 R32 R2
2N3906,2m,19,3,Q3 R15 R12
2N3906,35,1,3,Q3 R5 Q1
2N3906,36,1,1,Q3 R22 D6
2N3906,3c,1,1,
2N3906,3d,1,3,
2N3906,g,1,3,
2N3906,p,1,2,
2N3906,u,1,1,
2N3965,2m,19,2,Q16 Q15 R90
2N3997,2u,7,1,R1
2N3997,2u,10,1,
2N3997,2u,11,1,R2
2N4007,1h,1,1,
2N4392,1c,107,1,
2N4422,2u,10,1,
2N5001,2u,6,1,
2N5001,2u,7,1,
2N5004,2u,10,1,
2N5005,2u,9,1,
2N5087,1c,118,1,
2N5087,u,1,1,
2N5088,35,1,2,Q6 R15 C6
2N5088,u,1,2,
2N5089,1c,111,1,
2N5089,1c,118,1,
2N5153,2u,9,1,
2N5287,2u,9,1,
2N5551,2m,19,5,R51 Q6 R50
2N5831,2m,19,5,Q6 R51 R50
2N6059,19,1,1,
2N6059,q,1,1,
2N7000,1c,114,1,
2N7000,1c,116,1,
2SC1345,u,1,1,
2SC1345ES,u,1,1,
2SC4061,1k,1,2,Q3 R19 Q2
2X2,2n,2,2,
2X2,2o,1,2,
2X2,2o,2,1,
3D6,16,1,1,
4013B,p,1,1,
4066B,3d,1,2,
4066B,g,1,2,
5X4,10,1,1,
5X4,5,1,1,
5X4B,16,1,1,
5Y3GT,32,1,1,
5Y3GT,32,2,1,
5Y3GT,34,1,1,
5Y3GT,r,1,1,
5Y4,r,1,1,
5Z3,16,1,1,
5Z4I,16,1,1,
6C4,16,1,1,
6E5L,16,1,1,
6E8A,16,1,1,
6H8C,16,1,1,
6J1Z,16,1,1,
6J5C,16,1,1,
6J6,16,1,1,
6J8,16,1,1,
6L6,16,1,1,
6L6GT,r,1,2,
6L6GTS,r,1,1,
6V6GT,32,1,2,
6V6GT,34,1,2,
6V6GT,r,1,4,
6X2,16,1,1,
6X4,16,1,1,
6X4W,r,1,1,
6Y6,16,1,2,
6Y6GT,33,1,2,C10 R19 R19
74HC00,1c,109,1,
74HC00,1c,127,4,U54 U57 C76
74HC02,1c,104,1,
74HC02,1c,108,1,
74HC04,1c,109,1,
74HC04,1c,127,12,U57 U54 U54
74HC04,1c,128,6,U59 U59 U59
74HC05,1c,108,1,
74HC05,1c,126,6,U23 Q8 Q7
74HC08,1c,113,1,
74HC08,1c,131,4,U33 R127 U33
74HC123,1c,113,1,
74HC123,1c,119,1,
74HC123,1c,129,4,C14 R10 C9
74HC123,1c,131,2,U44 U44 C110
74HC138,10,1,1,
74HC138,18,1,2,
74HC138,1c,108,1,
74HC138,1c,113,1,
74HC138,1c,128,1,U39 R92 P19
74HC138,1c,131,1,U38 C113 J19
74HC138,1x,1,1,U1 C1 C2
74HC138,3a,1,1,U1 C1 C2
74HC138,5,1,1,
74HC165,10,1,1,
74HC165,18,1,1,
74HC165,1m,1,1,U2 D1 D2
74HC165,5,1,1,
74HC244,1c,128,1,U38 C23 R4
74HC244,1c,131,1,U46 D7 D7
74HC244N,1c,108,1,
74HC244N,1c,113,1,
74HC4040,1c,104,1,
74HC4040,1c,108,1,
74HC4040,1c,123,1,U2 Q12 Q1
74HC4040,1c,126,3,U58 Q12 Q1
74HC4051,18,1,2,
74HC4051,1s,3,1,
74HC4051,1s,9,1,
74HC4052,1s,8,1,
74HC4052,1s,9,1,
74HC4052,3e,1,1,
74HC4052,f,1,1,
74HC4053,j,1,1,
74HC595,10,1,1,
74HC595,1m,1,1,U1 SW13 D7
74HC595,3c,1,2,
74HC595,3e,1,1,
74HC595,5,1,1,
74HC595,f,1,1,
74HC595,w,1,1,
74HC595D,1d,1,1,U16 Q0 Q7
74HC74,1c,109,1,
74HC74,1c,113,1,
74HC74,1c,127,1,C76 U54 U54
74HC74,1c,131,1,U34A C111 U33
74HCT14,3b,2,3,U22 U22 U22
78L05,19,1,1,
78L05,1c,129,1,U6 C1 R3
78L05,2x,1,1,U5 C18 C2
78L05,q,1,1,
78L05A,1c,119,1,
78L06,1s,7,1,
78L15,14,1,1,
78L15,9,1,1,
78L15,l,1,1,
78M05,22,1,1,C6 U3
78M05,23,1,1,C6 U3 C8
78M05,2y,1,1,U5 C18 C1
78M12,2z,1,1,U5 C18 C1
78M12,a,1,1,
78M15,1c,109,1,
78M15,1c,128,1,C92 J18 C93
79L06,1s,7,1,
79L15,14,1,1,
79L15,9,1,1,
79L15,l,1,1,
79M05A,2s,1,1,
79M15,1c,109,1,
79M15,1c,128,1,C91 C89 R7
A13,16,1,1,
AD797,l,1,1,
BAT42,1c,111,1,
BAT54A,22,1,2,D1 R2
BAT54A,23,1,2,D1 R2 R10
BAV170,1d,1,1,D4 Q2 R61
BAV199,1,1,1,
BAV199,1d,2,4,R63 D6 R66
BAV199,3c,1,2,
BAV199,z,1,1,
BAV99,1i,1,2,D2 D1 Q5
BAV99,1j,1,1,U10A S1 S2
BAV99,1l,1,1,D1 R6 R7
BAW56,1x,1,1,D1 D2 R1
BAW56,3a,1,1,D1 SW6 D2
BSS138,1n,1,3,Q1 R7 R8
BSS138,6,1,3,
BUW50,2g,1,1,
BUW50,2h,1,1,Q1A
CA3140,3d,1,3,
CA3140,g,1,3,
