part,doc,page,times,near
12AK7,1m,1,1,V4 V5 V2
12AK7,2h,1,1,C87
12AU7,1p,1,2,V3A
12AU7,2k,1,1,R43
12AU7,2m,1,1,R50
12AU7,2r,1,2,V1A
12AU7,a,1,1,V4 R33 C23
12AU7,j,1,1,V4
12AU7,n,1,1,
12AU7,o,1,1,V4 R30 R34
12AU7,q,1,1,V4
12AU7,s,1,1,V4
12AU7,x,1,1,V4 P28 C13
12AU7,z,1,1,V4
12AU7A,1n,1,1,V4 V5 V3
12AX7,0,1,4,V5
12AX7,1,1,4,V5
12AX7,11,1,5,
12AX7,13,1,2,
12AX7,14,1,2,V1 V2 V3
12AX7,1b,1,1,V1 J1
12AX7,1c,1,3,V2 V1 V5
12AX7,1d,1,1,
12AX7,1e,1,2,
12AX7,1f,1,2,V1 V2 V3
12AX7,1g,1,1,T3 V2 V3
12AX7,1p,1,2,V2A
12AX7,2,1,3,V4
12AX7,2f,1,3,C12 R20 R22
12AX7,2g,1,1,
12AX7,2h,1,2,S4 V2 C3
12AX7,2k,1,2,V2
12AX7,2l,1,1,
12AX7,2r,1,3,V2
12AX7,3,1,5,V5
12AX7,7,1,2,V1
12AX7,8,1,2,V5
12AX7,c,1,2,V5
12AX7,d,1,1,V2
12AX7,h,1,3,
12AX7,i,1,3,V1
12AX7,k,1,2,L0 C3 C2
12AX7,l,1,2,V5
12AX7,n,1,3,V2
12AX7,o,1,3,V1 C3 C102
12AX7,p,1,3,V1
12AX7,r,1,2,V1
12AX7,t,1,2,V5A
12AX7,u,1,1,
12AX7,v,1,1,V2
12AX7,x,1,3,C3 R3 C4
12AX7,y,1,3,V1
12AY7,1f,1,2,V2
12AY7,1o,1,3,
12AY7,1p,1,2,V1A
12BH7,e,1,2,V2
12BH7,f,1,2,V2
12BH7,w,1,2,V2
12DW7,d,1,3,V1
12DW7,e,1,1,V1
12DW7,f,1,1,V1
12DW7,g,1,1,
12DW7,h,1,1,V3 V4
12DW7,i,1,1,V3
12DW7,j,1,1,
12DW7,n,1,1,
12DW7,o,1,1,V3 R24 C10
12DW7,p,1,1,V3
12DW7,q,1,1,
12DW7,r,1,1,V3
12DW7,s,1,1,
12DW7,u,1,1,V4
12DW7,v,1,6,V1
12DW7,w,1,1,V1
12DW7,y,1,1,V3
12DW7,z,1,1,
1N4007,1w,1,2,R25 R20 C40
1N4007,1z,1,1,
1N4007,2n,1,1,
1N4007,2q,1,2,
1N456,w,1,2,
1N456A,v,1,1,
2N2613,16,1,1,R6 C5 C2
2N2614,16,1,2,Q4 C14 R21
2N301,16,1,1,Q3 R16 R15
2X2,1v,1,1,
5AR4,5,1,1,V6
5AR4,6,1,1,V6
5AR4,7,1,1,V6
5AR4,8,1,1,V1
5AR4,9,1,1,V6
5AR4,b,1,1,V6
5AR4,c,1,1,V6
5AR4,k,1,1,V6 V2 V3
5AR4,m,1,1,V6
5V4G,1o,1,1,T1
5V4G,1p,1,1,V6
5Y3,19,1,1,V3
5Y3,1a,1,1,
5Y3,1b,1,1,V3
5Y3,1c,1,2,V5 V2 V1
5Y3,1d,1,1,
5Y3,1f,1,2,V5 V4 V3
5Y3,1i,1,1,
5Y3,1j,1,1,
5Y3,1l,1,1,
5Y3GT,14,1,1,V3 V2 V1
5Y3GT,18,1,1,
5Y3GT,1e,1,2,
5Y3GT,1h,1,1,V7 V6 V5
5Y3GT,1i,1,1,
5Y3GT,1k,1,1,V8 V7 V6
5Y3GT,1l,1,1,
5Y3GT,1n,1,1,V7 V6 V5
6AQ8,11,1,2,
6BM8,14,1,2,V2 V3 V1
6BQ5,13,1,1,
6BQ5,2f,1,1,V4
6C4,d,1,1,V5
6CA4,11,1,1,
6CA4,2f,1,2,R14 T1 C6A
6CA7,13,1,1,
6CG7,0,1,1,V6
6CG7,1,1,1,V6
6CG7,2,1,1,V5
6CG7,3,1,1,V6
6CG7,h,1,1,V202 R223 C204
6CG7,i,1,1,V202
6CG7,n,1,1,V202 V205 V2
6CG7,o,1,1,V202 R217 C206
6CG7,p,1,1,V202
6CG7,v,1,1,V3
6CG7,x,1,1,C209 V205 C103
6CG7,y,1,1,V202
6EU7,15,1,1,V2 V3
6EU7,17,1,1,V1 V2 R23
6EU7,1h,1,4,V3 V4 V2
6EU7,1k,1,1,V3 V6
6EU7,1n,1,3,V2 V3 V4
6L6GA,1o,1,3,T2
6L6GC,3,1,2,V2
6L6GC,4,1,2,V4
6L6GC,5,1,2,V4
6L6GC,6,1,2,V4
6L6GC,7,1,2,V3
6L6GC,9,1,2,V5
6SC7,1l,1,1,
6SJ7,18,1,1,
6SJ7,19,1,1,V1
6SJ7,1a,1,1,
6SJ7,1i,1,2,
6SJ7,1j,1,1,
6SJ7,1l,1,1,
6SL7,1e,1,1,L759
6SL7,1i,1,2,
6SL7,4,1,4,V1
6SL7,5,1,4,V1 J1
6SL7,6,1,4,V1 J1
6SL7,9,1,2,V1
6SL7,b,1,2,V1
6SL7GT,4,1,2,V3
6SL7GT,5,1,2,V3
6SL7GT,6,1,2,V3
6SL7GT,9,1,2,V3
6V6GT,1h,1,4,V5 V6 V7
6V6GT,1i,1,1,
6V6GT,1l,1,1,
6V6GT,1n,1,2,V5 V4 V6
6Y6GT,1e,1,1,
6Y6GT,1i,1,1,
6Y6GT,1l,1,1,
AC102,2s,1,1,R35 C155 C14
B220K,2i,1,1,VR4 R20 R20
BAS16,1w,1,2,D4 D3 R49
BC847B,1w,1,2,R25 R20 R37
BYX94,1r,1,1,
BYX94,1t,1,1,
ECC03,2k,1,1,
ECC63,2n,1,1,
ECC81,1u,1,1,
