part,doc,page,times,near
0D3,i7,1,3,
0D3,i7,2,2,
0D3,i7,3,2,
0D3,i7,4,2,
12AH7,1qm,1,1,
12AH7,1yq,1,1,R271 C454 R222
12AK7,1gk,1,1,V4 V5 V3
12AK7,1ia,1,1,V4 V5 V2
12AK7,237,1,1,
12AK7,2kb,1,1,
12AK7,2ki,1,1,C37 C33 R59
12AK7WA,18o,2,1,R144 R145 R143
12AT7,1,2,1,
12AT7,116,1,2,
12AT7,117,1,3,V5A V5A V5B
12AT7,11b,1,1,V3 T0
12AT7,11c,1,1,V3
12AT7,11g,5,1,
12AT7,11g,7,3,V18 V1B R7
12AT7,11h,1,1,V3 C14 R25
12AT7,11i,4,1,
12AT7,11i,6,1,V3A V38 C19
12AT7,11j,4,1,
12AT7,11j,6,1,V3A V38 C19
12AT7,11k,1,6,R54 R51 R49
12AT7,11l,1,6,R54 R51 R49
12AT7,11m,5,1,
12AT7,11m,8,2,C13 C13 R25
12AT7,11n,5,1,
12AT7,11n,8,2,C13 C13 R25
12AT7,11o,1,2,V5A V5B V6
12AT7,11p,1,3,V5A V5A V5B
12AT7,11p,2,2,V5A V5B V6
12AT7,11r,1,3,C15 V3A R29
12AT7,11s,7,1,
12AT7,11s,8,1,
12AT7,11s,11,2,
12AT7,11s,12,3,
12AT7,11s,13,2,
12AT7,11s,14,2,
12AT7,11s,26,1,
12AT7,11s,27,1,
12AT7,11s,34,2,
12AT7,11s,35,1,
12AT7,11s,41,1,
12AT7,11s,45,1,
12AT7,11s,46,1,
12AT7,11s,47,1,
12AT7,11s,48,2,
12AT7,11s,49,1,
12AT7,11s,50,2,
12AT7,11s,51,1,
12AT7,11s,52,1,
12AT7,11s,53,2,
12AT7,11s,58,2,
12AT7,11s,60,1,
12AT7,11s,61,2,
12AT7,11s,64,1,
12AT7,11s,65,1,
12AT7,11s,66,1,
12AT7,11s,67,1,
12AT7,11s,69,1,
12AT7,11s,72,1,
12AT7,11s,73,1,
12AT7,11s,74,3,
12AT7,11s,75,1,
12AT7,11s,76,1,
12AT7,11s,79,1,
12AT7,11s,81,1,
12AT7,11s,82,1,
12AT7,11s,84,2,
12AT7,11s,85,1,
12AT7,11s,86,2,
12AT7,11s,87,1,
12AT7,11s,88,3,
12AT7,11s,89,3,
12AT7,11s,91,1,
12AT7,11s,92,1,
12AT7,11t,1,2,
12AT7,11u,1,2,
12AT7,120,1,2,
12AT7,120,2,2,
12AT7,121,1,1,
12AT7,122,1,2,
12AT7,122,2,2,
12AT7,123,1,1,
12AT7,124,1,1,
12AT7,125,1,1,
12AT7,125,2,1,
12AT7,126,1,1,
12AT7,127,1,1,
12AT7,128,1,1,
12AT7,129,1,1,
12AT7,129,2,2,
12AT7,12a,1,2,
12AT7,12a,2,2,
12AT7,12b,1,2,
12AT7,12c,1,2,
12AT7,12d,1,2,
12AT7,12d,2,1,
12AT7,12e,1,1,
12AT7,12e,2,1,
12AT7,12g,1,1,
12AT7,12i,1,1,V4
12AT7,12j,1,2,V3
12AT7,12j,2,3,V3
12AT7,12k,1,1,V3
12AT7,12l,1,1,V3 V4 V5
12AT7,12m,1,1,V3
12AT7,12n,1,1,V3 V4
12AT7,12o,1,1,V3
12AT7,12p,1,1,V3 V4
12AT7,12q,1,1,V3
12AT7,12r,3,2,R372 R319 R373
12AT7,138,1,1,V4 V5
12AT7,139,1,1,
12AT7,13a,1,1,
12AT7,13a,2,1,
12AT7,13b,1,1,
12AT7,13c,1,1,
12AT7,13d,1,1,
12AT7,13e,1,1,
12AT7,13e,2,1,
12AT7,13g,1,1,
12AT7,13h,1,1,
12AT7,13h,2,1,
12AT7,13j,1,1,
12AT7,13k,1,1,
12AT7,13l,1,1,
12AT7,13m,1,1,
12AT7,13n,1,1,
12AT7,13p,1,2,V3
12AT7,13p,2,3,V3
12AT7,14a,1,3,V6A V6B V8
12AT7,14a,2,2,V6A V6B V7
12AT7,14b,1,2,V6A V6B V8
12AT7,14c,1,2,V6A V6B V7
12AT7,14d,1,2,V6A V6B V7
12AT7,14e,1,2,V6A V6B
12AT7,14f,1,1,V3 TR4
12AT7,14f,2,1,TR4
12AT7,14g,1,3,V6A V6B V8
12AT7,14g,2,2,V6A V6B V7
12AT7,14h,1,2,V6A V6B V8
12AT7,14i,1,1,V5 V4B
12AT7,154,1,2,
12AT7,154,2,2,
12AT7,155,1,1,
12AT7,156,1,1,
12AT7,157,1,2,
12AT7,158,1,3,V7A V78 V5A
12AT7,159,4,1,
12AT7,159,6,2,C14 R25 R25
12AT7,15a,1,3,V6
12AT7,15b,1,4,V6
12AT7,15c,1,2,V6
12AT7,15d,1,1,
12AT7,15d,2,1,
12AT7,15s,1,1,
12AT7,15s,2,1,
12AT7,15t,1,1,
12AT7,15u,1,1,
12AT7,15v,1,1,
12AT7,15w,1,1,
12AT7,15w,2,1,
12AT7,15x,1,1,
12AT7,15y,1,2,
12AT7,15z,1,2,
12AT7,15z,2,2,
12AT7,160,1,2,
12AT7,161,1,2,
12AT7,161,2,2,
12AT7,162,1,2,
12AT7,163,1,2,
12AT7,163,2,2,
12AT7,164,1,2,
12AT7,165,1,2,V6
12AT7,166,1,2,V6
12AT7,167,1,2,
12AT7,169,1,2,
12AT7,16a,1,2,V6
12AT7,16c,1,2,V6 V5
12AT7,16c,2,2,V6 V4A
12AT7,16d,1,2,V6 V5
12AT7,16d,2,2,V6 V4A
12AT7,16t,1,1,V3 TR4
12AT7,16t,2,1,TR4
12AT7,16u,1,3,V6A V6B V8
12AT7,16u,2,2,V6A V6B V7
12AT7,16v,1,2,V6A V6B V8
12AT7,16x,1,1,V2 TR3
12AT7,16y,1,1,V2 TR3
12AT7,17h,1,1,
12AT7,17h,2,1,TR3
12AT7,17i,1,1,
12AT7,17j,1,1,
12AT7,17j,2,1,
12AT7,17k,1,1,TR3
12AT7,17l,1,1,
12AT7,17l,2,1,
12AT7,17m,1,1,V2 TR3
12AT7,17m,2,1,V2 V3
12AT7,17n,1,1,
12AT7,17n,2,1,
12AT7,17p,1,2,TR3 TR3
12AT7,17p,2,2,
12AT7,17r,1,2,
12AT7,17s,1,2,
12AT7,17t,1,2,V6
12AT7,188,1,1,
12AT7,189,1,1,
12AT7,189,2,1,
12AT7,18a,1,1,
12AT7,18b,1,1,
12AT7,18c,1,1,
12AT7,18c,2,1,
12AT7,18d,1,1,
12AT7,18e,1,1,
12AT7,18e,2,1,
12AT7,18f,1,1,
12AT7,18f,2,1,
12AT7,18h,1,2,
12AT7,18h,2,2,
12AT7,18i,1,2,
12AT7,18i,2,2,
12AT7,18j,1,2,
12AT7,18j,2,2,
12AT7,18k,1,2,
12AT7,18l,1,2,
12AT7,18l,2,2,
12AT7,18m,1,2,
12AT7,18n,1,3,R65 R65 R66
12AT7,18n,2,2,P219 P219 P218
12AT7,18o,1,1,R65 R64 C33
12AT7,18o,2,1,P211 P218 D215
12AT7,18p,1,3,R65 R65 R66
12AT7,18p,2,2,P219 P219 P218
12AT7,18q,1,1,V5 V4B
12AT7,18s,1,2,
12AT7,18t,1,1,
12AT7,18t,2,1,
12AT7,18u,1,1,
12AT7,18v,1,1,
12AT7,18v,2,1,
12AT7,18w,1,1,
12AT7,18x,1,6,V5A R6 C22
12AT7,18x,2,2,V8A C12 R19
12AT7,18y,1,4,
12AT7,192,1,2,
12AT7,193,1,1,
12AT7,193,2,1,
12AT7,194,1,1,
12AT7,195,1,1,
12AT7,195,2,1,
12AT7,196,1,1,
12AT7,197,1,2,V6
12AT7,198,1,1,
12AT7,199,1,1,
12AT7,199,2,1,
12AT7,19a,1,1,
12AT7,19b,1,1,
12AT7,19b,2,1,
12AT7,19c,1,1,
12AT7,19d,1,1,
12AT7,19e,1,1,
12AT7,19f,1,1,
12AT7,19g,1,1,
12AT7,19h,1,4,
12AT7,19m,1,1,V5A V1B V5A
12AT7,19o,1,2,R161 R162 C92
12AT7,19o,2,4,R136 C71 R129
12AT7,19q,1,2,
12AT7,1a1,5,1,T2
12AT7,1a2,1,1,R117 C189 C1
12AT7,1a7,1,1,
12AT7,1a7,2,1,V6
12AT7,1a9,1,1,
12AT7,1ab,1,2,
12AT7,1ab,2,2,
12AT7,1ac,1,2,
12AT7,1ad,1,2,T0
12AT7,1ae,1,2,
12AT7,1ae,2,2,
12AT7,1af,1,2,
12AT7,1ag,1,2,
12AT7,1ah,1,2,
12AT7,1ah,2,2,
12AT7,1ai,1,2,
12AT7,1aj,1,2,
12AT7,1ak,1,2,
12AT7,1ak,2,2,
12AT7,1al,1,2,
12AT7,1am,1,2,
12AT7,1an,1,2,
12AT7,1ao,1,2,
12AT7,1ao,2,2,
12AT7,1ap,1,2,
12AT7,1aq,1,2,
12AT7,1aq,2,2,
12AT7,1aq,3,2,
12AT7,1aq,4,2,
12AT7,1ar,1,2,
12AT7,1as,1,1,V58 V5A
12AT7,1at,1,1,V5B V4B V5A
12AT7,1au,1,1,R124 C106 R117
12AT7,1b5,1,1,
12AT7,1b5,2,1,
