part,doc,page,times,near
0B2,1x,31,1,
0B2,25,64,2,
0B2,a,111,4,
12AT7,16,43,2,
12AT7,1g,51,1,
12AT7,2,52,2,
12AT7,26,74,5,J1 C2 R2
12AT7,26,108,2,V4 R12 R14
12AT7,26,112,2,V4 R11 R14
12AT7,26,113,1,
12AT7,26,120,1,
12AT7,26,125,1,C9 R19 R16
12AT7,26,127,1,R15 C9 R19
12AT7,26,128,3,R2 R3 C4
12AT7,4,59,1,
12AT7,4,77,1,
12AT7,5,79,1,
12AT7,5,80,1,
12AT7,6,79,1,
12AT7,6,80,1,
12AT7,8,116,1,
12AT7,9,33,1,
12AT7,a,107,1,
12AT7,b,57,1,
12AT7,b,113,1,R6 C3 C4
12AT7,e,61,4,
12AT7,e,62,2,J2
12AT7,h,102,1,
12AT7,j,107,1,
12AT7,k,51,1,R9 J2 C2
12AT7,m,69,1,
12AT7,m,75,2,V28 C8 C7
12AT7,p,35,11,V2A C7 R4
12AT7,r,78,2,
12AT7,v,79,2,V2 R19 R21
12AT7,w,37,1,V4A V5
12AU6,a,67,2,V2
12AU6,h,102,1,
12AU7,13,57,1,
12AU7,16,43,1,
12AU7,18,68,1,
12AU7,1i,70,1,
12AU7,1u,63,1,
12AU7,25,36,1,
12AU7,26,67,1,V2 R6 C4
12AU7,26,70,4,C15 R27 R26
12AU7,26,74,1,V9 C24 R66
12AU7,26,75,1,
12AU7,26,99,1,J2
12AU7,26,101,1,V2 R34 C5
12AU7,26,108,1,V6 R20 C17
12AU7,26,112,1,V6 R20 C17
12AU7,26,113,1,
12AU7,26,121,1,
12AU7,26,125,1,R19 R28 C17
12AU7,26,127,1,R19 C18 C17
12AU7,3,136,3,
12AU7,4,59,2,R7 C2 R8
12AU7,4,110,1,R4 R3 R2
12AU7,4,121,1,
12AU7,5,50,1,
12AU7,5,59,3,V2 R13 J2
12AU7,7,62,1,
12AU7,7,92,1,
12AU7,8,107,1,
12AU7,8,116,1,
12AU7,a,67,1,V78 V7A V8
12AU7,b,57,1,
12AU7,d,45,1,
12AU7,d,106,1,
12AU7,e,61,4,V2 J2 C8
12AU7,e,62,2,J2
12AU7,e,80,1,
12AU7,f,33,2,
12AU7,f,96,2,
12AU7,g,39,4,
12AU7,g,42,1,R2 R3
12AU7,j,78,1,V6 V5
12AU7,l,32,1,
12AU7,l,72,1,
12AU7,p,44,1,R3 R7 R5
12AU7,s,64,2,
12AU7,u,52,2,V2 R5 V3
12AU7,u,66,3,
12AU7,u,80,4,
12AU7,v,79,3,V3A C17 C18
12AU7,w,55,1,
12AU7,x,52,1,
12AU7,y,54,1,S2
12AU7,z,73,1,
12AU7A,1e,15,1,
12AU7A,1z,67,2,V68 V6A V58
12AU7A,1z,69,1,
12AU7A,o,54,4,C2 T1 C4
12AU7A,r,78,1,
12AV6,4,121,1,
12AV6,5,68,2,
12AV6,c,90,1,
12AV6,v,43,1,
12AV7,26,99,1,T2
12AV7,26,100,1,
12AV7,26,101,1,V3 C18 R19
12AV7,26,104,1,X3 V3 C17
12AV7,26,105,1,
12AV7,4,121,1,
12AV7,c,90,1,
12AV7,h,102,1,
12AX7,0,47,1,
12AX7,0,77,1,
12AX7,0,80,4,
12AX7,11,24,1,V7A V11
12AX7,16,43,2,
12AX7,17,16,1,
12AX7,1i,70,1,
12AX7,2,65,1,
12AX7,2,128,2,
12AX7,25,51,2,
12AX7,25,81,2,R5 C3 C4
12AX7,25,83,2,R5 C3 C4
12AX7,25,85,2,V1 R5 C3
12AX7,25,87,2,R5 C4 R3
12AX7,26,49,1,R4 C3 R5
12AX7,26,50,4,
12AX7,26,51,1,R2 C2
12AX7,26,53,6,
12AX7,26,56,4,
12AX7,26,71,1,
12AX7,26,95,3,C1
12AX7,26,96,2,V2A R8 R5
12AX7,26,97,2,
12AX7,26,99,1,R26
12AX7,26,101,1,C7 C4 R25
12AX7,26,108,3,V3 R8 IC7
12AX7,26,111,1,
12AX7,26,112,3,V3 R8 R9
12AX7,26,116,1,
12AX7,26,124,1,
12AX7,26,125,1,C2 R4 R3
12AX7,26,127,1,C2 R4 R3
12AX7,26,134,1,
12AX7,3,128,1,
12AX7,3,133,3,
12AX7,4,59,1,
12AX7,4,64,1,
12AX7,4,121,1,
12AX7,5,59,2,R8 R7 C4
12AX7,5,61,5,
12AX7,7,72,1,
12AX7,8,116,1,
12AX7,9,2,2,
12AX7,a,45,1,
12AX7,a,48,2,T2
12AX7,b,6,1,
12AX7,b,56,2,
12AX7,b,57,4,
12AX7,b,73,1,
12AX7,b,120,1,R5 R7 C2
12AX7,c,57,1,C2 R2 R4
12AX7,c,58,1,C2
12AX7,c,69,1,
12AX7,d,57,5,C3 R2 R4
12AX7,e,38,2,V2 R8 C5
12AX7,e,76,3,
12AX7,e,80,1,
12AX7,h,102,1,
12AX7,k,41,1,V3B R16 R20
12AX7,l,63,2,V4
12AX7,m,22,1,
12AX7,m,24,3,Q4
12AX7,n,35,1,V7 R94 R90
12AX7,s,85,1,
12AX7,v,33,1,
12AX7,v,79,1,C7 C3 R5
12AX7A,15,75,4,C5 C9 C3
12AX7A,15,77,1,
12AX7A,k,41,4,
12AX7A,k,42,1,
12AX7A,o,63,13,
12AX7A,s,43,2,
12AX7A,s,44,1,V4 R25 C17
12AX7A,s,45,1,
12AY7,26,50,1,
12AY7,26,54,2,
12AY7,26,55,1,V2 R24 R23
12AY7,26,56,1,
12AY7,26,95,1,C1
12AY7,4,59,1,
12AY7,8,74,1,
12AY7,k,41,1,
12AZ7,25,36,4,
12AZ7,5,50,3,
12AZ7,5,154,2,
12AZ7,q,48,2,T2 L2
12BH7,a,48,1,
12BH7,l,32,1,
12BH7,l,44,1,
