part,doc,page,times,near
1N148,2b,1,1,D3 C10 R16
1N148,l,1,2,D4 D5 C10
1N27,26,1,1,C853
1N270,26,1,1,C853
1N270,z,1,2,
1N34A,1p,1,2,D2 D3 R13
1N34A,1t,1,3,D2 D3 R13
1N34A,1u,1,1,
1N34A,1v,1,2,D2 D3 R13
1N34A,1z,1,2,D2 D3 R13
1N34A,24,1,2,D2 D3 R13
1N34A,25,1,2,D1 D2 C5
1N34A,29,1,2,
1N34A,2a,1,2,D2 D3 R13
1N34A,x,1,2,
1N34A,z,1,1,
1N4001,11,1,1,
1N4001,15,1,1,
1N4001,1b,1,2,
1N4001,1c,1,1,
1N4001,1p,1,2,D8 C20 C21
1N4001,1q,1,2,D8 C20 C21
1N4001,1z,1,2,D8 C20 D7
1N4001,24,1,2,D8 C20 C21
1N4001,2a,1,2,D8 C20 C21
1N4001,2k,1,1,D1 C4
1N4001,2l,1,1,D1
1N4001,3v,1,1,
1N4001,5y,1,1,D1 C4
1N4002,13,1,1,
1N4002,2v,1,1,D3 R10 C11
1N4002,2w,1,1,D3
1N4002,5z,1,1,D3 R10 C11
1N4004,9,1,1,
1N4004,l,1,1,D1 C23 R24
1N4004,m,1,1,D1
1N4007,1e,1,1,
1N4007,4i,1,1,C33 R35 VR1
1N4007,4j,1,1,
1N4007,6a,1,1,C33 R35 C34
1N4148,0,1,2,
1N4148,10,1,1,
1N4148,13,1,1,
1N4148,15,1,1,
1N4148,1c,1,1,
1N4148,1e,1,2,
1N4148,3w,1,1,
1N4148,47,1,1,D1 R14 D4
1N4148,48,1,1,D1 R14
1N4148,4e,1,1,D1 R14 D4
1N4148,4f,1,1,D1 R14 D4
1N4148,4i,1,4,D2 D1 C2
1N4148,4k,1,2,D2 D1
1N4148,4n,1,2,D7 D8 C31
1N4148,6a,1,4,D1 C2 R4
1N4148,9,1,1,
1N4448,13,1,1,
1N4733A,1c,1,3,
1N4733A,47,1,2,D3 D4 R1
1N4733A,49,1,2,D3
1N4733A,4e,1,2,D3 D4 R1
1N4733A,4f,1,2,D3 D4 R1
1N4733A,4g,1,2,J201
1N4742,1p,1,1,D4 C17 J3
1N4742,1q,1,1,D4
1N4742,1z,1,1,D4 C17 C21
1N4742,24,1,1,D4 C17 J3
1N4742,2a,1,1,D4 C17 J3
1N5817,1c,1,3,
1N5817,3e,1,1,D1 SW5 J7
1N5817,3g,1,1,
1N5817,47,1,1,D1 R14 D4
1N5817,48,1,1,D1
1N5817,4e,1,1,D1 R14 D4
1N5817,4f,1,1,D1 R14 D4
1N5817,4g,1,2,J201
1N5817,4x,1,2,
1N5817,4z,1,1,
1N5817,52,1,1,D1 C3 J1
1N5817,53,1,1,
1N5817,59,1,7,R9 D4 R10
1N5817,5g,1,1,C3 U2 C4
1N5817,5h,1,1,D1 C3 J1
1N5817,5i,1,1,
1N5817,5l,1,1,D1 C3 J1
1N5817,5p,1,1,D1 SW5 J7
1N5817,5q,1,1,
1N5817,61,1,7,R9 D4 R10
1N60,z,1,1,
1N914,0,1,2,
1N914,10,1,2,
1N914,12,1,1,
1N914,13,1,2,
1N914,15,1,1,
1N914,2b,1,4,D1 R11 Q4
1N914,2g,1,4,D1 R11
1N914,2i,10,2,
1N914,2i,11,2,
1N914,2i,13,1,
1N914,2n,1,1,D1 D2 C8
1N914,2p,1,1,D1
1N914,2v,1,2,D1 D2 R6
1N914,2x,1,2,D1 D2
1N914,3,1,3,D3 D4 R18
1N914,5,1,4,D3 D4 R18
1N914,5w,1,4,D3 D4 R18
1N914,5z,1,2,D1 D2 R6
1N914,60,1,1,D1 D2 R15
1N914,7,1,4,D4 R18 C12
1N916,13,1,1,
2N3904,10,1,2,
2N3904,2b,1,6,Q1 C2 R3
2N3904,2c,1,1,Q1
2N3904,2g,1,5,Q2
2N3904,2h,1,1,Q2
2N3904,a,1,1,
2N3906,12,1,1,
2N4125,12,1,2,
2N4125,2n,1,1,Q1 C2 R7
2N4125,2u,1,1,Q1 C2
2N4125,60,1,1,Q1 C2 R7
2N4250,12,1,1,
2N4401,a,1,1,
2N5087,12,1,1,
2N5088,0,1,2,
2N5088,10,1,1,
2N5088,a,1,1,
2N5089,0,1,2,
2N5089,15,1,1,
2N5089,4z,1,1,
2N5089,52,1,2,Q1 R13 C18
2N5089,53,1,1,
2N5089,5g,1,1,Q2 R23 R23
2N5089,5h,1,2,Q1 R13 C18
2N5089,5i,1,1,
2N5089,5l,1,2,Q1 R13 R13
2N5089,6b,1,2,Q1 R13 R13
2N5089,6c,1,2,Q1 R13 R13
2N5113,0,1,1,
2N5210,0,1,2,
2N5457,1c,1,3,
2N5458,13,1,1,
2N5458,2v,1,1,Q1 R9 C10
2N5458,2z,1,1,Q1
2N5458,5z,1,1,Q1 R9 C10
2N5485,12,1,1,
2N5952,12,1,5,
2N5952,2n,1,4,Q2 U2a R6
2N5952,2r,1,4,Q2 U2a R6
2N5952,2s,1,4,Q2 U2a R6
2N5952,60,1,4,Q2 U2a R6
2SC1815,15,1,2,
2SC1815,37,1,5,Q1 C2 R3
2SC1815,38,1,3,Q6 R28 C40
2SC1815,39,1,3,Q6 R28 C40
2SC1815,3a,1,2,Q1 C2 R3
2SC1815,3b,1,1,Q1
2SC1815,3c,1,1,Q3
2SC1815,5u,1,5,Q1 C2 R3
2SC1815,5v,1,2,Q1 C2 R3
2SC2240,9,1,3,
2SC2240,l,1,2,Q3 R22 R21
2SC2240,n,1,1,
2SC2240,o,1,1,
2SC2240,p,1,1,R22 Q3
2SC732TM,5x,1,3,Q1 C3 C2
2SC732TM,8,1,1,
2SC732TM,c,1,1,Q1 C3 R2
2SC732TM,e,1,3,Q1 C3 C2
2SC732TM,g,1,1,
