part,doc,page,times,near
0B2,1l,10,1,
0B2H,ff,6,2,
0D3A,x,40,1,C380 C906 C210
0D3C,x,40,1,C906 C380 C210
0D3E,x,40,1,C210 C380 C906
12AT7,4o,29,1,
12AT7,4s,118,1,
12AT7,60,77,1,
12AT7,nv,2,2,
12AT7,oc,1,1,
12AU7,4b,41,2,
12AU7,4m,8,1,
12AU7,4o,29,1,
12AU7,4s,118,1,
12AU7,5c,42,2,
12AU7,5y,114,2,
12AU7,5y,115,2,
12AU7,60,77,1,
12AU7,8g,34,1,
12AU7,8n,45,1,C3
12AU7,nu,2,1,
12AU7,nu,3,1,
12AU7,nv,2,1,
12AU7,oc,1,1,
12AU7,px,104,1,
12AX7,4l,49,1,
12AX7,4o,29,1,
12AX7,4s,118,1,
12AX7,5c,42,1,
12AX7,5c,43,1,
12AX7,5e,84,1,
12AX7,5f,20,1,
12AX7,60,77,1,
12AX7,7o,66,1,
12AX7,7o,67,1,
12AX7,8n,47,1,
12AX7,8n,97,1,
12AX7,kk,1,1,
12AX7,kk,5,1,
12AX7,kk,6,1,
12AX7,kk,7,1,
12AX7,l2,3,1,
12AX7,nv,2,1,
12AX7A,kk,6,1,
12AX7WA,kk,6,1,
12B4A,p5,123,1,
12BH7,8g,34,1,
12BH7,8g,35,2,
1590BB,83,21,1,
1N00,3l,74,1,C5b C5a C6
1N10,93,78,1,L1 L2 C1
1N10,93,79,1,C1 C2 C3
1N105,91,106,2,C13 C12 L10
1N116,8l,46,1,C8 IC1b C6
1N1202A,16,39,2,
1N1344B,16,39,1,
1N1418,c0,2,1,D1 R5 IC2
1N148,3x,81,1,D1 IC3
1N148,7c,35,1,S1 S2 IC8
1N148,7s,10,1,R2 S1 IC1A
1N148,pe,40,1,D2 C6 D1
1N31,93,79,1,C3 C2 C4
1N34,6g,42,1,
1N34,80,69,3,R3
1N34A,m,44,1,P6 C10 C11
1N34A,m,48,1,
1N34A,p4,121,1,
1N3937,4s,122,1,D1 D2 C2
1N400,69,39,1,
1N400,c,14,1,D2 T3 R4
1N400,pf,22,1,
1N4000,1g,69,1,D13 R16 R17
1N4000,4x,73,1,
1N4000,6t,113,1,
1N4001,1,16,4,S1 S1
1N4001,1,26,2,
1N4001,1,30,1,D2 R2 D1
1N4001,1,36,2,R5 D5 D3
1N4001,10,34,2,
1N4001,11,14,1,D5 R7 P1
1N4001,11,15,1,
1N4001,11,28,1,
1N4001,11,42,2,D4 D3 C2
1N4001,14,20,2,
1N4001,14,35,1,D23 T7
1N4001,14,40,3,D7a T6a R17
1N4001,14,43,1,
1N4001,15,9,1,D2 T2
1N4001,15,20,1,D1 D2
1N4001,15,36,1,D1 R2 R1
1N4001,15,41,1,C1 IC2 P1
1N4001,15,52,1,D3 IC1 C4
1N4001,15,59,1,R4 R12 D7
1N4001,15,60,1,
1N4001,15,81,2,D1 D2 D3
1N4001,15,93,1,
1N4001,15,100,2,D14 D12 T1
1N4001,16,48,1,D1 T2 R5
1N4001,17,12,1,D2 T1 R4
1N4001,18,19,2,R3 T1 D1
1N4001,18,21,1,C8 D9 D8
1N4001,18,39,1,T1 T2
1N4001,1a,10,1,
1N4001,1a,11,1,D2 C1 C2
1N4001,1a,14,2,D4 R13 D3
1N4001,1a,21,2,
1N4001,1b,10,1,C11
1N4001,1b,36,1,IC4
1N4001,1b,50,1,
1N4001,1c,23,2,D5 C46 C48
1N4001,1c,27,1,
1N4001,1d,11,2,R5 D2 D1
1N4001,1d,18,1,D2 R16 C2
1N4001,1d,19,1,
1N4001,1d,23,1,C9 D5 R14
1N4001,1d,24,1,
1N4001,1d,32,1,D1 R10 R8
1N4001,1d,33,1,
1N4001,1d,35,1,D2 D1 C1
1N4001,1d,39,1,D3 IC9 T1
1N4001,1d,40,1,D2 C9 IC3
1N4001,1d,41,1,
1N4001,1d,45,2,D1 IC1 R1
1N4001,1e,47,1,D14 D12 T1
1N4001,1e,50,1,
1N4001,1f,18,1,
1N4001,1f,33,1,
1N4001,1g,9,4,D2 D1 R1
1N4001,1g,10,2,D10 D9 IC2
1N4001,1g,16,2,D1 C1 T1
1N4001,1g,20,3,D1 R2
1N4001,1g,21,1,D9 D8 C18
1N4001,1g,22,1,
1N4001,1g,49,3,R2
1N4001,1g,50,1,C11 IC7 C10
1N4001,1g,53,1,D4 D1 D3
1N4001,1g,65,2,D1 D2
1N4001,1g,76,1,D3 C4 R11
1N4001,1g,77,1,
1N4001,1g,85,1,D3 D2 R3
1N4001,1i,12,1,
1N4001,1i,13,1,D3 P1 C4
1N4001,1i,14,2,
1N4001,1i,30,1,C22 D14 R35
1N4001,1i,36,1,D1 C4
1N4001,1i,37,1,
1N4001,1j,10,1,D5 C9 R12
1N4001,1j,11,1,
1N4001,1j,16,2,D3 S1 T2
1N4001,1j,29,1,D15 D14 C5
1N4001,1j,31,1,
1N4001,1k,18,1,
1N4001,1k,32,1,D7 D6 D5
1N4001,1l,25,1,C27 D4 D3
1N4001,1l,28,1,
1N4001,1m,31,1,
1N4001,1m,39,1,R14 D4 C12
1N4001,1m,40,1,
1N4001,1n,33,1,
1N4001,1n,34,1,C15 D7 D9
1N4001,1o,12,2,R3 D6 T1
1N4001,1o,14,1,
1N4001,1o,19,1,
1N4001,1q,10,1,
1N4001,1r,20,3,D4 S1
1N4001,1r,26,1,D6 D5 D8
1N4001,1r,52,1,
1N4001,1r,61,1,D3 D6
1N4001,1r,68,1,D2 R5 T1
1N4001,1r,72,1,R1 D11 R2
1N4001,1r,76,1,D1 C4 IC1
1N4001,1r,77,2,
1N4001,1r,86,1,D1 IC6 C3
1N4001,1r,88,1,
1N4001,1s,15,1,C5 D28 D27
1N4001,1s,18,1,
1N4001,1s,22,1,D3 D2
1N4001,1s,23,1,
1N4001,1s,37,1,D9 D10
1N4001,1s,38,1,
1N4001,1t,32,1,D4 D3 C2
1N4001,1t,33,1,
1N4001,1u,27,1,D24 R49 T7
1N4001,1u,41,1,T1a D12
1N4001,1v,9,2,D2 D1 D4
1N4001,1v,21,1,D11 D10 D13
1N4001,1v,23,1,
1N4001,1v,27,1,D3 R15 R12
1N4001,1v,29,1,
1N4001,1v,32,1,R3 T1 T2
1N4001,1v,34,1,D5 C5 R16
1N4001,1v,46,1,R15 U089 S1
1N4001,1w,13,2,C8 D4 D5
1N4001,1w,15,1,D4 R7 T1
1N4001,1w,23,3,D2 D1 S2
1N4001,1w,35,1,C2 C3 IC6
1N4001,1w,46,1,C1 D1 D2
1N4001,1w,47,1,
1N4001,1x,10,1,D1 D3 D2
1N4001,1x,15,1,
1N4001,1x,19,1,C16 D4 D6
1N4001,1x,20,1,
