part,doc,page,times,near
0D3,1s,97,1,
12AT7,b,35,1,V2B R9 C15
12AT7,b,37,1,
12AU7,1v,13,1,
12AU7,b,92,1,
12AU7,h,17,1,
12AU7,l,59,1,
12AV6,1p,55,2,
12AV6,1p,57,1,
12AV6,1q,63,2,
12AV6,1q,64,1,
12AV6,1q,65,1,
12AV6,1z,71,2,T3
12AX7,5,104,1,V2 V2 R9
1N137A,1u,75,1,
1N1489,1s,82,1,
1N1695,1w,37,1,
1N1763,1s,82,1,
1N1767,1s,80,1,
1N1770,1s,80,1,
1N1773,1s,80,1,
1N1777,1s,80,1,
1N1779,1s,80,1,
1N1781,1s,80,1,
1N198,1u,94,1,
1N200,1u,75,1,
1N2059,2,25,1,R6 R8 U2
1N2069,2,85,1,
1N2070,1y,41,1,C12B T2 R7
1N2071,b,35,1,C19B C20 R13
1N209,1u,75,1,
1N2326,1t,42,1,
1N2326,5,99,1,
1N25,1u,98,1,C1
1N295,1u,94,1,
1N3019,1s,79,1,
1N3035,f,67,1,
1N3182,1x,36,2,D2 S2B R1
1N3222,1m,57,1,
1N34,1,109,1,
1N34,13,69,1,
1N34,1k,70,1,SW2a SW3a
1N34,1r,33,1,
1N34,1v,10,1,
1N34,1y,99,1,
1N34,8,13,1,
1N34,a,108,1,R4 R5 T1
1N34A,1,30,1,
1N34A,1,31,2,
1N34A,1e,25,2,
1N34A,1u,94,1,
1N34A,1v,60,1,D1 C7 R5
1N34A,4,148,1,
1N34A,5,79,1,
1N34A,5,103,1,
1N34A,a,108,1,D2 T3 Q3
1N34A,c,37,1,
1N34A,c,38,1,
1N34A,j,69,1,
1N34A,k,35,1,
1N34A,p,64,3,D2 D1 C2
1N34A,y,51,1,
1N34B,1u,94,1,
1N38A,1u,94,1,
1N38B,1u,94,1,
1N4000,15,64,1,
1N4001,1,45,3,
1N4001,1l,87,3,
1N4001,v,92,1,
1N4002,1,45,1,
1N4002,1h,45,1,
1N4002,1l,87,1,
1N4003,1,45,1,
1N4003,1e,39,2,
1N4003,1l,87,1,
1N4003,1m,34,2,
1N4003,c,30,1,
1N4004,1,45,1,
1N4004,16,64,2,
1N4004,1e,39,1,
1N4004,1l,87,1,
1N4004,1m,34,1,
1N4005,1e,39,1,
1N4005,1m,34,1,
1N4009,1r,31,1,Q1 C1
1N4364,1x,37,1,
1N459,5,83,1,
1N48,2,83,1,
1N5230,1j,46,1,
1N5230,2,74,1,
1N536,1s,82,1,
1N536,7,81,1,
1N539,1s,82,2,D1 T1
