part,doc,page,times,near
0B2H,2u,1,2,
0D3,3f,1,1,
1N4148,2q,1,1,D3 R2 R6
1N4733A,v,1,2,D3 D1 C3
1N4735A,u,1,1,D1 R1 C1
1N4742A,25,1,1,D2 R4 D4
1N5243B,2k,1,1,D2 D7 D3
1N5243B,2l,1,1,D2 D7 D3
1N5243B,2n,1,1,D2 D7 D3
1N5365B,l,1,1,D1 R4 R5
27C256,q,1,1,
2A3,2i,1,1,
2A3,38,1,1,
2SA1020,3b,1,1,
2SA1020,3c,1,1,
2SA1048,2o,1,1,Q1 R2 R3
2SA1048,2q,1,1,R8 Q4 C9
2SA1242,1k,1,1,Q1 C3 C2
2SA1300,35,1,1,
2SA1300,3e,1,2,
2SA1300,x,1,1,Q1 C1 SW1
2SC2458,2q,1,1,Q2 D6 D7
2SC2500,3e,1,1,
2SC2712,1s,1,2,Q101 R106 Q102
2SC2712,2d,1,4,R17 D2 R20
2SC2712,v,1,1,Q1 D6 D5
2SC2712,w,1,1,R5 R6
2SC2712,x,1,3,Q3 R4 Q4
2SC3279,3e,1,1,
2SC3356,12,1,1,Q2
2SC3420,3e,1,1,
2SJ148,o,1,1,R16 R18 U1
2SJ167,18,1,1,Q1 R1
2SJ167,1b,1,2,Q1 C1 R15
2SJ167,p,1,3,Q4 U4 R7
2SJ168,z,1,2,Q1 R8 C8
2SJ239,1y,1,1,Q1
2SJ239,2c,1,2,Q4 Q5 Q3
2SJ240,28,1,1,D5 Q4 R10
2SJ240,2d,1,2,R17 D3 R20
2SK1061,18,1,5,Q6 Q7 Q8
2SK1061,1b,1,1,R27 D4 C3
2SK1061,2d,1,4,Q1 U3 U3
2SK1112,1e,1,1,D2 D1
2SK1112,2c,1,1,R12 R11 Q3
2SK1653,28,1,1,C5 D2 C6
2SK1653,2d,1,2,D3 R19 R22
2SK1653,2f,1,4,Q1 R3 Q2
2SK1653,3p,1,1,Q1 R1 T1
2SK241,10,1,1,Q1 R4 R3
2SK241,11,1,1,Q1 R4 R3
2SK2886,w,1,1,Q1 R3 R6
2SK3163,y,1,1,Q1 C9 R6
2SK3234,2q,1,1,Q1 R10 R9
2SK982,22,1,1,
2X2U,31,1,1,
3000H,3j,332,1,
3000K,2p,1,1,
4052B,1b,1,1,U2 X1 R4
5X4,38,1,1,
5Y3,3a,1,1,
6C7C,2z,1,1,
6G2,38,1,2,
6G5,2z,1,1,
6G9,34,1,1,
6J5,34,1,1,
6X2,3a,1,1,
6X8,3d,1,1,
6Y3J,32,1,1,
74HC00,3,1,1,
74HC00,3p,1,3,
74HC04,4,1,1,
74HC14,2d,1,6,U3 Q1 C3
74HC14,2f,1,2,U3 R9 U3
74HC14,e,1,2,
74HC14AP,2e,1,1,
74HC164,1q,1,1,C0
74HC164,37,1,1,
74HC244,2i,1,1,
74HC393,5,1,1,
74HC4052AP,16,1,1,
74HC4053,1u,1,2,U2 U3 C5
74HC4053,1v,1,2,U2 U3 C5
74HC4053,1w,1,1,U3 U4
74HC4053,1x,1,2,U3 Q4 R13
74HC573,29,1,1,Q8 D8 Q7
74HC573,3n,1,1,
74HC573,3s,1,1,S56
74HC590,1q,1,1,
74HC590,k,1,1,
74HC595,3h,1,1,
74HC74,f,1,1,
74HCT541,j,1,1,
78L05,1q,1,1,R7
78L05,9,1,1,
78L05,n,1,1,U1
78L12,2m,1,1,U1 C2 C1
78L15,3c,1,1,
79L05,1c,1,1,U18 C6 C7
79L05,1t,1,1,D4 C1 U10
A13,38,1,1,
ATMEGA8,d,1,1,
ATMEGA8,i,1,3,
ATTINY85,1,1,1,
ATTINY85,1f,1,1,
ATTINY85,1g,1,1,
ATTINY85,1h,1,1,
ATTINY85,1i,1,1,
BAT43,2q,1,3,D3 C8 C7
BAV21WS,2k,1,1,D7 U3 C17
BAV21WS,2l,1,1,D7 U3 C14
BAV21WS,2n,1,1,D7 U3 C17
BFS10,s,1,1,R6 R3 C3
BSS138,25,1,5,Q3 D3 C3
BSS138,26,1,4,Q2 D2 D1
BSS138,2h,1,1,Q6 R9 R8
BSS138,t,1,4,Q6 Q7 R1
BSS13B,26,1,1,Q5 Q6 Q4
BU9480F,1j,1,1,
BU9480F,1k,1,1,R15 R16 U4
BU9480F,c,1,1,
C1815,3i,1,1,Q1 R3 C1
CR2032,0,1,1,
CR2032,1,1,2,
CR2032,13,1,1,C1
CR2032,14,1,1,
CR2032,2g,1,2,
CR2032,6,1,1,
CR2032,i,1,1,
CR2032,m,1,1,
CR2032,r,1,2,
DE9,2z,1,1,
DE9,32,1,1,
EM406A,l,1,1,P2
EY11,32,1,1,
EY14,30,1,1,
FV1,32,1,1,
FV1,39,1,1,
HD44780,1d,1,1,
HD44780,1z,1,1,D1 D0 D2
HD44780,2w,1,2,
HD44780,36,1,3,
HD44780,3g,1,18,
HD44780,3o,1,1,
HD44780,3q,1,1,
HD44780,3r,1,3,
HD44780U,1p,1,1,
HD44780U,36,1,1,
ICL8038,2x,1,1,
ICL8038,7,1,1,
ICL8038,b,1,1,
IN3,21,1,2,SW2 C8 SW1
IN3,38,1,1,
J201,1a,1,1,R205 U201
JW2,30,1,1,
JW2,33,1,1,
LM2940CT,19,1,1,
LM311,1q,1,1,R7
LM317T,2j,1,1,U5 R10 R11
LM317T,3b,1,1,
LM317T,3c,1,2,
LM324,1e,1,3,U1 R11 R10
LM324,1q,1,3,R7
LM358,17,1,1,U5 C15 R34
LM358,1n,1,2,U2A R7 R4
LM358,29,1,1,U2 R4 R5
LM358,2a,1,1,U2 R4 C4
LM358,p,1,6,U4 Q4 R7
LM358,z,1,1,U5B R18 R18
LM386N,1l,1,1,U3 P2
LM393,3p,1,2,
LM393N,2q,1,2,U1 D5 R7
LM6172,1u,1,8,U4 R6 R7
LM6172,1v,1,9,U4 R6 R7
LM6172,1w,1,6,U4 R6 R7
LM6172,1x,1,9,U4 R8 R9
LT1085,2c,1,1,R5 R6 D2
MAX232,2t,1,1,
MAX232A,1b,1,1,U6 C4 L4
MAX232AC,a,1,2,
MC1496,8,1,1,
MJ373,20,1,1,P5 C13 C12
MJ374,20,1,1,P5 C13 C12
NE555,9,1,1,
NE555P,w,1,2,C5 U1 C7
NE556,1e,1,2,U3 R10 R12
NJM4580,15,1,6,U3 C15 VR3
NJM4580,17,1,2,R4 R9 C13
NJM4580,1r,1,5,U3 U4 U5
NJM4580,27,1,10,U6 R3 C7
NJM4580,2b,1,10,U6 R3 R13
NJM4580M,n,1,2,U3B
NSPW500BS,2r,1,1,D6 D4
OC09,38,1,1,
OD40,38,1,1,
OP07,2y,1,1,
S3G,39,1,1,
TC7S14F,1m,1,1,R3 L3 C13
TC7S14F,1o,1,1,
TL022,1c,1,2,U12 C22 R11
UL24,2z,1,1,
UY88,3a,1,1,
Z80,0,1,2,
Z80,2,1,8,
Z80,23,1,1,
Z80,24,1,1,
Z80,2s,1,5,
Z80,2v,1,5,
Z80,3,1,7,
Z80,3f,1,1,
Z80,3k,3,3,
Z80,3k,16,5,
Z80,3k,27,1,
Z80,3l,3,3,
Z80,3l,25,6,
Z80,3l,36,1,
Z80,3m,1,1,
Z80,3m,3,4,
Z80,3m,26,6,
Z80,3m,37,1,
Z80,g,1,1,
Z80,h,1,1,
