part,doc,page,times,near
12AT7,2x,1,1,
12AT7,7f,1,1,
12AT7,8d,1,1,
12AU7,2x,1,1,
12AU7,3h,1,4,
12AU7,4d,1,1,
12AU7,5t,1,1,
12AU7,6g,1,1,
12AU7,7f,1,1,
12AU7,8d,1,1,
12AU7,8k,1,1,
12AU7,h8,1,1,V1 R3 C2
12AX7,2x,1,1,
12AX7,38,1,1,
12AX7,3h,1,2,
12AX7,3r,1,1,
12AX7,6g,1,1,
12AX7,7f,1,1,
12AX7,80,1,2,
12AX7,8b,1,3,
12AX7,8d,1,1,
12AX7,8k,1,1,
12AX7,vm,1,1,V1 R3 C1
12AX7,vz,1,1,V1 C2
12AX7,w4,1,2,V1B C3 V1A
12AX7A,v4,1,2,V1 R2 R1
12AY7,8b,1,1,
1N3193,pb,1,2,D3 C7 Q4
1N34A,3v,1,1,
1N34A,3z,1,1,
1N34A,4a,1,1,
1N34A,4b,1,1,
1N3754,pb,1,1,D1 D2 C3
1N4001,1,1,1,
1N4001,2h,1,1,
1N4001,4c,1,1,
1N4001,4s,1,1,
1N4001,4v,1,1,
1N4001,6v,1,1,
1N4001,8n,1,1,
1N4001,92,1,1,
1N4001,98,1,2,
1N4001,99,1,2,
1N4001,n3,1,2,
1N4001,ox,1,2,
1N4001,ta,1,1,D4 U3 D3
1N4001,x2,1,1,
1N4001,zg,1,1,D4 D1 R13
1N4002,or,1,1,D1 Q5 R14
1N4002,zg,1,1,D3 C34 C18
1N4004,101,1,1,D3 D4
1N4004,108,1,1,D1
1N4004,109,1,1,D3 D4 D1
1N4004,10a,1,1,D3 D4
1N4004,10b,1,1,D3 D4 D1
1N4004,10c,1,1,
1N4004,10i,1,1,D3 D4
1N4004,10l,1,1,C3
1N4004,2f,1,1,
1N4004,2g,1,1,
1N4004,2i,1,3,
1N4004,2j,1,1,
1N4004,2k,1,2,
1N4004,2l,1,1,
1N4004,2m,1,1,
1N4004,2o,1,2,
1N4004,2r,1,1,
1N4004,2u,1,1,
1N4004,2w,1,1,
1N4004,2x,1,1,
1N4004,2y,1,1,
1N4004,3,1,1,
1N4004,32,1,2,
1N4004,35,1,1,
1N4004,3b,1,1,
1N4004,3e,1,1,
1N4004,3l,1,1,
1N4004,3o,1,1,
1N4004,3y,1,1,
1N4004,44,1,1,
1N4004,4b,1,1,
1N4004,4e,1,1,
1N4004,4s,1,1,
1N4004,4t,1,1,
1N4004,55,1,2,
1N4004,5f,1,1,
1N4004,5l,1,2,
1N4004,60,1,1,
1N4004,64,1,1,
1N4004,6c,1,1,
1N4004,7,1,1,
1N4004,79,1,1,
1N4004,7l,1,2,
1N4004,7r,1,1,
1N4004,8b,1,1,
1N4004,8l,1,1,
1N4004,8t,1,1,
1N4004,8u,1,1,
1N4004,8y,1,2,
1N4004,92,1,1,
1N4004,94,1,1,
1N4004,9n,1,1,D4 Q2 D3
1N4004,9r,1,2,D2 D1 R1
1N4004,a0,1,2,D2 C4 R9
1N4004,a2,1,1,D1 D2 Q4
1N4004,a3,1,1,D2 D1 R9
1N4004,af,1,1,D13 Q10 Q12
1N4004,ap,1,1,D1 R10 R9
1N4004,b,1,1,
1N4004,b4,1,1,D2 R5
1N4004,b5,1,1,R2 C3 C4
1N4004,bo,1,1,D1 R3 R1
1N4004,bq,1,1,D3 D4
1N4004,c1,1,1,D6 Q1 R4
1N4004,c5,1,1,D1 Q5
1N4004,c9,1,1,
1N4004,ca,1,1,
1N4004,ci,1,1,D4 D3
1N4004,cq,1,1,C5 D1 U3
1N4004,df,1,2,D1 C2 C3
1N4004,e6,1,1,D3 D4 D1
1N4004,ej,1,2,D1 D2 R1
1N4004,en,1,1,D1 R17 J2
1N4004,f1,1,1,R2
1N4004,f2,1,1,Q2
1N4004,f3,1,1,TR1 D1
1N4004,f7,1,1,Q2
1N4004,f9,1,1,D2 Q5
1N4004,fa,1,1,
1N4004,fb,1,1,U3A R32
1N4004,fc,1,1,D2 R5
1N4004,fd,1,1,D2 Q5
1N4004,ff,1,1,
1N4004,fg,1,2,
1N4004,fh,1,1,D2 R1
1N4004,fi,1,1,R1 R3 R2
1N4004,fj,1,1,R1
1N4004,fk,1,1,D4 D3
1N4004,fz,1,1,D1 Q1 Q2
1N4004,g0,1,4,D1 Q1 Q2
1N4004,g1,1,4,D1A Q2A R1A
1N4004,g2,1,1,D3 D4
1N4004,g3,1,1,D3 D4
1N4004,g5,1,1,C2
1N4004,g6,1,1,C2
1N4004,g9,1,1,R8
1N4004,ga,1,1,R3
1N4004,gb,1,1,D3 D4
1N4004,gc,1,1,D3 D4
1N4004,gp,1,3,D3
1N4004,gr,1,2,D2 C4
1N4004,h2,1,1,D6 R13 J3
1N4004,h9,1,1,
1N4004,i2,1,1,D8 C10
1N4004,i3,1,1,D8 C10
1N4004,i4,1,1,C2
1N4004,i5,1,1,R7
1N4004,i6,1,1,
1N4004,ii,1,1,D2 D4
1N4004,ij,1,1,D2
1N4004,iy,1,1,D4 C4 C2
1N4004,jh,1,2,D2 U1
1N4004,ji,1,2,D4
1N4004,jv,1,1,D3 D4 R5
1N4004,k0,1,1,
1N4004,k1,1,3,
1N4004,ka,1,1,D9 C7 C8
1N4004,kb,1,1,D2
1N4004,ko,1,1,D3 R16 R13
1N4004,kw,1,1,D3 R19 R21
1N4004,kz,1,1,R11 Q1 VR1
1N4004,l0,1,1,D2 D1 C2
1N4004,l1,1,3,D1 D2 C2
1N4004,l2,1,1,D1 R2 D2
1N4004,l3,1,1,D1 R2 R3
1N4004,l4,1,1,D2 R8
1N4004,l5,1,1,D2 R8
1N4004,lh,1,1,D1
1N4004,m3,1,1,D3 D4 C1
1N4004,np,1,1,D1 D2 R4
1N4004,nq,1,1,D7 D8 D2
1N4004,o0,1,1,D2 C4
1N4004,o1,1,1,D2 D3 C4
1N4004,o2,1,1,D7 D8 Q1
1N4004,o3,1,1,D1 R9 C3
1N4004,o4,1,1,D1 R9 C3
1N4004,o5,1,1,D1 R9 C3
1N4004,oe,1,1,D2 Q1
1N4004,p0,1,1,D2
1N4004,q8,1,1,R203 R201 R202
1N4004,qe,1,1,C3
1N4004,qr,1,1,D4 R14 Q3
1N4004,r2,1,1,D1 D2
1N4004,r3,1,1,D1 D2
1N4004,s,1,1,
1N4004,si,1,1,D1 R3
1N4004,t,1,3,
1N4004,tl,1,1,D3 D4
1N4004,v3,1,1,R3 Q1 C1
1N4004,w,1,1,
1N4004,xm,1,4,D2a Q1a R3a
1N4004,xn,1,1,R8 VR3
1N4004,xr,1,1,D2 D1
1N4004,y2,1,1,D1 Q1A R1
1N4004,y3,1,2,D1 Q1 R3
1N4004,y4,1,2,D1 Q2
1N4004,y5,1,1,D1 Q1 R3
1N4004,y6,1,1,D1 Q1 R3
1N4004,y7,1,1,D1 Q1 Q2
1N4004,y8,1,1,D1 Q1 Q2
1N4004,y9,1,1,D1 Q1 Q2
1N4004,ya,1,1,D1 Q1 R3
1N4004,yb,1,1,D1 Q1 Q2
1N4004,yc,1,1,D1 Q1 R3
1N4004,yd,1,1,D1 R4A Q2
1N4004,yf,1,1,D2 Q1 R3
1N4004,yg,1,3,D1 Q1 Q2
1N4004,yo,1,1,D1 Q1 R2
1N4004,yu,1,1,D2 R4 U2
1N4004,yx,1,2,D1
1N4004,yy,1,1,R3 Q1
1N4004,zi,1,2,D1
1N4004,zm,1,1,D3 D4
1N4004,zn,1,1,D1
1N4004,zo,1,1,D1
1N4004,zp,1,1,D3 D4 D1
1N4004,zq,1,1,D3 D4 C2
1N4004,zr,1,1,D1
1N4004,zy,1,2,D5 ZD1 C2
1N4007,2x,1,1,
1N4007,4r,1,1,
1N4007,5x,1,2,
1N4007,6b,1,1,
1N4007,f,1,1,
1N4007,f4,1,1,
1N4007,ff,1,1,D4 U1 C1
1N4007,fg,1,1,D3 C2 D6
1N4007,k1,1,2,TR2
1N4007,kz,1,1,D1 C4
1N4007,oo,1,2,D1 R3 D2
1N4007,ot,1,2,D2 D1 R6
1N4007,qu,1,1,
1N4007,zf,1,1,D1 R4 C4
1N4007GP,z0,1,1,D2 R3 C3
1N4148,13,1,1,
1N4148,19,1,1,
1N4148,1c,1,2,
1N4148,1l,1,1,
1N4148,29,1,1,
1N4148,2a,1,2,
1N4148,2i,1,3,
1N4148,2o,1,1,
1N4148,2q,1,1,
1N4148,2u,1,2,
1N4148,2z,1,1,
1N4148,35,1,1,
1N4148,39,1,1,
1N4148,3a,1,1,
1N4148,3b,1,1,
1N4148,3i,1,1,
1N4148,3k,1,2,
1N4148,3o,1,1,
1N4148,3r,1,1,
1N4148,3t,1,1,
1N4148,42,1,1,
1N4148,43,1,2,
1N4148,44,1,1,
1N4148,45,1,1,
1N4148,4a,1,1,
1N4148,4b,1,1,
1N4148,4z,1,1,
1N4148,51,1,2,
1N4148,52,1,4,
1N4148,55,1,2,
1N4148,5f,1,2,
1N4148,5w,1,1,
1N4148,5y,1,1,
1N4148,5z,1,1,
1N4148,60,1,1,
1N4148,63,1,1,
1N4148,64,1,1,
1N4148,6c,1,9,
1N4148,6f,1,1,
1N4148,6v,1,4,
1N4148,6y,1,1,
1N4148,70,1,3,
1N4148,72,1,1,
1N4148,77,1,1,
1N4148,79,1,1,
1N4148,7b,1,1,
1N4148,7h,1,1,
1N4148,7l,1,2,
1N4148,7q,1,1,
1N4148,7r,1,2,
1N4148,8p,1,1,
1N4148,94,1,1,
1N4148,9n,1,2,D5 R13 C1
1N4148,ak,1,3,D2 D3 R24
1N4148,an,1,1,D3 D2 D4
1N4148,ap,1,1,D3 D2
1N4148,as,1,1,D2 D3 C4
1N4148,au,1,4,D1 D2
1N4148,av,1,4,D1 D2
1N4148,ay,1,2,U1 D7 D8
1N4148,b0,1,1,C3 D4 D3
1N4148,b1,1,1,C3 D3 D2
1N4148,b3,1,2,D4 D5 ZD1
1N4148,b9,1,1,C5 C6 R6
1N4148,cd,1,1,D1 D2
1N4148,ce,1,1,D1 D2
1N4148,cf,1,1,D1 D2
1N4148,cj,1,2,D5 VR1 C6
1N4148,cr,1,1,R4 D2 D1
1N4148,cs,1,2,D1 D3 D2
1N4148,ct,1,2,D1 D3
1N4148,cu,1,2,D1 D3
1N4148,cw,1,1,R2
1N4148,cx,1,1,
1N4148,cy,1,1,
1N4148,e7,1,1,D1 C4 R11
1N4148,f5,1,1,
1N4148,f6,1,1,
1N4148,fl,1,1,D2
1N4148,fm,1,2,D3 Q1 C2
1N4148,fn,1,2,D3 C2 Q1
1N4148,fo,1,1,D2
1N4148,fp,1,1,D2
1N4148,g9,1,1,R8
1N4148,ga,1,1,R3
1N4148,h2,1,1,D3 D4 D1
1N4148,h3,1,1,R11 R12 D2
1N4148,h4,1,1,D2 D3 C5
1N4148,h8,1,2,D1 U1B
1N4148,ha,1,2,D1 C2 U1B
1N4148,hb,1,1,D1 C5 R3
1N4148,hc,1,2,D2 D1
1N4148,he,1,2,D1 U1A Q1
1N4148,hf,1,1,D1 R5 U1B
1N4148,hg,1,1,D1 U1B U1A
1N4148,hh,1,2,D1 R5 U1B
1N4148,hr,1,1,D1 D3 D2
1N4148,ht,1,1,D4 D3 D6
1N4148,i4,1,1,R3 D2 R5
1N4148,id,1,1,D3 U1A C2
1N4148,if,1,1,
1N4148,ig,1,1,D3 R9 C3
1N4148,ik,1,1,C3
1N4148,iq,1,1,R3 VR1
1N4148,iv,1,1,
