part,doc,page,times,near
0D3H,1p,27,2,IC5
12AT7,10,99,1,
12AT7,60,18,2,V4A V5
12AU7,2i,38,3,
12AU7,2i,43,1,V2 V1 T1
12AX7,2i,38,1,X2 X1 V2
12AX7,2i,39,1,
12AX7,2i,43,1,V1 V2 T1
12AX7,2i,44,1,
12AX7,8d,54,1,
12AX7,8e,38,1,
12AX7A,2x,42,1,V4 V9 Q4
1N100,1q,52,1,
1N1002,7u,41,1,
1N1007,1p,73,1,
1N146,89,39,1,
1N148,13,64,1,
1N148,48,14,1,RV3 R42 R44
1N148,49,12,1,D1 R19 C128
1N148,6k,56,1,
1N148,6l,56,1,
1N148,6m,56,1,
1N148,6n,56,1,
1N148,6o,56,1,
1N148,9k,22,1,D3 C549 P2
1N1589,1r,141,1,
1N1589,22,69,1,
1N1589,30,36,1,
1N2071,28,164,2,T2 C2 R6
1N2071,4h,24,2,R206
1N2175,10,99,2,
1N2175,1z,52,2,
1N23,7i,40,1,
1N2939,6x,15,5,D1 C1 L1
1N34,1v,60,1,
1N34,1v,85,1,C1
1N34,40,72,1,C1
1N34,8,44,1,
1N34,8m,38,3,
1N34,a4,60,1,
1N34,a4,85,1,C1
1N34A,3a,81,1,
1N3891R,2i,89,1,
1N3906,6y,58,1,
1N3981,4v,36,1,D4 C2 D3
1N3981,4w,83,1,Q6 Q5 ZD7
1N400,2n,46,1,
1N400,a,41,1,D2 C1
1N4000,1v,97,1,
1N4000,3j,67,1,
1N4000,6c,29,1,ZD1
1N4000,8d,55,1,ZD1 D5 C21
1N4000,8d,56,1,ZD1 D5
1N4000,a4,97,1,
1N4001,0,2,1,ZD1 Q2 Q1
1N4001,0,47,2,D10 T1 D9
1N4001,1,9,1,
1N4001,1,15,2,D3 D4 D7
1N4001,1,38,1,
1N4001,10,48,1,
1N4001,10,75,1,LED1 C19 Q12
1N4001,11,58,1,D6 IC6 C16
1N4001,12,41,1,U321 IC203 C216
1N4001,12,89,2,R1
1N4001,12,101,1,D1 RV2 C2
1N4001,13,37,1,IC3 IC2 IC1
1N4001,13,64,5,IC1
1N4001,13,66,3,
1N4001,14,23,1,Q1 IC1 T1
1N4001,14,62,1,D4 D3
1N4001,14,63,1,IC1 IC2 SW1
1N4001,14,84,1,
1N4001,14,85,10,
1N4001,15,46,1,Q7 D10 D9
1N4001,15,50,1,SW16 SW15 SW14
1N4001,15,51,1,
1N4001,16,29,2,D1 C1 R2
1N4001,16,35,1,R1 R3 Q1
