part,doc,page,times,near
0B2F,91,36,1,
12AT7,ae,52,1,
12AU7,b4,60,1,
12AX7,3,24,2,
12AX7,3,54,2,
12AX7A,3,24,1,
12BH7,8b,18,1,
1N001,7l,29,1,D1 IC1
1N1001,92,15,1,D2
1N1418,8t,16,1,D1 C6 IC1
1N148,8j,19,1,D2 IC5d
1N148,8p,38,1,D3 R10 C7
1N148,8u,25,2,D2 VR1 TR5
1N148,a0,41,1,R72 TR1
1N148,bv,17,1,Q5 Q3
1N148,c7,75,1,
1N148,k,61,1,
1N148,s,49,1,C7 R2 R11
1N148,w,47,1,D7 R36
1N3890,4m,28,1,
1N3899,4k,39,1,
1N3909,4k,39,1,
1N40,c0,26,1,Q8 Q10 D1
1N400,6y,54,1,
1N400,7d,36,1,D5 C3 C4
1N400,au,39,1,D1 S1 C20
1N4000,7l,58,1,
1N4000,9p,29,1,
1N4000,af,20,1,
1N4000,c4,32,1,
1N4000,n,33,1,
1N4001,0,52,2,D5 D6 S1
1N4001,0,53,1,IC1 IC2 S1
1N4001,1,14,1,D1 C4 D2
1N4001,1,17,1,D1 C4 IC1
1N4001,1,38,1,D8 D7 TR5
1N4001,10,56,2,D4 TR2 L1
1N4001,10,57,4,D1 D3 C2
1N4001,11,16,1,D5 D10 TR2
1N4001,11,27,4,D3 C1 D4
1N4001,12,53,1,D1 IC1a R1
1N4001,12,67,1,D1 C1 R1
1N4001,12,72,1,D1 D2 C1
1N4001,13,43,3,D1 D2 R1
1N4001,14,15,1,C15 D2 D1
1N4001,14,31,1,
1N4001,14,41,5,D4 TR3 R7
1N4001,14,44,2,
1N4001,15,31,3,D1 D2 R1
1N4001,15,33,3,D1 D2 C1
1N4001,15,59,2,S1
1N4001,15,61,1,D1 C2 C1
1N4001,16,64,1,D2 D1 R7
1N4001,17,15,3,TR3 IC1 C4
1N4001,18,64,1,D1 IC3c IC3d
1N4001,19,37,5,D1 TR1 R11
1N4001,19,38,1,C3 R10 IC1
1N4001,1b,53,2,D1 C2 R1
1N4001,1b,54,1,D1 R1 C1
1N4001,1c,51,1,D2 TR1 TR2
1N4001,1d,42,1,D3 D4 D5
1N4001,1e,26,1,D3 TR1 D2
1N4001,1e,45,1,
1N4001,1e,71,2,D1 IC1
1N4001,1f,17,1,C2
1N4001,1f,18,1,D3 C2 IC1
1N4001,1f,50,1,S1
1N4001,1g,39,1,C15 C14
1N4001,1h,31,3,
1N4001,1r,19,4,D1 D2 D3
1N4001,1w,19,2,D2 D1 D3
1N4001,2,33,1,C9 D5 T2
1N4001,2,34,1,TR4 D6 D5
1N4001,2,40,1,R10 S3 VR2
1N4001,2,42,1,D1 IC1 IC2
1N4001,24,31,2,
1N4001,27,21,2,C1 T1
1N4001,2b,24,3,
1N4001,2m,40,1,TR1 D1 TR2
1N4001,2o,21,3,D1 D2 TR3
1N4001,3,16,4,D1 R3 IC1
1N4001,3,17,1,
1N4001,3,25,1,C5 R7 C6
1N4001,3,39,2,T2 C9 C12
1N4001,3,40,1,D7 D3 D8
1N4001,31,12,1,
1N4001,34,40,4,D1 D2 D4
1N4001,39,13,2,
1N4001,3e,11,1,S1
1N4001,3f,31,2,TR2 D1 D2
1N4001,3h,29,1,D1 D2 D3
1N4001,3k,11,1,
1N4001,3l,41,5,D1 D2 T1
1N4001,3m,27,3,D1 D2 C6
1N4001,3m,42,1,D3 D4
1N4001,3m,43,2,D1 D2 T1
1N4001,3m,48,1,
1N4001,3n,12,2,C6 D21 C5
1N4001,3o,10,1,D6 TR1
1N4001,3o,25,1,D3 D2 C2
1N4001,3o,43,1,R3 R2 R1
1N4001,3p,19,1,
1N4001,3q,23,1,R5 R4
1N4001,3r,20,1,D2 D3
1N4001,3s,16,1,TR1 D2 D1
1N4001,3t,40,1,
1N4001,3u,14,1,T1
1N4001,3w,32,1,D3 TR1 C3
1N4001,3x,15,1,
1N4001,3y,16,1,
1N4001,3y,42,2,D1 IC1 D2
1N4001,4,15,2,T1 S2 R12
1N4001,4,55,1,D4 D5 IC1
1N4001,4,58,1,D1 VR1 S1
1N4001,4,59,1,D2 D3 D4
1N4001,40,16,3,C4 S3 R17
1N4001,40,27,1,TR1 D4 D1
1N4001,41,17,1,TR3
1N4001,41,19,1,
1N4001,42,40,1,C280 C3 IC1
1N4001,42,48,2,T1 S1a S2a
1N4001,43,38,1,D2 D1 S1
1N4001,43,42,1,D1 D2 S1
1N4001,45,23,2,D1 C1 T1
1N4001,45,35,1,D1 D2 C1
1N4001,47,17,1,D3 D2 TR5
1N4001,49,45,1,D8 D7 D9
1N4001,4a,18,2,D2 R13 R14
1N4001,4a,19,1,TR3 D1 IC1
1N4001,4a,33,2,D6 D5 IC1
1N4001,4b,39,1,R3 TR1 TR2
1N4001,4d,21,1,D1 S3
