part,doc,page,times,near
12AT7,gp,29,2,
12AU7,96,1,4,
12AU7A,53,13,1,IC1b
12AU7A,cx,1,2,
12AU7A,d1,1,1,IC1b
12AV6,18,1,1,V1
12AX7,18,1,2,V1
12AX7,53,14,1,
12AX7,53,15,2,
12AX7,53,16,3,
12AX7,53,38,1,
12AX7,53,63,1,
12AX7,53,65,1,
12AX7,53,78,3,
12AX7,du,1,1,L03
12AX7,gp,5,2,
12AX7,gp,7,2,
12AX7,gp,9,3,
12AX7,gp,10,3,
12AX7,gp,11,1,
12AX7,gp,12,1,
12AX7,gp,29,3,
12AX7,gp,30,3,
12AX7A,4u,1,2,
12AX7A,4v,1,5,
12AX7A,53,43,6,V2A C9 R19
12AX7A,53,67,1,C47 C47 R13
12AX7LPS,gp,9,1,
12AX7LPS,gp,10,1,
12AX7WA,gp,11,1,
12AX7WB,c0,1,1,
12AY7,53,78,1,
12AY7,gp,29,1,
12AY7,gp,30,2,
12BH7,gp,7,1,
12DW7,gp,7,1,
1N001,53,138,2,Q11 R59 R61
1N007,53,56,1,R58 R1 C2
1N148,84,63,2,
1N194,2q,8,1,
1N227,53,40,1,D12 C17 R18
1N270,53,72,1,
1N270,53,125,1,
1N270,cg,1,1,
1N270,ch,1,1,
1N276,53,101,1,
1N276,6n,1,1,
1N34,53,72,2,
1N34,53,125,2,
1N34,7n,1,1,
1N34,cg,1,2,
1N34,ch,1,2,
1N346,86,18,2,D1 C10 IC9
1N346,86,41,2,D2 R29 D1
1N346,87,21,2,D2 R29 D1
1N346,87,45,2,D1 C10 IC9
1N34A,0,1,2,V2 R23 R28
1N34A,4c,1,2,
1N34A,4d,1,1,IC2 IC2
1N34A,53,9,1,
1N34A,7k,1,2,
1N34A,7l,1,1,
1N34A,7q,1,1,
1N34A,7q,2,1,D1 R1 VR1
1N34A,82,1,3,D2 D1 C4
1N34A,95,1,1,
1N34A,b3,1,4,
1N34A,bt,1,1,
1N34A,by,1,1,
1N34A,bz,1,1,R2 U1A
1N3600,53,13,1,IC2
1N3600,cx,1,1,IC2
1N3600,d1,1,1,IC2
1N3666,53,2,2,IC1b J1 Q2
1N3666,er,1,2,IC1b J1 Q2
1N4001,10,1,1,D4 C24 D5
1N4001,1r,1,2,C2
1N4001,1s,1,1,
1N4001,3,5,1,
1N4001,32,1,2,C10 C10 C12
1N4001,53,14,1,IC1c
1N4001,53,15,1,
1N4001,53,67,1,R59 R60 C33
1N4001,53,74,2,
1N4001,53,87,2,
1N4001,53,91,1,J111 Q1 Q2
1N4001,53,122,1,
1N4001,53,134,1,
1N4001,53,135,1,
1N4001,53,138,2,Q11 R59 R61
1N4001,53,139,2,C2
1N4001,5l,1,1,IC307B J5 IC307A
1N4001,5p,1,1,T1 Q3 Q6
1N4001,6e,1,1,D12 J1 R1
1N4001,6u,1,2,
1N4001,71,1,1,T1 Q3 Q6
1N4001,77,1,1,D201 C201 R2
1N4001,79,1,1,
1N4001,7e,1,1,
1N4001,7v,5,1,
1N4001,7v,9,1,D1 C3 R1
1N4001,92,4,2,D2 T1 C1
1N4001,93,2,1,
1N4001,93,4,1,D3 D2
1N4001,98,6,1,IC1 IC2 IC3
1N4001,9b,1,1,J111 Q1 Q2
1N4001,9c,1,1,D1 C10 R33
1N4001,9d,1,1,D1 C38 T1
1N4001,9f,1,1,
1N4001,9z,1,1,D3 R34 P2
1N4001,aa,1,1,D6 D4 D3
1N4001,ao,1,1,
1N4001,b3,1,4,
1N4001,bc,1,1,
1N4001,bf,1,1,
1N4001,bi,1,1,R7 R2 C21
1N4001,bl,1,1,Q6 J113 C33
1N4001,bt,1,1,
1N4001,bx,1,1,D2 IC3 C14
1N4001,bz,1,1,R2 U1A
1N4001,c1,1,1,D7 C30 R55
1N4001,c8,1,1,
1N4001,cf,1,1,
1N4001,cu,1,1,
1N4001,cv,1,1,
1N4001,cw,1,1,
1N4001,dl,1,1,C2
1N4001,dn,1,2,X4 VR1
1N4001,dp,2,1,
1N4001,dt,2,1,J111 R72 R75
1N4001,dt,3,1,D1 Q1 J111
1N4001,dt,4,1,J111 R72 U23
1N4001,dx,1,1,
1N4001,dy,1,1,
1N4001,e7,1,1,R1 R2 IC7
1N4001,f0,1,1,D1 C1 R2
1N4001,fd,1,1,J111 C2 C16
1N4001,fe,2,1,D5 C34 R13
1N4001,fe,3,2,
1N4001,g,1,1,
1N4001,p,1,2,D5 R1 C17
1N4001,q,1,1,D1 J111 R41
1N4001,u,1,2,
1N4001R,3,3,2,D12 C39 L4
1N4001R,3,5,1,
1N4001R,dp,1,1,D4 R27 C24
1N4001R,dp,2,1,
1N4002,1f,1,1,
1N4002,1t,1,1,C1
1N4002,1u,1,1,
1N4002,2j,1,1,
1N4002,2k,1,1,
1N4002,53,86,1,
1N4002,53,127,1,
1N4002,5o,4,1,T1 D5 D4
1N4002,5o,6,1,D3 TR1 IC13
1N4002,86,24,1,
1N4002,87,38,1,
1N4002,c5,1,1,
1N4002,d6,1,1,
1N4002,dd,1,2,
1N4002,e3,1,1,D4 C33 R52
1N4002,e5,1,1,D1 C41 R53
1N4002,e8,1,2,D4 C32 C33
1N4003,53,43,3,C37 R83 R84
1N4003,53,44,1,R42 R42 U4
1N4003,53,46,1,C201 D201 R201
1N4003,9j,1,2,C20 R28 C21
1N4003,aj,1,1,
1N4003,ak,1,1,C1 J3
1N4003,ec,1,2,C29 C30 R34
1N4004,64,1,1,D7 D3 Q15
1N4004,84,60,5,
1N4004,84,62,2,
1N4004,86,43,2,
1N4004,86,44,2,C3 R12 R18
1N4004,87,18,2,C3 R12 R18
1N4004,87,19,2,
1N4004,8a,3,1,
1N4004,bw,1,1,C29
1N4004,da,3,1,
1N4004,da,4,2,D2 C1 X2
1N4004,dq,1,1,D101 C101 IC101
1N4004,h,1,2,D1 P6 D4
1N4005,53,68,1,
1N4005,8q,8,2,
1N4007,53,34,2,D4 D5 J6
1N4007,53,37,2,D11 D10 C43
1N4007,53,38,1,D6 D2 C12
1N4007,53,39,2,D11 C49 J6
1N4007,53,40,3,C23 C35 C35
1N4007,53,41,1,D11 D6 D7
1N4007,53,51,1,
1N4007,53,52,1,
1N4007,53,54,2,D1 R5 V1b
1N4007,53,63,3,D6 C12 R24
1N4007,53,64,2,C43 J6 T2
1N4007,53,65,3,D6 C12 R24
1N4007,53,66,2,C43 J6 T2
1N4007,53,140,1,D1 R1 R2
1N4007,cj,1,1,D1 R1 R2
1N4081,9k,2,1,D2 C14 T1
1N41,7n,1,1,
1N4118,dn,1,1,T8 T9
