part,doc,page,times,near
12AX7,1,95,2,
12AX7,16,4,1,
12AX7,16,6,1,
12AX7,1m,95,2,
1N4004,12,6,1,
1N4004,1a,6,1,
1N4004,1e,2,1,
1N4004,1g,8,1,D3
1N4004,w,5,1,R8 C3 R9
1N4004,w,8,1,R8 C3 R9
1N4148,1f,3,1,Q11 Q6 Q5
1N4739,12,6,1,
1N4739,13,2,1,
1N4739,18,4,1,
1N4739,18,5,1,
1N4739,c,7,1,
1N4739,p,2,2,R104 D102 D102
1N5239,1c,5,1,Q3 P1 Q2
1N5401,1e,2,1,
1N914,1g,8,1,D3 Q4
1N914,1t,3,1,
1N914,3,2,1,D1 Q2 Q1
1N914,v,3,1,
1X2,11,7,2,
2KBP02M,18,5,1,
2N4250,16,5,1,
2N4250,16,6,1,
2N4739,p,2,3,C101 R126 R125
2N5248,15,1,1,
2N5248,1f,3,1,Q11 Q6 Q5
2N5877,1g,8,1,
2N6756,1e,3,1,
2SJ108,1p,13,1,
2SJ108,7,6,1,
2SJ108,8,5,1,
2SJ109,1n,4,1,
2SJ109,t,6,1,
2SJ109,u,5,1,
2SJ18,4,1,4,
2SJ18,4,2,2,
2SJ18,4,4,2,
2SJ18,4,9,1,
2SJ18,7,5,1,
2SJ18,8,2,1,
2SJ201,o,11,1,
2SJ28,4,1,4,
2SJ28,4,2,1,
2SJ28,4,4,1,
2SJ28,7,1,2,
2SJ28,7,5,1,
2SJ28,8,2,2,
2SJ28,8,3,2,
2SJ28,8,16,1,
2SJ28,g,8,1,
2SJ28,j,1,1,
2SJ28,j,6,1,
2SJ28,j,11,1,
2SJ28,k,4,1,
2SJ28,k,5,3,
2SJ313,i,8,1,
2SJ313,p,9,2,
2SJ74,0,1,1,
2SJ74,1j,5,1,
2SJ74,1p,13,1,
2SJ74,8,5,1,
2SJ74,f,5,1,
2SJ74,f,14,1,
2SJ74,i,5,1,
2SJ74,l,2,2,
2SJ74,l,3,2,
2SJ74,o,2,1,Q2 R4 R12
2SJ74,o,5,1,
2SJ74,o,12,1,
2SJ74,p,5,1,Q2 R7 R9
2SJ74,p,9,2,
2SJ74,t,6,1,
2SJ74,u,5,1,
2SK1530,o,11,1,
2SK170,16,7,1,
2SK170,1i,6,1,
2SK170,1j,5,1,
2SK170,1n,4,1,
2SK170,1p,13,1,
2SK170,1t,3,1,
2SK170,2,1,1,
2SK170,2,2,1,
2SK170,2,3,1,
2SK170,2,5,2,
2SK170,8,5,1,
2SK170,9,11,1,
2SK170,c,3,1,
2SK170,f,5,1,
2SK170,f,14,2,
2SK170,i,5,1,
2SK170,l,2,2,
2SK170,l,3,2,
2SK170,m,9,1,
2SK170,o,2,1,Q1 R3 R9
2SK170,o,5,1,
2SK170,o,12,1,
2SK170,p,5,1,Q1 R6 R3
2SK170,p,9,2,
2SK170,t,6,2,
2SK170,u,5,2,
2SK170,v,3,1,
2SK2013,h,4,1,
2SK2013,i,8,1,
2SK2013,p,9,2,
2SK28,k,6,1,
2SK370,1p,13,1,
2SK370,1t,3,1,
2SK370,7,6,1,
2SK370,8,5,1,
2SK370,c,3,1,
2SK370,f,14,1,
2SK370,v,3,1,
2SK389,16,8,1,
2SK60,4,1,4,
2SK60,4,2,2,
2SK60,4,3,2,
2SK60,4,4,1,
2SK60,4,7,1,
2SK60,7,5,1,
2SK60,8,2,1,
2SK77,n,4,1,
2SK82,4,1,4,
2SK82,4,2,1,
2SK82,7,1,2,
2SK82,7,5,1,
2SK82,7,6,1,
2SK82,8,2,2,
2SK82,g,8,1,
2SK82,j,1,1,
2SK82,j,6,1,
2SK82,j,11,1,
2SK82,k,4,2,
2SK82,k,5,3,
2SK82,k,6,1,
2SK82,n,4,1,
2SK82,n,5,1,
300B,1,62,1,
300B,1h,4,1,
300B,1i,4,1,
300B,1k,9,1,
300B,1l,9,1,
300B,1m,62,1,
300B,1n,3,2,
300B,1o,2,1,
300B,1r,6,1,
300B,d,3,1,
300B,d,6,1,
300B,d,8,1,
300B,n,2,1,
300B,n,3,1,
300B,r,8,1,
300B,r,11,2,
300B,s,5,1,
300B,x,3,1,
4N35,a,6,1,J113
6C33C,d,8,1,
6CA7,1,35,1,
6CA7,1m,35,1,
6L6,2,3,1,
6L6,4,1,1,
6L6,5,17,1,
6L6,8,6,1,
6L6,8,17,1,
6L6,9,10,1,
6L6,a,5,1,
6L6,c,8,1,
6L6,f,11,1,
6L6,g,3,1,
BDP83,1,58,1,
BDP83,1,89,1,
BDP83,1m,58,1,
BDP83,1m,89,1,
ECC88,d,8,1,
EL34,1,35,1,
EL34,1,37,1,
EL34,1m,35,1,
EL34,1m,37,1,
FQA12P20,1p,13,1,
FQA12P20,o,2,1,Q3 R13
FQA19N20,o,2,1,Q4 R14
FQA19N20C,1p,13,1,
IRF040,1b,2,1,
IRF130,1e,3,1,
IRF140,12,5,1,
IRF140,1b,2,4,
IRF230,14,4,2,
IRF230,1d,9,10,Q34 R76 R78
IRF230,1e,3,3,
IRF230,1e,8,2,
IRF231,1e,3,1,
IRF232,1e,3,1,
IRF233,1e,3,1,
IRF240,10,7,1,
IRF240,14,4,3,
IRF240,1b,2,1,
IRF240,1p,13,1,
IRF250,4,2,2,
IRF250,4,5,2,
IRF250,7,2,1,
IRF250,7,6,1,
IRF250,8,16,1,
IRF330,1e,3,1,
IRF510,18,4,1,
IRF510,1a,6,1,
IRF510,1e,3,2,
IRF512,1e,3,1,
IRF520,5,4,1,
IRF520,5,10,1,
IRF610,10,9,2,
IRF610,18,4,5,
IRF610,1a,6,2,
