part,doc,page,times,near
1590BB,18,2,1,
1590BB,3,1,1,
1590BB,3f,1,1,
1590BB,5l,1,1,
1590BB,67,7,1,
1590BB,72,1,1,
1590BB,9,5,1,
1N100,20,1,3,
1N100,21,2,1,
1N100,22,1,1,R11
1N100,23,1,2,C6
1N100,24,1,2,C5 C7 R13
1N100,25,1,1,D1 R11
1N270,4a,2,1,D1 R19 Q3
1N270,4b,2,1,
1N270,4c,1,2,D1 C5 R10
1N270,4d,1,1,R19 Q3 R12
1N270,4e,2,1,
1N270,4f,1,2,D1 C5 R10
1N270,4g,1,1,D1 R19 Q3
1N270,4k,3,1,
1N270,4l,1,2,D1 C11 C9
1N270,4m,1,1,R19 Q3
1N270,4n,2,1,
1N270,4o,1,2,C5 R15
1N270,4p,1,1,D1 R19 Q3
1N270,4r,1,1,D1 C5 R10
1N270,5x,4,2,
1N34,4q,2,1,
1N34,4s,1,1,D1 R19 Q3
1N34A,3z,1,1,
1N34A,40,1,2,D1 C3 T1
1N34A,55,2,1,
1N34A,56,1,1,D2 C3 R5
1N34A,57,1,1,V3 R5 C6
1N34A,6u,3,1,
1N34A,6v,1,1,R15 R17 C9
1N34A,6w,2,1,
1N34A,6x,1,2,D1 T1 D2
1N34A,6y,1,2,D1 T1 D2
1N34A,6z,1,2,C6 C90
1N34A,70,1,2,C6 Q3
1N34A,71,1,2,C6 C9
1N400,38,1,1,D1 C9
1N4001,10,1,1,R1 R1 C4
1N4001,15,3,1,
1N4001,16,1,1,D2 IC1a D1
1N4001,19,3,3,
1N4001,19,4,1,
1N4001,36,1,3,C11 D1 D2
1N4001,37,1,3,D3 IC1a R18
1N4001,38,1,2,D3 R10
1N4001,5e,1,1,
1N4001,5e,2,1,D2 D1 R6
1N4001,5f,2,1,
1N4001,5t,2,1,
1N4001,7k,7,1,
1N4001,7m,1,1,
1N4001,7r,1,1,
1N4001,85,1,2,D1 C1 R7
1N4001,88,1,2,D1 C4 C5
1N4001,j,2,2,D1 R1 C3
1N4001,j,6,4,
1N4001,j,7,1,C8 C7
1N4001,m,2,1,
1N4001,p,2,1,
1N4001,r,1,2,C6
1N4001,v,3,2,
1N4001,w,1,1,C11
1N4001,x,1,2,C10 R19 Q3
1N4002,45,1,1,D2 D1 C14
1N4002,62,1,2,
1N4002,63,1,1,
1N4002,7s,1,1,
1N4002,7t,1,1,
1N4002,7u,1,10,
1N4002,7v,1,4,
1N4003,18,2,1,
1N4003,19,4,1,
1N4003,1a,1,1,D5 R32
1N4004,7i,1,1,
1N4004,7i,2,5,C1 D1 C3
1N4004,i,1,1,
1N4004,i,2,2,D1 C5 C3
1N4005,2x,2,1,
1N4005,2y,1,1,D1 IC1 C13
1N4005,2z,1,2,
1N4005,30,1,1,
1N4005,31,1,1,C4 J3
1N4005,32,1,1,
1N4005,33,1,1,J3
1N4005,35,1,1,
1N400I,j,6,1,D4 R9 R11
1N400X,7l,1,1,
1N400X,7r,1,1,
1N4148,39,1,1,
1N4148,3b,2,2,
1N4148,3c,1,3,D2 C3 R6
1N4148,3n,5,1,
1N4148,3w,1,3,D1 R3 R4
1N4148,3w,2,3,D1 R3 R4
1N4148,3w,3,3,D1 R3 R4
1N4148,3w,4,1,Q1
1N4148,45,1,1,
1N4148,6b,4,1,
1N4148,s,3,2,
1N4148,t,1,1,R20 C14 R18
1N4148,u,1,1,D3 R19 C10
1N456,6q,1,1,
1N457,7w,8,2,D2 R4 C4
1N4738,62,1,1,
1N4738,63,1,1,
1N5230,78,3,1,
1N5230,79,1,1,D1 C7 R16
1N5230,7b,1,1,D1 R16 C11
1N5232B,6e,1,1,
1N5232B,6f,3,1,
1N5232B,6h,1,1,D1 C8 R12
1N5517,43,2,1,
1N5816,7l,1,1,
1N5817,42,1,1,D1 R6 R1
1N5817,43,1,1,
1N738,63,1,1,
1N746,44,1,2,
1N91,5p,1,1,
1N914,11,4,3,
1N914,12,1,5,D7 C23 C1
1N914,13,1,6,R20 D1 Q7
1N914,15,3,1,
1N914,16,1,2,D5 R10 J3
1N914,19,3,3,
1N914,19,4,1,
1N914,1a,1,1,R17 C8 Q5
1N914,1b,1,10,D5 R12 C16
1N914,1c,1,9,D5 R12 C16
1N914,1i,1,1,D1 J3 R21
1N914,2a,4,3,
1N914,2b,1,5,D7 J3 C23
1N914,2c,1,6,R20 D1 Q7
1N914,2f,3,1,
1N914,2g,1,1,VR1 R18
1N914,2j,3,1,
1N914,2k,1,1,VR1 R18
1N914,2u,1,1,D1 R21 J3
1N914,3b,2,2,
1N914,3h,4,3,
1N914,3k,1,3,D3 IC3 D2
1N914,3o,3,1,
1N914,3p,1,1,D2 R14 R15
1N914,3q,1,3,D2 R19 R18
1N914,3r,3,1,
1N914,3t,1,4,Q1 R14 D1
1N914,3u,1,1,
1N914,3u,2,4,D2 R17 R17
1N914,3u,3,4,R17 R15 R23
1N914,3v,1,1,
1N914,3v,2,4,D2 C5 R17
1N914,3v,3,4,R17 R15 R14
1N914,3x,1,1,
1N914,3y,1,2,D2 D3 D1
1N914,3z,1,1,
1N914,45,1,1,
1N914,4h,2,1,
1N914,4i,1,2,D1 R19 C5
1N914,4j,1,2,D1 C10 R19
1N914,4t,3,2,
1N914,4u,1,1,C12 R20 C14
1N914,4v,1,1,D4 R19 C10
1N914,4w,3,3,
1N914,4w,4,1,
1N914,4z,3,1,
1N914,50,2,1,
1N914,51,2,1,
1N914,52,2,1,
1N914,54,2,1,
1N914,55,2,2,
1N914,56,1,1,R3 D1 R6
1N914,57,1,2,C1 R3 C5
1N914,5a,2,2,
1N914,5b,1,4,
1N914,5c,1,4,
1N914,5d,1,4,C2
1N914,5f,2,1,
1N914,5g,1,4,D4
