part,doc,page,times,near
1N304,0,89,1,R2 R3 Q1
1N34A,1,30,2,D1 R2 T1
1N4001,0,32,1,
1N4001,0,78,1,D1 V0 U1
1N4002,0,61,1,D1 R2 R1
1N4002,0,71,4,D1 D3 D2
1N4002,0,73,1,C43 S1
1N4002,1,87,1,D1 R7 R6
1N4004,0,34,1,T1 R15 S6
1N4004,0,43,1,D1 R2 C1
1N4004,1,83,3,
1N4148,0,42,1,
1N4148,0,70,1,R48 U7 C38
1N4148,0,73,1,R45 R47 R7
1N4148,1,40,4,D1 D2 R1
1N457,1,55,1,
1N4735,0,65,1,D1 R12 R10
1N914,0,32,1,R10 R9 S3
1N914,0,36,1,C2 C3 R5
1N914,0,43,2,D2 U1 C1
1N914,0,54,1,D1 R3 U2
1N914,1,54,1,R5 R6 R9
1N914,1,66,1,D1 R2 R1
1N914,1,86,2,D2 C3 D1
1N914A,0,51,2,D2 C4 D1
2N2222,0,36,1,Q1 C9 R6
2N2222,0,49,3,Q2 R6 R2
2N2222,0,54,2,Q1 R5 U3
2N2222,0,82,1,Q2 D1 R1
2N2222,1,21,2,Q2 R5 R4
2N2222,1,82,1,
2N2222,1,87,3,Q3 R7 Q2
2N2646,0,33,1,Q8 S5 C3
2N2955,0,48,1,Q1 C5 R1
2N3053,0,34,2,Q9 R15
2N3055,0,79,2,R3 Q1 R4
2N3055,0,80,1,
2N3904,0,32,6,Q4 Q2 R9
2N3904,0,34,1,Q9 R15
2N3904,0,51,2,Q1 S4 C2
2N3904,1,45,1,Q2 R8 R7
2N3906,0,32,1,Q1 C2 C1
2N3906,1,45,2,Q1 C4 R3
2N4093,0,48,1,Q1 C3 C1
2N5829,0,48,1,Q1 C5 R1
6C5,0,23,1,
74C14,0,42,1,
74C14,0,43,4,C5 R7 C4
74LS90,0,36,3,R6
CA3080,0,69,1,
LM311,1,40,2,U1 R4 R6
LM317,0,71,1,U17
LM317,0,78,1,
LM317,0,79,3,
LM317T,0,70,1,U17 R56 R57
LM338,0,78,6,C1 R1 R2
LM338,0,79,7,
LM338,0,80,1,
LM339,1,76,1,U1 R7 R5
LM340,0,78,1,U1 V1 R1
LM340,0,80,1,R1
LM380,0,71,1,U9 R42 C34
LM3914,1,29,5,
LM3914,1,30,7,R12 R7 R1
LM3914,1,32,1,
LM555,1,65,1,
LM7805,0,38,1,U12 C14 P2
MR850,0,89,2,C5 C1 R1
NE555,0,36,2,R7 C7 C8
NE555,1,86,5,
TIP34,0,79,1,
UY227,0,23,1,
XR2206,0,68,1,
XR2206,0,70,1,U4 R36 R32
Z80,0,56,2,
