part,doc,page,times,near
0D3,1v,102,1,
12AT7,1d,58,1,
12AT7,1p,31,3,
12AT7,1p,35,2,
12AT7,1p,45,2,
12AT7,1p,90,2,
12AT7,1p,102,2,
12AT7,1p,115,1,V2 V4 V3
12AT7,1p,116,2,V2 R8 C6
12AT7,1r,20,1,
12AT7,1r,21,1,
12AT7,1r,22,1,
12AT7,1v,148,1,
12AT7,s,88,2,C1 R4 C6
12AT7,s,89,2,V2A R5 C8
12AU6,1b,87,1,C4 C2
12AU6,1n,106,2,
12AU6,1n,107,1,C3 R7 R4
12AU6,1n,159,1,
12AU7,1,108,1,
12AU7,1b,79,1,
12AU7,1c,26,1,
12AU7,1c,115,2,
12AU7,1j,67,1,
12AU7,1k,22,2,
12AU7,1n,125,4,
12AU7,1n,126,2,
12AU7,1n,160,1,
12AU7,1p,37,1,
12AU7,1p,39,1,R4 C2 L2
12AU7,1p,40,1,
12AU7,1p,45,1,
12AU7,1p,127,1,
12AU7,1p,129,1,V2 R6 R4
12AU7,1r,20,1,
12AU7,1r,22,2,
12AU7,1v,148,1,
12AU7,i,104,1,R1 R3 R3
12AV6,19,71,1,V3 V1 R6
12AV6,1n,122,2,
12AV6,1n,123,2,R3
12AV6,1n,124,2,
12AV6,1n,160,1,
12AV6,1o,16,1,
12AV6,1q,63,2,
12AV6,1q,64,1,
12AV6,1q,65,1,
12AV6,1u,217,1,
12AX7,1a,73,1,
12AX7,1a,87,1,
12AX7,1c,114,1,
12AX7,1c,115,1,
12AX7,1c,142,3,
12AX7,1c,143,1,
12AX7,1i,93,1,
12AX7,1r,20,1,
12AX7,1r,22,1,
12AX7,1v,148,1,
12AX7,i,108,2,
12AX7A,1d,58,1,
12AY7,1f,77,1,
12B4,1r,20,1,
12BH7,1p,29,5,C285
12BH7,1p,39,1,V3 L2
12BH7,1p,40,3,R223
12BH7,1p,45,1,
12BH7,1p,53,1,
12BH7,1p,54,3,
12BH7,1p,57,1,
12BH7,1p,87,6,C285
12BH7,1p,128,1,
12BH7,1r,20,1,
12BH7,1r,21,1,
12BH7,1r,22,1,
12BZ7,1r,20,1,
12BZ7,1r,22,1,
12SJ7,1n,91,1,C12 C11
12SJ7,1o,251,1,C1
12SJ7GT,1n,91,1,R6 C6 C3
12SN7,1r,22,1,
12SN7,1v,150,1,C15B
12SN7GT,1u,212,1,
1N133,1u,123,1,
1N137A,s,33,1,
1N200,s,33,1,
1N2069,15,19,1,
1N2069,8,89,1,
1N2070,s,89,1,C18
1N2070,v,93,1,T3 C12A R10
1N209,s,33,1,
1N270,6,67,2,
1N270,b,56,2,
1N270,t,60,1,
1N295,1b,89,2,R12 R13
1N34,11,77,1,
1N34,12,25,1,
1N34,1b,98,1,
1N34,1c,22,2,R5
1N34,1n,82,4,
1N34,1n,84,4,
1N34,1n,157,1,
1N34,1p,31,4,V2
1N34,4,26,1,
1N34,4,40,1,D2
1N34,4,41,1,
1N34,4,56,1,
1N34,5,20,2,
1N34,5,39,1,
1N34,6,36,1,
1N34,7,80,1,
1N34,8,61,1,
1N34,b,24,1,
1N34,c,59,1,
1N34,e,66,1,
1N34,l,49,1,
1N34,l,51,1,
1N34,n,36,1,
1N34,n,37,1,
1N34,n,39,2,
1N34,n,67,2,
1N34,n,69,2,
1N34,p,51,1,
1N34,y,67,1,
1N34,z,93,1,D2
1N34A,1,50,1,
1N34A,10,89,1,
1N34A,14,41,2,
1N34A,1m,90,5,D1 R2 Q1
1N34A,1n,82,2,
1N34A,a,71,1,
1N34A,n,68,1,
1N34A,p,66,1,
1N34A,t,71,1,
1N34A,t,72,1,
1N34A,t,76,2,C2 R2 C1
1N34A,v,40,1,
1N34A,w,26,3,D2 D1 C2
1N34A,w,96,2,C2 R2
1N34A,y,43,1,
1N4000,12,70,1,
1N4000,b,96,1,
1N4001,12,67,3,
1N4001,13,77,3,
1N4001,1m,25,1,D1 R1 R2
1N4001,1m,53,1,D2 R5 D1
1N4001,1m,55,3,D3 D2 C5
1N4001,1m,65,5,D3 D1 C5
1N4001,1t,23,1,R25 R23 R35
1N4001,1t,53,1,IC2 RV01
1N4001,1t,97,1,
1N4001,3,98,1,
1N4001,4,57,1,
1N4001,7,107,3,
1N4001,9,75,5,
1N4001,g,50,1,R1 R3
1N4001,j,29,1,
1N4001,j,30,2,
1N4001,j,43,3,
1N4001,m,45,1,
1N4001,p,32,1,
1N4001,p,66,1,
1N4001,p,75,1,
1N4001,q,45,1,
1N4001,u,27,2,
1N4002,12,67,1,
1N4002,13,77,1,
1N4002,16,95,3,C1 D2 R4
1N4002,1m,114,1,D1 R7 R6
1N4002,1t,53,1,IC2 RV01
1N4002,1t,105,1,D9
1N4002,7,107,1,
1N4002,g,47,1,
1N4002,j,43,1,
1N4002,m,63,1,
1N4002,o,19,1,D1
1N4003,12,67,1,
1N4003,13,77,1,
1N4003,15,57,1,
1N4003,15,84,1,
1N4003,4,46,1,
1N4003,4,66,1,
1N4003,5,61,1,
1N4003,6,62,1,
1N4003,7,87,2,
1N4003,7,107,1,
1N4003,j,43,1,
1N4003,r,24,1,
1N4003,r,53,1,
1N4003,t,38,1,
1N4003,y,67,1,
1N4004,12,67,1,
1N4004,13,77,1,
1N4004,15,84,1,
1N4004,4,30,1,
1N4004,5,50,1,
1N4004,6,15,1,
1N4004,7,62,1,
1N4004,7,87,1,
1N4004,7,107,1,
1N4004,9,45,1,
1N4004,b,63,1,
1N4004,g,87,1,
1N4004,j,43,1,
1N4004,l,33,1,C1
1N4004,m,40,1,
1N4004,n,57,1,
1N4004,o,35,1,
1N4004,o,72,1,
1N4004,p,26,5,R6 R6 VR16
1N4004,p,75,1,
1N4004,q,40,2,
1N4005,15,84,1,
1N4005,7,87,1,
1N4007,n,55,1,
