part,doc,page,times,near
1N414,i,7,1,
1N4148,n,4,1,
1N4448,1,2,2,
1N4448HV,1,3,1,
1N914,n,4,1,
1N914,y,4,4,
1N914,y,5,2,R9
1N914,y,9,2,
1N914,y,11,2,D9
1N916,9,2,1,R16
1N916,m,4,1,
1N964A,p,6,1,R41 R37
2N1141,1v,2,1,
2N1304,1n,4,2,
2N158,6,2,1,
2N1613,1d,1,1,
2N1613,1d,2,2,
2N1613,1e,4,1,
2N1613,1h,3,1,R2
2N1613,1h,4,1,
2N1711,1d,1,1,
2N1711,1d,2,2,
2N1711,1h,4,1,
2N1711,p,6,1,C29
2N2222A,1,2,3,
2N2222A,1,3,2,
2N2369,14,5,2,
2N2369A,1l,3,1,
2N2369A,1l,6,1,
2N257,1u,4,2,
2N2606,1k,4,1,
2N2894,1l,3,1,
2N2894,1l,6,1,
2N2904,y,17,1,R53 R52
2N2905A,1d,2,1,
2N2907A,1,3,2,
2N2926,1n,4,1,
2N2926,1n,6,1,
2N3053,12,4,2,
2N3053,d,3,1,
2N3053,s,6,2,
2N3054,19,9,1,
2N3054,1e,2,1,
2N3055,1d,1,2,
2N3055,1d,2,3,
2N3055,2,1,1,
2N3055,2,3,2,
2N3055,2,4,1,
2N3055,6,4,2,
2N3442,6,4,1,
2N3684,1j,9,2,
2N3702,19,9,1,
2N3703,1n,4,1,
2N3703,1n,6,1,
2N3706,1n,4,2,
2N3707,15,4,1,R8
2N3707,19,3,1,
2N3707,19,4,2,
2N3707,1g,4,1,
2N3707,1j,9,2,
2N3707,1n,4,1,
2N3707,1n,6,1,
2N3707,g,1,1,
2N3707,g,2,1,
2N3819,19,4,2,
2N3819,7,5,1,
2N385,1u,4,1,
2N385A,1u,4,1,
2N388A,1u,4,1,
2N3904,1a,6,1,
2N3904,1g,4,1,
2N3904,1h,5,1,
2N3905,1a,6,1,
2N3906,1d,1,1,
2N3906,1h,2,1,R6 C1
2N3906,1h,3,1,
2N3906,1h,4,1,
2N3906OR,1g,4,1,
2N3964,g,1,1,
2N3964,g,2,1,
2N404,1n,4,3,
2N4058,17,5,1,
2N4058,19,3,2,
2N4058,19,9,1,
2N4058,1d,3,2,
2N4058,1h,4,1,
2N4058,t,9,1,
2N406,1p,8,1,
2N4062,19,3,1,
2N4123,r,8,2,
2N4124,g,1,1,
2N4124,g,2,1,
2N4125,15,3,1,
2N4125,g,1,1,
2N4125,g,2,1,
2N4126,15,3,2,
2N4126,19,3,1,
2N4250,g,1,1,
2N4250,g,2,1,
2N4289,19,3,1,
2N4302,17,2,6,R1 R1
2N4302,17,4,1,
2N4302,1d,4,1,
2N4401,15,3,1,
2N4403,15,3,1,
2N4403,g,1,1,
2N4403,g,2,6,
2N4403,g,3,4,
2N457,1u,4,2,
2N458,1q,3,1,
2N4919,1d,2,2,
2N5087,l,1,1,
2N5087,l,4,2,
2N5087,l,7,2,
2N5087,l,10,1,
2N5089,1d,5,1,
2N5401,1,2,2,
2N5401,1,3,3,
2N5457,17,2,2,R1
2N5457,17,3,1,
2N5458,t,9,1,
2N5459,5,2,1,R1 R3
2N5459,p,2,1,C3 R12
2N5459,p,8,1,
2N5462,5,2,1,R1
2N5485,4,12,1,
2N5551,1,2,3,
2N5551,1,3,3,
2N5551,1,4,1,
2N5657,j,6,1,
2N6483,7,5,1,
2N697,1d,2,1,
2N697,1h,4,6,
2N699,1d,1,1,
2N700,1v,1,1,
2N700,1v,2,1,
2N706,1v,2,1,
2N706,y,7,1,R3 R7
2N718,1k,4,1,
2N914,1n,4,3,
2N929,1n,4,1,
2N929,1n,6,1,
2N930,1k,2,1,
2N930,g,1,1,
2N930,g,2,1,
2N930,g,3,1,
2SD200,j,1,1,
2SJ55,0,3,1,
2SK175,0,3,1,
2SK30,t,9,1,
3000HZ,u,5,1,
3000K,a,1,1,
300B,1p,43,1,
3N141,1a,11,1,
6AK5,25,2,4,
6AK5,25,3,2,
6BH6,25,2,8,
6BR7,1x,3,1,
6J5,1p,22,1,R4 C4 R3
6J5,1p,23,2,C1 C2 R2
6J5,21,1,1,
6J5,24,16,1,C9
6J5,26,2,1,
6J5,28,1,1,V7 C10 C9
6J6,21,1,1,
6J6,21,3,1,
6J7,21,1,1,
6J7,21,3,1,
6J7,25,2,1,
6J8,21,1,1,
6L6,24,36,1,
6L6G,24,44,1,
6SF5,26,2,1,
6SL7,1y,3,1,
6SN7,1y,3,2,
6SN7,24,16,1,C9
6SN7,27,3,1,
6SN7,28,1,1,V7 C10 C9
6SN7,3,2,1,
6X2,b,2,1,
6X4,1y,4,1,
74LS14,8,7,1,
78L08,8,4,1,IC16 C20
A13,l,6,3,
AC115,1p,27,1,
AD161,19,9,1,
AF102,1v,2,1,
AF106,1v,2,2,
AF114,1v,2,1,
AF122,1v,2,1,
AF186,13,6,1,
BAX13,d,2,2,
BC107,13,8,1,
BC107,19,2,1,
BC107,19,4,1,
BC107,1g,4,1,
BC107,1k,1,1,
BC107,q,3,2,R42
BC107,q,4,1,
BC107,q,5,1,
BC108,13,9,1,
BC108,1g,4,1,
BC108,1l,3,1,
BC108,r,8,2,
BC109,12,2,2,
BC109,12,4,1,
BC109,17,1,1,
BC109,17,2,1,
BC109,17,4,1,
BC109,18,7,1,
BC109,19,3,1,
BC109,19,4,1,
BC109,19,5,2,R3 R4
BC109,19,6,1,
BC109,19,7,1,
BC109,19,9,2,
BC109,1b,2,1,
BC109,1c,1,1,
BC109,1d,3,1,
BC109,1d,4,1,
BC109,1g,4,2,
BC109,g,1,1,
BC109,g,2,1,
BC109,s,3,1,
BC109,s,4,2,
BC109,s,5,1,
BC109,s,6,1,
BC109C,19,2,1,
