part,doc,page,times,near
1N4001,19,1,1,D1 C23 R5
1N4004,11,1,4,
1N4004,12,1,4,
2A3,19,1,2,U9
2X2,k,1,1,
2X2,t,1,1,
3D6,12,1,1,
6C4,x,1,1,
6C5,x,1,1,
6G8,x,1,1,
6L7,x,1,2,
74HC138,18,1,2,
74HC245,18,1,1,
74HC595,18,1,16,R1 Q1
78L12,12,1,1,
79L12,12,1,1,
A1015,12,1,1,
ADA4898,10,1,4,
ADA4898,2,1,7,
ADA4898,5,1,5,
ATMEGA8,w,1,1,
BA4558,12,1,2,
BC549C,1k,1,1,R14 R13
BD243,1d,16,2,
BFS520,1c,1,3,C102 R98 C103
BSH108,1f,1,1,Q1 D2 C5
BSH108,1g,1,2,Q1 Q1 D2
BSH108,1g,6,2,Q2 Q2 D16
C1815,12,1,2,
CA3240ED,1e,1,1,R6 R18 R7
CR2032,v,1,1,
DE9,x,1,1,
ECH08,u,1,1,
ESP8266,1,1,1,
ESP8266,1i,1,2,Q2 R2
ESP8266,2,1,48,
ESP8266,3,1,4,
ESP8266,4,1,1,
ESP8266,6,1,3,
ESP8266,7,1,3,
ESP8266,8,1,1,
ESP8266,9,1,1,
ESP8266,a,1,1,
ESP8266,c,1,1,
ESP8266,e,1,6,
ESP8266,f,1,5,
ESP8266,g,1,15,
ESP8266,h,1,1,
ESP8266,i,1,1,
ESP8266,l,1,10,
ESP8266,m,1,1,
ESP8266,n,1,1,
ESP8266,o,1,13,
ESP8266,p,1,1,
ESP8266,q,1,1,
ESP8266,r,1,1,
ESP8266,s,1,1,
ESP8266,y,1,20,
ESP8266EX,y,1,1,
ESP8266MOD,1h,1,1,
IN3,1a,1,1,VT3 VT2
IN3,1b,1,1,VT3 VT2
IN3,1g,2,2,U3 U3 R18
IN3,1j,1,1,R15 R15 D4
IN3,x,1,1,
LM258,14,1,2,
LM258,16,1,2,
LM258,2,1,3,
LM258,b,1,3,
LM317,3,1,1,
LM324,17,5,4,
LM324,d,1,1,
LM324ADT,1g,2,2,R18 R18 U4
LM358,d,1,2,
LM358DT,1g,2,2,U4 U4 R18
LT1028,10,1,4,
LT1028,2,1,14,
LT1028,5,1,11,
LT1028,z,1,4,
LTC4365,j,1,1,
MC33078,13,1,1,
MC33078,15,1,2,
NE5532,12,1,14,
NE5532,2,1,1,
PY559,u,1,1,
S3G,x,1,1,
TDA2030A,0,1,1,
TDA2030A,2,1,3,
TDA7294,11,1,2,U8
Z80,x,1,1,
