part,doc,page,times,near
1N34,20,1,2,D1 R3
1N4002,13,1,1,
1N4002,2j,1,1,
1N4002,33,1,1,D3 R10 R11
1N4002,3a,1,1,D3 J7 R4
1N4002,3b,1,1,D3 J7
1N4002,3d,1,1,
1N4004,12,1,1,D3 R3 R8
1N4004,15,1,4,D1 R4 Q1
1N4004,16,1,4,D1 R4 Q1
1N4004,1m,1,1,
1N4004,2k,1,1,C1 R1 D5
1N4007,1d,1,1,D1
1N4007,1j,1,3,
1N4007,1k,1,2,D1 R1 D2
1N4007,1l,1,2,D1 R1 D2
1N4007,1n,1,2,
1N4007,1o,1,2,
1N4007,2,1,1,
1N4007,2g,1,1,
1N4007,2i,1,1,
1N4007,2z,1,4,
1N4007,30,1,2,
1N4007,36,1,1,
1N4007,37,1,1,
1N4007,3f,1,1,T1 C1 C2
1N4007,3h,1,1,
1N4007,3i,1,1,
1N4007,3l,1,3,
1N4007,3m,1,1,
1N4007,3n,1,1,
1N4007,3o,1,1,
1N4007,3p,1,1,
1N4007,3v,1,3,C2 D1 SW2
1N4007,3w,1,3,C4
1N4007,7,1,1,
1N4007,n,1,1,
1N4007,o,1,1,
1N4007,q,1,1,
1N4007,r,1,1,
1N4140,39,1,1,
1N4148,11,1,8,D12 R14 Q3
1N4148,1h,1,2,D4 R9 R11
1N4148,1i,1,2,D4 R9 R10
1N4148,1m,1,1,
1N4148,1t,1,1,D1
1N4148,1w,1,1,
1N4148,1x,1,7,
1N4148,1y,1,2,
1N4148,1z,1,2,
1N4148,25,1,4,
1N4148,26,1,2,
1N4148,29,1,4,
1N4148,2c,1,1,
1N4148,2d,1,2,U3
1N4148,2f,1,1,U3
1N4148,2j,1,1,
1N4148,2k,1,1,D6 C5 C6
1N4148,2l,1,4,D1 D2 C4
1N4148,2o,1,1,D2 C6 D1
1N4148,2p,1,1,D2 D1 C7
1N4148,2s,1,1,
1N4148,2t,1,1,
1N4148,2x,1,1,D2 D1 R2
1N4148,2y,1,1,D2 D1 R2
1N4148,2z,1,6,
1N4148,30,1,1,
1N4148,31,1,1,D3 SW1 D2
1N4148,32,1,1,D3 SW1 D2
1N4148,33,1,2,D2 SW3 SW2
1N4148,34,1,3,D1 U4A D2
1N4148,36,1,1,
1N4148,37,1,1,
1N4148,38,1,3,D6 R7 C6
1N4148,3e,1,1,
1N4148,3f,1,1,D1 C5 R1
1N4148,3g,1,1,D1
1N4148,3o,1,1,
1N4148,3p,1,1,
1N4148,3v,1,3,D5 R2 U1A
1N4148,3w,1,1,U1A R3
1N4148,n,1,1,
1N4148,r,1,4,
1N4148,x,1,1,
1N414B,2f,1,1,U3
1N414B,3w,1,1,R26
1N4754A,1k,1,1,D5 Q1 R5
1N4754A,1l,1,1,D5 Q1 R5
1N5401,1x,1,2,
1N5401,1z,1,2,
1N5401,3j,1,1,
1N5401,3k,1,1,
1N5401,d,1,1,
1N5406,n,1,1,
1N5408,1j,1,1,
1N5408,1v,1,2,
1N5408,d,1,1,
1N540B,1v,1,1,
1N5417,2x,1,1,D3 R3 C4
1N5417,2y,1,1,D3 R3
1N5711,2d,1,1,
1N5711,2f,1,1,
1N5711,n,1,1,
1N5817,n,1,1,
1N60,2n,1,2,D1 C15 R9
1N756A,2e,1,2,
1N914,1u,1,2,
2A3,y,1,1,
2N2222,10,1,1,Q1 R5 R6
2N2222,1w,1,1,
2N2222,1x,1,2,
2N2222,1y,1,1,
2N2222,1z,1,1,
2N2222,23,1,4,
2N2222,27,1,4,
2N2222,2c,1,2,
2N2222,3f,1,1,Q2 C10 R2
2N2222,3g,1,1,Q2 C10 R2
2N3055,0,1,1,
2N3055,10,1,1,Q4 Q3 Q5
2N3055,t,1,12,
2N3439,3a,1,1,Q1 U3B R2
2N3439,3b,1,1,U3B R2 R3
2N3866,2k,1,1,Q2 R6 R5
2N3866,2m,1,1,Q5 R22 R20
2N3866,35,1,1,
2N3904,3e,1,1,
2N3906,1w,1,1,
2N3906,1x,1,1,
2N3906,33,1,2,Q2 C2 R11
2N3906,3e,1,1,
2N3906,3v,1,1,Q4 R15 R14
2N3906,o,1,1,
2N4124,1h,1,1,Q2 R22 Q4
2N4124,1i,1,1,Q2 R22 Q4
2N4124,6,1,1,
2N4403,1h,1,1,Q3 Q4 R22
2N4403,1i,1,1,Q3 Q4 R22
2N4403,6,1,1,
2N4426,1w,1,1,
2N4426,1x,1,2,
2N4426,1y,1,1,
2N4426,1z,1,1,
2N5109,2g,1,1,
2N5109,2h,1,1,
2N5109,3q,1,1,
2N5109,3r,1,1,
2N5109,3s,1,1,
2N5109,3t,1,1,
2N5109,g,1,2,
2N5109,h,1,3,
2N5179,21,1,1,Q2 C6 R5
2N5179,22,1,1,Q2 C6 R5
2N5179,35,1,1,
2N5179,3u,1,1,
2N526,b,1,1,
2N5886,t,1,4,
2N595,1z,1,1,
2N5951,1w,1,3,
2N5951,1x,1,3,
2N5951,1y,1,2,
2N6520,12,1,2,Q3 R16 R15
2SA103,b,1,1,
2SA733,2m,1,1,Q1 R2 R1
2SB185,b,1,1,
2SB189,b,1,1,
2SB487,b,1,1,
2SB595,15,1,1,Q2 C3 R3
2SB595,16,1,1,C3
2SC1173,2k,1,1,Q1 T2 C7
2SC1173,j,1,1,
2SC1175,2z,1,1,
2SC1226A,1d,1,1,C2
2SC1226A,3,1,1,
2SC1306,1w,1,1,
2SC1306,1x,1,1,
2SC1306,1y,1,1,
2SC1306,3k,1,1,
2SC1306,v,1,1,
2SC1906,2z,1,2,
2SC1906,o,1,1,
2SC1921,2z,1,3,
2SC1921,o,1,1,
2SC1946A,2n,1,1,Q1 C7 C9
2SC1983,19,1,2,
2SC1983,1c,1,2,
2SC2166,1w,1,1,
2SC2166,1x,1,1,
2SC2166,1y,1,1,
2SC2166,1z,1,1,
2SC2166,3k,1,1,
2SC2724,24,1,2,
2SC2724,28,1,2,
2SC2782,2n,1,1,Q2 C11 L4
2SC535,21,1,1,Q1 L1 C1
2SC535,22,1,1,Q1 C1 C2
2SC668,35,1,2,
2SC668,k,1,1,
2SC688,2m,1,3,Q2 R14 C22
2SC688,k,1,1,
2SC828,1w,1,1,
2SC828,1x,1,1,
2SC828,1y,1,1,
2SC945,12,1,1,Q2 R5 C6
2SC945,13,1,1,
2SC945,1w,1,1,
2SC945,1x,1,1,
2SC945,1y,1,1,
2SC945,2,1,1,
2SC945,2z,1,2,
2SC945,33,1,1,Q1 D2 R7
2SC945,3v,1,3,Q1 R5 C9
2SD52,1a,1,1,
2SD525,15,1,1,Q1 C3 D1
2SD525,16,1,1,Q1 C3 D1
2SD525,17,1,2,
2SK1120,n,1,1,
3000HZ,c,1,1,
3000V,o,1,1,
6E8,1u,1,2,U8
6X4,c,1,1,
74C14,38,1,1,IC1a R5 C5
74C14,r,1,1,
74HC14,r,1,1,
74HC74,1e,1,1,
74HC74,4,1,1,
78L05,23,1,1,
78L05,26,1,1,
78L05,27,1,1,
78L05,2a,1,1,
78L05,2g,1,1,
78L05,2i,1,1,
78L05,2o,1,1,U2 C8 C9
78L05,2p,1,1,U2 C9
78L05,31,1,1,U2 R6 C2
78L05,32,1,1,U2 R6 C2
78L05,3h,1,1,
78L05,3o,1,1,
78L05,3p,1,1,
78L05,p,1,1,
78L08,2d,1,1,U4
78L08,3f,1,1,U1 C2 C3
78L08,3g,1,1,U1
AC125,b,1,2,
AD633,k,1,1,
AF137,b,1,1,
BAT54,2u,1,1,C7 C14
BAT54,2v,1,1,C7
BC327,3c,1,1,Q3
BC337,1m,1,8,
BC337,1n,1,1,
BC337,1o,1,1,
BC337,3c,1,1,Q2 R4
BC337,8,1,1,
BC546,1j,1,1,
BC546,25,1,4,U5
BC546,29,1,4,U5
BC546,31,1,1,Q1 R12 R11
BC546,32,1,1,Q1
BC546,36,1,1,
BC546,37,1,1,
BC548,1g,1,1,Q2 R3
BC548,1k,1,1,Q1 R6 D5
BC548,1l,1,1,Q1 R6 D5
BC548,1t,1,1,Q3 Q2 R4
BC556,1g,1,1,Q3 R4 C3
BC556,1t,1,1,Q4 R6 R9
BC637,1s,1,1,Q1 C4
BC637,1t,1,1,Q1 R8 C4
BC637,36,1,1,
BC637,37,1,1,
BC637,3a,1,2,Q5 R24 Q4
BC637,3b,1,2,Q3 R20 R21
BC639-16,11,1,2,Q3 C34 D13
BC639-16,x,1,1,
BC640,1s,1,1,Q2 R4
BC640,1t,1,1,Q2 R4
