part,doc,page,times,near
12AT7,24,1,1,
12AX7,16,1,2,
12AX7,5,1,2,
1N004,26,1,1,R8 C3 R9
1N04,1p,1,1,
1N4004,15,1,1,
1N4004,1j,1,1,
1N4004,1p,1,1,
1N4004,1q,1,1,
1N4004,1r,1,2,
1N4004,1s,1,1,R2
1N4004,1w,1,2,C10 R17 R17
1N4004,2,1,1,
1N4004,20,1,2,R15 R13
1N4004,25,1,1,R8 C3 R9
1N4004,26,1,1,R8 C3 R9
1N4004,28,1,1,R8 C3 R9
1N4004,2a,1,1,
1N4004,4,1,1,
1N4004,d,1,1,
1N4004,k,1,1,
1N4004,v,1,2,D3
1N4004,z,1,3,R18
1N4084,v,1,1,
1N4148,8,1,1,
1N4739,1w,1,9,C10 R18
1N4739,c,1,1,
1N4739,d,1,1,
1N4739,j,1,2,
1N4804,1y,1,1,R15 R13
1N4804,v,1,1,
1N5239,9,1,1,
1N5401,2,1,1,
1N5401,v,1,2,R17
1N914,15,1,1,
1N914,18,1,2,
1N914,4,1,1,
1N914,i,1,1,
1X2,2d,1,1,
2KBP02M,j,1,1,
2N3055,w,1,1,
2N3055,x,1,1,
2N4250,5,1,2,
2N4290,17,1,1,Q3
2N4739,2e,1,2,R104 R104 D102
2N4739,2f,1,1,
2N508,y,1,1,Q2 R6 Q1
2N5248,0,1,1,
2N5248,1a,1,1,R7
2N5248,8,1,1,
2N5248,s,1,1,R9
2N5877,15,1,1,
2N5877,4,1,1,
2N5878,13,1,1,
2N5878,14,1,2,
2N6756,2,1,1,
2SJ109,2f,1,1,C201 Q281
2SJ109,2g,1,1,C201 Q201
2SJ109,3,1,1,
2SJ109,o,1,1,
2SJ109,p,1,1,
2SJ74,11,1,1,Q1
2SJ74,2j,1,1,Q2
2SJ74,3,1,1,
2SJ74,7,1,1,
2SJ74,o,1,1,
2SJ74,p,1,1,
2SK170,18,1,1,
2SK170,2f,1,1,Q202 C202 Q281
2SK170,2g,1,1,Q202 C202 Q201
2SK170,2j,1,1,Q1
2SK170,5,1,1,
2SK170,i,1,1,
