part,doc,page,times,near
2SC184,l,4,1,Q14A Q13A Q12A
300B,1,1,1,
IRFP040,2,1,1,
IRFP044N,2,1,1,
IRFP140,2,1,1,
IRFP240,2,1,1,
X1000,0,1,1,
X1000,3,1,2,
X1000,4,1,1,
X1000,5,1,1,
X1000,6,4,2,
X1000,6,5,1,
X1000,7,4,2,
X1000,7,5,1,
X1000,8,2,2,
X1000,8,3,1,
X1000,9,2,2,
X1000,9,3,1,
X1000,a,2,2,
X1000,a,3,1,
X1000,b,2,2,
X1000,b,3,1,
X1000,c,2,2,
X1000,c,3,1,
X1000,d,1,1,
X1000,d,2,4,
X1000,d,3,1,
X1000,d,4,2,
X1000,d,5,1,
X1000,d,6,1,
X1000,d,7,2,
X1000,d,8,1,
X1000,d,9,1,
X1000,d,10,1,
X1000,d,11,1,
X1000,e,1,2,
X1000,f,1,1,
X1000,g,1,1,
X1000,h,1,1,
X1000,i,1,1,
X1000,j,1,1,
X1000,k,1,1,
X1000,m,1,1,
X1000,m,2,1,
X1000,m,3,5,
X1000,m,4,2,
X1000,m,5,1,
X1000,m,6,2,
X1000,m,8,5,
X1000,m,13,2,
X1000,m,14,1,
X1000,m,16,1,
X1000,m,19,1,
X1000,n,10,1,
X1000,o,9,1,
X1000,p,10,1,
X1000,q,5,1,
