part,doc,page,times,near
1N004,cf,1,1,Q1 C3 R5
1N4001,2d,1,1,D6
1N4001,38,1,1,D1 C1
1N4001,39,1,1,D1 C1 J1
1N4001,3s,1,1,D101 C106
1N4001,40,1,2,D1 D2
1N4001,43,1,1,D3 C14
1N4001,6y,1,1,
1N4001,bq,1,5,Q05 D14 C7
1N4001,br,1,5,D15 D15 D14
1N4001,bs,1,5,D15 D14 C17
1N4001,c8,1,5,D15
1N4001,c9,1,1,
1N4002,1g,1,1,R13 D29 R48
1N4002,4l,1,1,
1N4002,65,1,1,
1N4002,ck,1,1,C1 S1 C2
1N4002,cl,1,4,D4 J1 S1
1N4004,3t,1,1,D2 C19 L1
1N4004,4w,1,1,
1N4004,50,1,1,
1N4004,6x,1,1,
1N4004,ca,1,1,D1 C6 IC4
1N4004,cc,1,1,D1 C1 C2
1N4004,cf,1,1,Q1 C3 R5
1N4004,cg,1,2,D1 Q1
1N4004,ch,1,1,D1 Q1
1N4004,ci,1,1,C1 S1 C2
1N4004,cj,1,1,D2 C1 S1
1N4004,co,1,6,IC3 R3
1N4004,cv,1,1,D11 C7 R7
1N4004,cw,1,2,D11 D11 R7
1N4004,cx,1,1,D11 C10 R12
1N4005,3y,1,2,D3 D2
1N4007,26,1,2,C13 C15 D15
1N400X,4p,1,1,
1N400X,4s,1,1,
1N400X,6e,1,1,
1N400X,cc,1,1,D2 C3 IC1
1N4027,26,1,1,C14 C15 C13
1N4140,1r,1,1,U101 R102
1N4140,35,1,2,D203 U202 R201
1N4140,cw,1,1,D6 C3 R2
1N4140NT,1e,1,2,C2 R14 J8
1N4140W,24,1,1,R4
1N4140WT,1i,1,1,P91 R61 R60
1N4143,4h,1,3,D1 C7
1N4145,28,1,1,J4
1N4145WT,1i,1,1,P91 R61 R60
1N4146,2d,1,1,R7
1N4148,19,1,4,
1N4148,1f,1,1,R23 D9
1N4148,1o,1,1,R2 C10 U2
1N4148,1r,1,1,C103 R102 C105
1N4148,1t,1,3,
1N4148,1u,1,3,
1N4148,1v,1,7,X10
1N4148,1w,1,1,U1 R1
1N4148,27,1,2,D1 R1 D2
1N4148,2d,1,2,U2 R12
1N4148,2e,1,2,D1 R1 D2
1N4148,2f,1,1,RV2 R14
1N4148,2j,1,1,D3 U2 C2
1N4148,2o,1,1,D10
