part,doc,page,times,near
1590BB,10,6,1,
1590BB,2m,6,1,
1590BB,3x,6,1,
1590BB,3x,7,1,
1590BB,4t,7,1,
1590BB,52,6,1,
1590BB,5i,4,1,
1590BB,6f,5,1,
1590BB,7g,6,1,
1590BB,7g,7,1,
1590BB,8j,8,1,
1590BB,90,6,1,
1590BB,99,5,1,
1590BB,9q,7,1,
1590BB,bn,7,1,
1590BB,d7,6,1,
1590BB,es,5,1,
1N001,9w,3,1,D7 D8 D8
1N14,2o,4,1,J113
1N148,9m,3,1,D3 D4 D2
1N148,a1,3,2,D7 C2 R5
1N148,cl,3,1,D3 C5 R6
1N148,dg,3,2,D4 R13 D5
1N148,es,3,1,D7 C39 R59
1N270,1u,2,2,D1 D100 C101
1N270,1u,3,4,R5
1N270,3z,2,1,D1 Q3 Q2
1N270,46,2,1,D1 Q3 Q2
1N270,46,3,1,Q3 R9 R7
1N270,4u,4,2,
1N270,5e,2,1,
1N270,7o,2,2,D100 C100 D1
1N270,7o,3,4,D2 C10 C11
1N270,92,2,1,D100 C101 D1
1N270,92,3,2,C5 R7 R6
1N270,9b,3,1,
1N270,am,2,2,
1N270,av,2,1,
1N270,bf,2,2,
1N270,e7,2,2,
1N270,g,2,2,
1N34,5a,4,1,
1N34,8p,4,1,
1N34A,10,3,2,
1N34A,1b,2,1,D2 D1 D3
1N34A,1b,3,1,D2 C2 D3
1N34A,2l,3,2,
1N34A,33,2,1,D1 D2 D3
1N34A,33,3,1,R4 C5 C4
1N34A,3z,2,1,D1 Q3 Q2
1N34A,4u,4,2,
1N34A,5e,2,1,
1N34A,5q,2,2,C101 D100 D1
1N34A,5q,3,2,D1 D2 R5
1N34A,70,2,1,D100 D2 D1
1N34A,70,3,1,D2 D1 Q4
1N34A,8m,2,1,D100 D2 D1
1N34A,8m,3,1,D1 D2 Q4
1N34A,8p,2,2,C101 D100 C100
1N34A,8p,3,2,D2 C10 C10
1N34A,9b,3,1,
1N34A,af,2,1,D100 C102 D1
1N34A,af,3,1,D1 Q3 R7
1N34A,am,2,2,
1N34A,av,2,2,
1N34A,bf,2,2,
1N34A,by,2,2,J201 D1 D2
1N34A,by,3,1,D2 D3 D1
1N34A,cc,2,2,D100 IC100 D1
1N34A,cm,2,1,D3 D2 D1
1N34A,cm,3,1,D3 R18 Q1
1N34A,co,2,2,D100 D1 D2
1N34A,co,3,2,D2 R11
1N34A,dh,2,1,Q3
1N34A,dh,3,1,R9 R8 C5
1N34A,dx,2,3,
1N34A,dy,1,8,
1N34A,dy,3,3,
1N34A,e4,2,2,D100 D4 D3
1N34A,e7,2,2,
1N34A,eo,1,1,
1N34A,eo,2,1,D02 Q5 D4
1N34A,ex,2,1,D100 D101 D1
1N400,bz,5,1,
1N4001,10,3,2,D4
1N4001,10,4,4,D5 IC2 D4
1N4001,2l,3,2,D4
1N4001,2l,4,4,D4 C21 IC3
1N4001,2r,3,2,D102 D101 D103
1N4001,3i,2,2,D2
1N4001,3i,4,1,D2 D4 D1
1N4001,4j,17,2,
1N4001,4j,18,5,
1N4001,4j,22,2,R2 R1
1N4001,5,2,1,D100 C100
1N4001,56,3,2,D102 D101 D103
1N4001,5c,2,2,D100 D3 D2
1N4001,67,2,1,D100 C102 C101
1N4001,69,2,1,D100 C100
1N4001,82,2,6,D2 D1 IC1
1N4001,82,3,12,D106 D106 C107
1N4001,8i,2,2,D2 D1 D3
1N4001,8i,3,3,D2 D3 D4
1N4001,8s,3,1,J201 J201 D100
1N4001,8s,4,2,D4 R29 R28
1N4001,8z,2,6,D2 D1 Q2
1N4001,8z,3,11,D106 D106 C107
1N4001,9f,2,2,
1N4001,9f,3,4,Q5 C8 C12
1N4001,9j,2,1,D100 D4 Q1
1N4001,9n,3,2,D100 D2
1N4001,9n,4,4,D3 R11 C5
1N4001,9w,2,2,D7 D6 D8
1N4001,9w,3,3,D8 D8 D6
1N4001,a6,2,2,C102 D100 D1
1N4001,bo,2,1,D4 D3 D2
1N4001,bo,3,1,D100 C100 C5
1N4001,by,2,1,J201 D100 D3
1N4001,by,3,1,D3 D1 D2
1N4001,cd,3,2,D4
1N4001,cd,4,4,D5 IC2 D4
1N4001,d,3,3,D100 D3
1N4001,do,2,1,D100 C100 D1
1N4001,f,2,1,D2
1N4001,f,4,1,D2 D3 D5
1N4001,h,2,1,
1N4001,p,2,2,D4 D3 D5
1N4001,p,3,3,D5 C19 D4
1N4002,2v,2,1,D4 D3 D2
1N4002,2v,3,2,D2 R6
1N4002,4j,16,1,
1N4002,4j,18,5,
1N4002,cy,2,2,D101 D100 D102
1N4002,d5,3,2,D100 D1
1N4002,d5,4,2,D2 D1 R11
1N4003,4w,2,2,C100 D100 D1
1N4004,4y,2,1,D100 C101
1N4004,4y,3,2,D100 D100 C101
1N4004,5k,2,2,D3 D2 D4
1N4004,8f,2,1,D100 D4
1N4004,bz,3,2,D2
1N4004,bz,4,3,D2 D3 C5
1N4005,e9,2,1,D2 D1 Q1
1N4005,e9,3,2,R4 C2
1N4005,eo,1,3,
1N4005,eo,2,4,D4 Q5 Q2
1N4006,14,5,4,D1 D2 Q4
1N4006,98,2,4,
1N4007,34,2,2,D101 D100 D102
1N4007,78,2,1,D100
1N4007,8y,2,2,D1 D2 Q3
1N4007,8y,3,1,D2 D1 R19
1N4007,90,3,2,D102 D103 D101
1N4007,90,4,4,D103 C102 D102
1N4007,cw,2,4,D1 D2 D3
1N4007,cw,3,4,D4 D3 D1
1N4007,d7,3,2,D102 D101 D103
1N4007,dt,2,4,D10a D10b
1N4007,e,2,1,D100
1N4007,e,3,1,D100 R100 C100
1N4007,o,2,2,C100 D100 D1
1N4007,o,4,4,D2 R17 R15
1N414,2o,4,4,J113
1N414,3x,4,1,L072
1N414,3x,5,1,L072
1N414,53,4,4,
1N414,6e,4,2,
1N414,6e,5,2,
1N414,bn,6,2,
1N414,bz,5,1,
1N414,db,5,2,
1N414,eh,5,2,V8
1N414,el,4,2,
1N414,el,5,2,
1N414,es,4,5,L072
1N4148,12,2,4,
1N4148,12,3,1,
1N4148,12,4,3,IC6B IC5B IC48
1N4148,14,5,4,D1 D2 Q4
1N4148,14,6,8,D1 D2 Q4
1N4148,15,2,4,C103 D1
1N4148,17,3,6,D1
1N4148,1a,2,3,D3
1N4148,1c,2,2,D2 LED1 D1
1N4148,1c,3,2,D2 D3 R9
1N4148,1e,2,2,J201 C101 D100
1N4148,1h,2,4,C101 D1
1N4148,1h,4,4,D3 D2 D4
1N4148,1l,2,3,D1 D2 D3
1N4148,1q,3,5,C105 D1
1N4148,1q,4,4,D2 R10 D1
1N4148,1r,2,1,D101 D100 D102
1N4148,1t,2,4,C103 D1
1N4148,24,1,2,D1 D2 Q4
1N4148,27,1,2,D2 D1 D3
1N4148,27,2,1,D2 IC5 IC3
1N4148,29,2,2,C102 C101 D1
1N4148,2a,2,2,D2 D1
1N4148,2c,1,2,
