part,doc,page,times,near
1N4004,l,1,2,R19
1N4739,x,1,2,D2 C10 C6
2N4416,10,1,1,
2N4416,b,1,1,
2N4416,c,1,1,
2N5486,11,1,1,Q1 R3
2N5486,12,1,1,
2N5486,13,1,1,
2N5486,c,1,2,
2N5583,p,1,2,
2N5943,p,1,2,
2SK213,9,1,7,
2SK213,a,1,4,
2SK213,y,1,4,
2SK213,z,1,3,
2SK214,a,1,1,
2SK215,a,1,1,
2SK216,a,1,1,
6CA4,3,1,2,
6CA4,7,1,4,
6CA4,k,1,1,
6CA4,w,1,1,
6CG7,7,1,3,
6CG7,9,1,2,
6CG7,w,1,2,
6DJ8,0,1,2,
6DJ8,3,1,4,
6DJ8,4,1,1,
6DJ8,i,1,2,C8
6SN7,9,1,1,
6V6GT,7,1,5,
6V6GT,w,1,1,
6X4,3,1,1,
BC327,8,1,1,
BC327,h,1,6,Q5 Q4
BC327,x,1,9,Q3 R11 C23
BC337,8,1,1,
BC337,h,1,6,Q10 Q4 Q5
BC337,x,1,7,Q8 C2 Q9
BD135,5,1,1,
BD136,12,1,1,
BD136,5,1,1,
BD136,c,1,2,
BD139,h,1,1,Q14 R20 R20
BD139,q,1,3,C3 Q3 C3A
BD139,x,1,1,Q12 R25 R23
BD140,11,1,1,Q2 Q3 R6
BD140,h,1,1,Q13 R19 Q12
BD140,q,1,1,C4 C4A
BD140,x,1,1,D140 Q11 R26
ECC88,3,1,2,
ECC88,i,1,1,
IRF510,10,1,1,
IRF510,11,1,1,Q3 Q2 C1
IRF510,12,1,1,
IRF510,14,1,1,
IRF510,9,1,4,
IRF510,a,1,2,
IRF510,b,1,1,
IRF510,c,1,5,
IRF610,9,1,2,
IRF840,j,1,1,
J113,0,1,1,
J113,4,1,2,
LM1875,6,1,6,
LM1875,s,1,1,
LM317,e,1,1,
LM3875,6,1,10,
LM3875,r,1,1,R2
LM3875,t,1,1,
LM3875T,6,1,1,
LM3875T,v,1,1,
LM3875TF,6,1,1,
LM3876,u,1,1,R2
LM7805,m,1,1,
LM7805,o,1,1,
LM7809,m,1,1,
LM7809,o,1,1,
LM7812,1,1,1,
LM7812,3,1,1,
LM7812,e,1,1,
LM7812,g,1,1,C4
LM7912,g,1,1,C5
LT1086,e,1,1,
NE5532,1,1,1,
NE5532,d,1,1,
NE5532,e,1,1,
NE5532,n,3,1,
NE5534,1,1,1,
OP27,2,1,3,
OP27,d,1,3,
OPA134,1,1,1,
OPA134,8,1,1,
OPA134,d,1,1,
OPA2134,1,1,1,
OPA2134,d,1,1,
OPA2134PA,f,1,1,
OPA604,d,1,1,
UF100,x,1,4,C19 C9 C21
