part,doc,page,times,near
12AT7,6q,1,1,
12AT7,6s,1,1,
12AT7,6y,1,1,
12AT7,p,1,1,
12AU7,74,1,1,
12AX7,1e,1,5,
12AX7,1f,1,1,
12AX7,5r,1,1,
12AX7,6,1,1,
12AX7,6d,1,1,
12AX7,6q,1,1,
12AX7,6s,1,7,
12AX7,6t,1,1,
12AX7,6y,1,1,
12AX7,70,1,1,
12AX7,71,1,2,
12AX7,74,1,1,
12AX7,7z,1,1,
12AX7,8e,1,1,
12AX7,8l,1,2,
12AX7,8m,1,1,
12AX7,p,1,6,
12AX7A,8m,1,1,
12AX7LPS,6z,1,1,
12AY7,1e,1,6,
12AY7,p,1,3,
1590BB,i,1,1,
1590BB,j,1,2,
1N148,3m,5,1,D3 C6 C8
1N1875,j,1,1,
1N1878,j,1,1,
1N270,2i,1,1,
1N270,36,1,1,
1N270,39,1,3,
1N270,44,1,1,
1N270,7,1,3,
1N270,e,1,1,
1N270,o,1,1,
1N276,10,1,2,
1N27D,2h,1,1,
1N34,2i,1,2,
1N34,34,1,1,
1N34,35,1,1,
1N34,44,1,2,
1N34,h,1,1,
1N34,o,1,1,
1N34A,10,1,2,
1N34A,68,1,2,
1N34A,7k,1,1,
1N34A,n,1,1,
1N400,1p,1,1,
1N400,3d,1,2,
1N400,3e,1,3,
1N400,3h,1,2,
1N400,3i,1,1,
1N4001,3d,1,1,
1N4001,3w,1,1,D1 C10 R13
1N4001,4h,1,1,D6 D4 D3
1N4001,6h,1,1,
1N4001,6i,1,1,
1N4001,8a,1,1,
1N4001,x,1,1,
1N4002,32,1,2,D1
1N4002,x,1,1,
1N4004,87,1,1,D7 D3 Q15
1N4007,12,1,1,
1N4007,1f,1,2,
1N4007,2y,1,1,
1N4007,31,1,4,
1N4007,33,1,1,
1N4007,3c,1,7,T2
1N4007,3d,1,2,
1N4007,3g,1,4,
1N4007,3i,1,3,
1N4007,4g,1,1,D3 C8
1N4007,4n,1,1,D2 C4
1N4007,4o,1,1,D6 C14 R4
1N4007,4p,1,1,C14 R4
1N4007,4s,1,1,D3 C9 T2
1N4007,56,1,1,R9 R26 C10
1N4007,5a,1,1,C6
1N4007,5b,1,1,C6
1N4007,5f,1,1,C6
1N4007,5g,1,1,D3
1N4007,5i,1,1,D3
1N4007,5j,1,1,R3 C3 C4
1N4007,5m,1,1,D1 C3 R2
1N4007,5r,1,1,
1N4007,5s,1,1,R2 C6
1N4007,5t,1,1,D1 R2 C6
1N4007,5u,1,1,D1 R2 C6
1N4007,5v,1,1,D1 R2 C6
1N4007,5x,1,1,R2 C2 C3
1N4007,61,1,1,D1 R7 C6
1N4007,6a,1,3,
1N4007,6g,1,2,
1N4007,6h,1,1,
1N4007,71,1,1,
1N4007,72,1,1,
1N4007,78,1,1,D3
