part,doc,page,times,near
0B2,37,2,1,
0D3A,19,1,1,
12AT7,29,1,1,
12AT7,2k,1,1,
12AU7,29,1,1,
12AU7,2e,1,2,
12AU7,2g,1,1,
12AU7,2p,1,9,
12AU7,2x,1,1,
12AU7,2z,1,1,
12AU7,30,1,1,
12AU7,33,1,3,
12AU7,3w,1,1,R16 C12
12AU7,3x,6,1,
12AU7,3x,7,3,
12AU7,3x,8,1,
12AU7,44,1,2,R8 R9 R6
12AU7,45,1,2,R8 R9 R6
12AU7,4t,1,12,V2A C8 C6
12AU7,5k,1,3,
12AU7,5k,2,1,
12AU7,5l,6,1,
12AU7,5l,7,3,
12AU7,5l,8,1,
12AU7A,3x,6,1,
12AU7A,4u,1,1,
12AU7A,4x,1,1,
12AU7A,5l,6,1,
12AX7,2j,1,1,
12AX7,2k,1,1,
12AX7,2p,1,5,
12AX7,4v,1,1,
12AX7,4y,1,1,
12BH7,29,1,2,
1N4004,15,1,1,D7 D8 D5
1N4004,16,1,1,D7 D8 D5
1N4004,4n,1,2,D5 U1 R7
1N4004,4o,1,1,D6 R7
1N4007,38,1,2,D1 D2 T1
1N4007,4c,1,1,D17 R7 R8
1N4148,1v,1,2,D1 C3
1N4148,20,1,1,Q1
1N4148,3f,1,2,D7 Q1 U2
1N4148,3j,1,1,V12
1N4148,3o,1,2,D3
1N4148,42,1,2,D1 R13 LED1
1N4148,47,1,9,D5 D6 R16
1N4148,48,1,8,D5 D6 R16
1N4148,49,1,4,R14 R15
1N4148,4e,1,4,D2 R5 C7
1N4148,4f,1,3,D3 R13 R13
1N4148,4g,1,1,D8 R10 C10
1N4148,4j,1,3,D1 D3
1N4148,4l,1,2,D6 Q1 R7
1N4148,4n,1,1,D2 RV1 R4
1N4148,4o,1,1,R3 D2 D1
1N4761A,3k,1,1,D15 Q9 C35
1N4937,44,1,4,D1 D2 D4
1N4937,45,1,4,D1 D2 D4
1N5242B,42,1,1,D4 Q1 L1
1N5245,17,1,2,D7 D8 R16
1N5245,18,1,2,R42 Q1 C20
1N5245,1w,1,2,D6 D7 D5
1N5245,4n,1,2,D4 C2 R2
1N5245,4o,1,2,R1 D1 D2
1N5245,4r,1,2,D3 R4 Q1
1N5245,4s,1,2,R6
1N5245B,3o,1,1,D2
1N5258,17,1,2,D8 D7 Q1
1N5262,18,1,1,R41 Q2 R40
1N5262,1w,1,1,D7 D8 D5
1N5291,3z,1,4,D4 C19 C19
