part,doc,page,times,near
0B2,5c,45,1,
0B2,7d,27,1,
0D3,6b,68,1,T1 V2
12AT7,27,67,1,
12AT7,3h,85,1,
12AT7,52,50,3,V1 C1A
12AT7,5c,89,1,
12AT7,5e,48,2,
12AT7,5e,49,1,V2 R9 R8
12AT7,5e,96,1,
12AT7,5i,89,1,
12AT7,5i,91,1,
12AT7,5p,55,2,V2
12AT7,5p,56,1,C3 C5 R5
12AT7,5r,68,2,C3 R2 C4
12AT7,5r,70,1,R3 C4 C3
12AT7,5s,67,2,
12AT7,5s,68,2,C3 C2 R2
12AT7,5s,69,1,R8 C2 R2
12AT7,5u,49,1,
12AT7,5u,50,3,C3 C4 C2
12AT7,5v,45,1,
12AT7,5v,46,1,C3 C4 R2
12AT7,5v,47,1,C3 R3 R4
12AT7,5w,2,1,
12AT7,5w,89,1,
12AT7,5x,2,1,
12AT7,5z,2,1,
12AT7,5z,88,1,
12AT7,69,76,1,
12AT7,6a,52,3,
12AT7,6a,142,2,
12AT7,6e,74,1,R3 R2 R4
12AT7,6e,75,1,
12AT7,6e,90,8,
12AT7,6e,96,1,
12AT7,6f,80,1,
12AT7,6f,112,1,
12AT7,6g,84,1,
12AT7,6k,16,1,
12AT7,6o,70,1,
12AT7,6o,71,2,R2 R3
12AT7,6v,10,1,
12AT7,6w,47,2,R6 C3
12AT7,6y,77,1,
12AT7,71,64,1,
12AT7,73,66,1,
12AT7,73,76,1,
12AT7,77,59,1,
12AT7,77,61,1,C2 R2 R3
12AT7,7a,44,1,C20 C17B C17A
12AT7,7f,154,1,
12AT7,7f,155,1,
12AT7,7i,1,2,C4
12AT7,7i,2,2,C4
12AT7,7i,49,1,
12AT7,7i,50,2,C2 C4 R4
12AT7,7i,51,1,
12AT7,7i,53,1,C6
12AT7,7i,54,2,C4 R3
12AT7,83,70,2,
12AT7,8o,72,1,
12AT7,8q,50,1,
12AT7,8s,53,1,
12AT7,j,33,1,
12AT7,j,34,3,C2 C3
12AT7,j,63,1,C3 L1 R2
12AT7,j,65,1,
12AT7,j,92,2,R11
12AT7,j,93,2,
12AT7,j,164,2,C3 R1 C4
12AT7,k,10,2,
12AT7,k,11,1,
12AT7,k,12,2,V3 C13 C14
12AT7,l,68,3,
12AT7,l,70,2,
12AT7,n,254,1,C20 C178 D1
12AT7,n,289,1,
12AT7,n,291,1,C2 R2 R3
12AT7,n,356,1,C6
12AT7,n,357,2,C4 R3
12AT7,p,40,1,
12AT7,p,41,2,C1 C2 R2
12AT7,p,42,1,
12AT7,q,28,1,C6
12AT7,q,29,2,C4 R3
12AT7,r,83,1,
12AT7,t,98,1,
12AU6,6k,116,1,
12AU6,6u,115,1,
12AU6,76,26,1,
12AU7,58,88,1,
12AU7,59,89,1,
12AU7,59,90,1,
12AU7,5a,84,1,
12AU7,5a,85,1,
12AU7,5b,84,1,
12AU7,5b,124,1,
12AU7,5c,84,1,
12AU7,5c,85,1,
12AU7,5d,96,1,
12AU7,5d,97,1,
12AU7,5e,92,1,
12AU7,5e,93,1,
12AU7,5f,92,1,
12AU7,5f,93,1,
12AU7,5g,96,1,
12AU7,5h,90,1,
12AU7,5h,91,1,
12AU7,5i,78,1,
12AU7,5i,81,1,C6 C5
12AU7,5l,47,5,
12AU7,5l,49,1,R2 R3 C3
12AU7,5n,61,2,
12AU7,5n,62,2,C2
12AU7,5o,85,1,
12AU7,5o,87,2,
12AU7,5u,50,1,
12AU7,5y,75,2,
12AU7,5y,76,1,
12AU7,5y,80,1,
12AU7,5z,88,1,
12AU7,60,90,1,
12AU7,61,134,1,
