part,doc,page,times,near
0B2F,62,74,1,C0
0D3A,4m,60,1,
0D3E,62,74,1,C0
12AT7,1q,71,3,R10 R4 V1b
12AT7,h,43,1,V1B R4 R5
12AT7,z,41,2,V2 V3 V4
12AT7,z,42,1,V4a C13 VR5
12AU7,2e,64,2,V1b R3 R4
12AU7,2i,49,3,V1b R9
12AU7,40,51,1,
12AU7,51,53,1,
12AU7,5m,40,1,
12AU7,e,52,2,V12 R67 C25
12AU7,s,19,2,
12AU7,w,43,1,V1 R13 C1
12AU7,y,43,2,R1 C1 T1
12AU7,z,41,2,V3 V2 V4
12AX7,2i,49,3,R4 V3 V2
12AX7,40,51,1,
12AX7,5m,40,1,
12AX7,y,43,2,C3 R3 C1
1N002,5s,25,1,S9 S3 C18
1N10,4u,63,1,
1N1183,36,55,1,D1 TR3 TR3
1N14,7d,19,1,D7 D2
1N1418,3e,56,1,C6
1N1418,5h,73,1,D18 S3 R6
1N1418,8g,48,1,D4 IC1d D3
1N148,5g,31,1,D3 S5a R26
1N148,5w,35,2,D3 D2 D5
1N15,7d,20,1,
1N40,6h,38,1,
1N40,6n,37,1,
1N400,5r,65,1,D1 D2 T1
1N400,75,37,1,
1N4000,5i,21,1,D1 C2 R2
1N4000,5u,32,1,
1N4000,6h,20,2,
1N4000,6i,38,1,
1N4000,6m,28,3,D3 C1 D1
1N4000,7i,23,1,D1 C3 R2
1N4000,7r,20,1,
1N4001,2i,54,1,D4 C5 D7
1N4001,2m,28,2,D6 D8 D9
1N4001,2m,30,2,TR12 TR11 TR10
1N4001,2n,32,1,
1N4001,2z,55,2,C1 D7 VR2
1N4001,2z,56,3,
1N4001,30,35,1,R2 D1 VR1
1N4001,30,58,1,D4 C5 D3
1N4001,30,65,2,
1N4001,31,57,2,D2 R6 R3
1N4001,34,33,2,D2 R1 R3
1N4001,34,68,3,D2 T1 C1
1N4001,35,36,2,
1N4001,35,64,1,D3 D4 D1
1N4001,35,65,1,TR5 TR2
1N4001,38,27,1,
1N4001,3a,29,1,TR1 D1
1N4001,3a,38,2,IC1 C1
1N4001,3a,54,1,
1N4001,3a,55,1,R8 D3 R7
1N4001,3d,53,2,TR1 D5 TR2
1N4001,3d,55,3,D8 D9 D7
1N4001,3e,53,1,D8 D11 D10
1N4001,3e,65,5,D7 R15 TR4
1N4001,3f,54,1,D12 S2
1N4001,3f,55,1,IC3
1N4001,3g,31,6,D1 D2 D3
1N4001,3g,34,2,D2 T1 D3
1N4001,3h,33,1,IC1 C1
1N4001,3j,54,1,TR1 D7 IC1
1N4001,3j,55,1,D1 D2 D4
1N4001,3k,23,2,T2 D3 D1
1N4001,3k,48,1,IC2 D1 D2
1N4001,3k,49,1,D1 R3 D2
1N4001,3o,42,2,D27 R172
1N4001,3o,56,2,D4 D3 D5
1N4001,3o,57,2,D4 T1 R26
1N4001,3p,23,2,D1 T1 C1
1N4001,3p,24,1,IC2 D3 IC1
1N4001,3t,41,1,D1 TR1 R2
1N4001,3u,26,1,IC1 C5 C4
1N4001,3u,27,2,D1 R1 R3
1N4001,3u,45,3,D14 D13 D15
1N4001,3u,47,2,D16 D15 R50
1N4001,3u,53,1,
1N4001,3x,67,1,R3
1N4001,3x,71,3,R3 R2
1N4001,3y,40,3,TR2 TR1 IC1
1N4001,3z,54,1,TR1 TR2
1N4001,40,27,1,D3 D2 IC7
1N4001,41,56,1,
1N4001,41,57,1,D1 R3 R6
1N4001,41,67,2,D1 TR6 C1
1N4001,42,22,2,D6 D7 D1
1N4001,42,23,2,D12 T1 S2
1N4001,42,24,2,D1 C1 TR1
1N4001,42,58,1,R1 T1 R2
1N4001,43,54,2,D14 D15
1N4001,43,55,2,D16 R29 D17
1N4001,44,46,1,
1N4001,47,59,1,D5 R4 VR1
1N4001,4a,25,3,TR2 TR1 D5
1N4001,4a,38,1,C11 R23 C12
1N4001,4a,40,1,
1N4001,4b,61,2,D6 C5 T1
1N4001,4b,62,2,
1N4001,4c,50,1,C15 C14 TR1
1N4001,4d,27,3,D1 T1 D2
1N4001,4f,24,1,D2 D1 X1
1N4001,4f,25,1,D2 S1 C4
1N4001,4g,21,2,D3
1N4001,4i,21,1,C1 R2 C2
1N4001,4i,23,1,
1N4001,4i,28,2,
1N4001,4j,47,3,D13 D10 TR3
1N4001,4j,49,1,D9
1N4001,4j,56,2,D2 D1 D3
1N4001,4j,57,1,D4 TR1 IC1
1N4001,4k,26,1,TR1 R1 TR2
1N4001,4k,100,1,
1N4001,4k,101,5,D6 T1 D7
1N4001,4m,22,1,D4 R18 IC5
1N4001,4m,24,1,D4 D3 D2
1N4001,4n,37,2,C2 R8 S2
1N4001,4n,40,1,
1N4001,4n,54,1,T1 R1 D6
1N4001,4n,55,1,D9 D1 TR1
1N4001,4o,65,1,D5 C7 D6
1N4001,4p,43,1,C1 R2 T1
1N4001,4p,46,3,D3 D4 D5
1N4001,4p,47,2,D5 VR1 R2
1N4001,4p,53,3,D2 D3 TR1
1N4001,4p,57,1,D4 D3 D1
1N4001,4q,41,1,D11 VR3 C7
1N4001,4q,43,1,D12 D11 TR4
1N4001,4q,58,1,D1 IC1 VR2
1N4001,4q,59,1,D1 D2 TR1
1N4001,4r,48,2,D1 R6 R5
1N4001,4r,49,2,D1 D2 TR1
1N4001,4r,53,3,VR3
1N4001,4r,54,6,D5 D3 D4
1N4001,4r,63,1,R1 D2 D4
1N4001,4s,44,1,D11 IC14
1N4001,4s,46,4,
1N4001,4s,62,1,D5 S6 C8
1N4001,4t,20,1,D5 R32 IC9
1N4001,4t,32,1,D1 TR1 R2
1N4001,4u,22,2,D2 T1 D3
1N4001,4u,50,1,D6 C75 R53
1N4001,4v,61,3,
1N4001,4v,71,1,R12 D6 TR6
1N4001,4w,24,1,D2 IC2c TR1
1N4001,4w,40,2,D1 C3 C1
1N4001,4w,102,2,D9 D8 R33
1N4001,4w,105,1,D1
1N4001,4x,50,1,D4
1N4001,4x,72,1,D1 T1
1N4001,4y,44,3,D21 D22 T1
1N4001,4y,55,4,D1 T1 C1
1N4001,4y,57,1,
1N4001,4z,27,3,D2 TR3 L1
1N4001,4z,31,2,D2 D3 D1
1N4001,4z,42,1,R3 D1 R7
1N4001,50,21,6,R1 T1 D5
1N4001,50,31,1,D15 IC1 C60
1N4001,50,34,1,D15 C58 IC1
1N4001,50,69,2,D10 TR4 R17
1N4001,50,70,1,
1N4001,51,27,1,D4 TR2 D1
1N4001,52,30,1,D2 D3 D1
1N4001,52,76,1,D1 S1 R2
1N4001,53,21,1,D13 R10 TR1
1N4001,53,22,2,R9 C5 D12
1N4001,53,62,1,D1 D2 TR1
1N4001,53,63,1,D1 T1 C1
1N4001,54,37,1,
1N4001,54,38,1,D7 C2 D3
1N4001,54,51,1,D16 R11 R10
1N4001,54,52,1,D16 D13 IC1
1N4001,54,54,1,D14 R9 R8
1N4001,54,55,1,D14 D13 D2
1N4001,54,56,2,C2 R3
1N4001,54,57,1,D1 TR1 C5
1N4001,54,59,3,D1
1N4001,54,60,1,
