part,doc,page,times,near
12AT7,12,58,1,
12AT7,12,59,3,V3B C10 C12
12AT7,12,60,1,V3 V4 V2
12AT7,15,26,1,V1A C1 R3
12AT7,15,27,2,C24 C23 C22
12AT7,17,60,2,V1b R9 C5
12AT7,1l,53,1,V2 C32 C30
12AT7,1l,54,1,
12AT7,24,34,2,
12AT7,24,35,1,
12AT7,24,43,1,V2
12AT7,24,58,2,V1 R1 D1
12AT7,26,54,1,V1 C2 C3
12AT7,26,55,1,V1 V2 C6
12AT7,f,14,2,
12AT7,f,15,1,
12AT7,h,27,1,
12AT7,j,57,1,
12AT7,k,5,5,
12AT7,l,21,1,
12AT7,o,67,2,
12AT7,v,39,1,C9 S1
12AT7,v,56,1,
12AU7,15,26,1,V3 C4 R11
12AU7,15,27,1,
12AU7,15,28,1,V5 R31 C15
12AU7,16,71,2,
12AU7,16,72,1,C19 C18 C17
12AU7,24,43,1,
12AU7,24,54,1,
12AU7,24,57,2,C6 R3 R1
12AU7,24,58,2,V2 C10 T1
12AU7,k,43,2,
12AU7,l,21,1,
12AU7,r,21,1,V1 S1 V2
12AU7,r,22,2,
12AU7,x,76,1,
12AU7,x,79,1,R2 V1a V1b
12AU7,y,73,2,
12AU7,y,85,1,
12AX7,13,46,3,R3 R2
12AX7,13,61,1,
12AX7,16,71,1,
12AX7,16,72,1,
12AX7,18,56,1,V4 V5 VR4
12AX7,24,43,1,V2
12AX7,26,54,1,R5 R3 R8
12AX7,26,55,1,
12AX7,j,57,1,
12AX7,k,17,1,
12AX7,v,47,1,
12AX7,v,48,2,T3A
12AX7,v,49,1,
12AX7,y,70,2,R12 R13
12AX7,y,85,2,
12BH7,13,46,3,V2 R11 R9
12BH7,13,49,1,V2 T2
12SJ7GT,g,38,1,
1N2374,1g,28,1,
1N4001,1h,50,1,D3 R3
1N4001,1h,51,1,D3 D2 D1
1N4001,1i,60,1,
1N4001,1k,39,4,D5 R1
1N4001,1k,61,2,C6
1N4007,1l,58,1,C3 C2
1N4007,25,40,1,
1N4148,1k,72,2,
1N4148,1l,65,2,C6 C5 C4
1N754,1k,32,2,D2 R3 S2
1N914,1g,31,2,D1 R6 C2
1N914,1g,35,1,D2
1N914,1i,60,1,
1N914,1k,31,4,D1 D2
1N914,1k,32,3,D1 R2 S2
1N914,1k,39,2,R2 C2 VR1
1N914,1k,43,1,D1 R3
1N914,1l,65,2,C6 C5 C4
1N914,1l,67,4,D5 R17 R18
1N914,26,39,2,D1 R1
1S4,b,18,1,V2
1S4,b,19,2,
1S4,g,38,1,
1S4,h,25,3,
1S4,h,26,2,
1S4,w,34,1,
2N1306,17,39,1,
2N1306,17,41,1,
2N1307,17,39,1,D1 R4
2N1307,17,41,1,
2N1308,17,39,1,
2N1308,17,41,1,
2N1309,17,39,1,D1 R4
2N1309,17,41,1,
2N257,10,84,1,
2N2646,1d,58,1,
2N2904,1k,32,1,
2N2926,1a,67,2,R3
2N2926,1b,67,1,
2N2926,1d,44,5,R3
2N2926,1d,52,2,T1 L2 C1
2N2926,1e,44,3,
2N2926,1e,57,6,R1 R3
2N2926,1e,63,2,
2N2926,1g,31,4,R2
2N2926,1g,35,3,
2N2926,1g,36,3,R6 S2a
2N2926,1g,47,3,C1
2N2926,1g,64,2,C1
2N2926,1g,65,2,R6 C3
2N2926,1g,67,2,C5 R8 C4
2N2926,1h,30,1,
2N2926,1h,75,4,C1 R3
2N2926,26,35,1,R5
2N2926G,1g,31,4,
2N2926G,1l,51,1,
2N2926G,1l,53,1,C43 R26
2N2926G,1l,54,1,
2N3055,1j,78,2,
2N3055,1k,47,1,
2N3055,1k,48,1,C1 R1
2N3055,1l,34,1,C3 R6
2N3055,1l,68,1,
2N3391A,1c,25,1,
2N3702,1d,44,2,R1
2N3702,1i,74,2,R3 C2
2N3702,25,40,1,
2N3703,1k,32,2,D1 R1
2N3704,25,40,1,
2N3705,18,51,1,
2N3706,1h,35,1,
2N3791,1l,68,1,
2N3819,1a,22,3,
2N3819,1a,24,1,D2 D1
2N3819,1a,56,2,C22 L2 R25
2N3819,1d,47,2,D1
2N3819,1d,48,6,
2N3819,1e,42,1,
2N3819,1e,44,2,
2N3819,1l,32,1,R3 R2 C2
2N3819,1l,33,3,L3 C4 C3
2N3820,1k,31,1,R7 R5
2N3820,1k,32,1,
2N3820,1l,32,3,R3 R1 R2
2N3823,25,40,1,
2N3829,1d,48,1,
2N3906,1h,35,1,
2N4288,26,61,1,
2N4289,1g,47,2,C1 R1
2N502,x,50,1,
2N502,x,51,1,
2N5295,1j,78,2,T1 S1
2N585,14,60,2,C2 R3
2N6111,1k,52,2,
2N6111,1k,54,1,R12 C6
2N6288,1k,52,3,
2N6288,1k,54,2,R9 R11
2N696,15,17,1,
2N697,1k,32,3,D2 R4
2N706,1d,46,2,C8 D1 C9
2N706,1d,47,2,
2N706,1d,48,3,
2N706,1d,49,1,
2N706A,1d,48,1,
2N930,1c,25,1,
2X2M,24,50,1,VR12 R43
3000HF,1b,26,1,C13 VR2
3000HZ,1g,112,2,
3000KW,1a,60,1,
3000LM,12,83,3,
3000LM,13,54,1,
3000P,1e,67,1,SW2 R5 SW1
3000PF,14,1,1,C18 R26 R22
3000PF,18,24,1,C2 R3 R6
3000PF,18,27,1,C8
3000W,1i,41,1,
3000W,26,75,1,
35Z5GT,3,33,1,
3D6,1h,72,1,
50L6GT,g,38,1,
50L6GT,w,98,1,
5V4G,t,24,1,
5V4G,t,25,1,
5Y3,5,2,1,
5Y3,m,7,1,
5Y3,q,31,1,
5Y3G,e,32,1,
5Y3G,g,38,1,
5Y3G,h,12,1,
5Y3GT,h,19,1,
5Z3,c,50,1,
5Z3,o,64,1,
5Z4,15,71,1,
5Z4,16,59,1,
5Z4,5,2,1,
5Z4,9,2,1,VR91
5Z4,h,30,1,
5Z4,h,38,1,
5Z4,k,15,1,
5Z4,m,47,3,
5Z4,o,36,1,
5Z4,q,22,2,V3 V2 V1
5Z4,q,27,1,
5Z4,q,31,1,
5Z4,v,31,1,
5Z4,v,51,1,
5Z4,x,41,1,
5Z4,y,98,1,
5Z4AA,14,76,1,
5Z4AA,15,76,1,
5Z4AA,16,37,1,
5Z4AA,1a,34,1,
5Z4AB,1h,72,1,
5Z4DW,1d,36,1,
5Z4FB,17,29,1,
5Z4G,1k,71,1,
5Z4G,e,32,2,
5Z4G,g,38,1,
5Z4G,h,10,1,
5Z4G,p,51,3,V4
5Z4G,r,22,1,
5Z4G,v,51,1,
5Z4G,w,41,1,V4 V3 S1
5Z4G,w,98,1,
5Z4G,x,83,1,V3 V4 T2
5Z4GK,1f,40,1,
5Z4IR,19,47,2,
5Z4KC,1g,44,1,
5Z4KL,19,47,1,
5Z4KL,1c,60,1,
5Z4KL,25,76,1,
5Z4KN,1a,34,1,
5Z4LS,1d,36,1,
5Z4MO,1f,40,1,
5Z4MO,1h,72,1,
5Z4UK,1f,40,1,
6AK5,11,51,1,
6AK5,f,15,1,
6AK5,h,19,2,
6AK5,h,27,1,
6AK5,i,13,1,
6AL5,j,7,4,
6AQ5,i,48,1,
6AQ5,k,21,1,
6AQ5,l,14,3,
6AQ5,r,57,1,
6AQ5,w,34,1,
6AT6,10,71,1,R2
6AT6,10,72,1,V3 V2
6AT6,10,75,1,
6AT6,1c,34,1,
6AT6,x,47,4,R3 C2 C1
6AT6,x,48,2,
6AT6,x,49,2,
6BA6,10,71,1,
6BA6,10,75,1,L5
6BA6,12,59,1,V2 C14 L7
6BA6,12,60,1,V1 V2
6BA6,1a,25,1,
6BA6,1a,27,2,V1
6BA6,1c,33,3,
6BA6,24,43,1,
6BA6,v,33,1,
6BA6,v,41,1,
6BA6,x,30,2,
6BA6,x,31,1,
6BA6,x,75,1,
6BA6,y,47,1,
6BE6,11,51,1,
6BE6,11,52,1,V2 C7 C6
6BQ7A,q,69,3,
6BR7,24,96,2,
6BR7,24,99,1,V1 C5
6BR7,24,100,1,V2 V3 T2
6BR7,r,61,2,
6BR7,w,37,1,V2
6BR7,w,38,2,
6BR7,y,64,3,
6BR7,y,65,2,V2 V3
6BW6,10,71,2,R2 C6
6BW6,10,75,1,L5 L2
6BW6,17,50,1,
6BW6,26,54,4,V3 C4 R10
6BW6,26,55,3,V3 V4 C11
6BW6,r,57,1,
6BW6,u,43,2,
6BW6,u,44,1,
6BW6,w,34,1,
6C4,13,62,2,
6C4,13,64,1,C5 C4 C3
6C4,1c,34,2,
6C4,26,54,2,V2 C3 C4
6C4,26,55,2,V2 V1 C6
6C4,x,47,1,
6C4,x,79,1,V1 R1
6C5,11,34,1,
6C5,5,31,1,
6C5,5,32,2,
6C5,c,4,1,
6C5,d,16,1,
6C5,d,23,1,
