part,doc,page,times,near
1590BB,6k,1,2,
1N007,m,20,1,
1N017,4d,1,4,
1N14,2z,3,1,D3 D2
1N148,25,164,1,D4 R58 R58
1N148,2z,3,2,D2
1N148,73,114,3,D5 R60 R60
1N148,74,108,3,D5 R60 R60
1N148,75,109,3,D5 R60 R60
1N148,79,108,1,R58 D2 D2
1N148,7a,108,1,R4 D2 D2
1N148,7b,105,2,D5 R60 R60
1N148,7c,105,3,D5 R60 R60
1N148,7d,105,2,D1 D1 R4
1N148,7e,104,2,D2 D2 D1
1N148,9u,164,1,D4 R58 R58
1N148,ap,1,1,Q2
1N148,b7,1,1,
1N4001,14,6,1,
1N4001,15,6,1,
1N4001,16,6,1,
1N4001,17,6,1,
1N4001,18,6,1,
1N4001,19,6,1,
1N4001,1a,6,1,
1N4001,1b,6,1,
1N4001,1c,6,1,
1N4001,1d,6,1,
1N4001,1e,6,1,
1N4001,1f,6,1,
1N4001,1g,6,1,
1N4001,1h,6,1,
1N4001,59,1,1,
1N4001,7u,1,1,
1N4001,i,6,1,
1N4004,3a,5,1,
1N4004,3a,6,1,
1N4004,3a,9,2,D201 D201 R201
1N4004,3a,25,1,
1N4004,3b,7,1,
1N4004,3b,8,1,
1N4004,3b,12,2,D201 D201 R201
1N4004,3b,31,1,
1N4004,3c,5,1,
1N4004,3c,7,1,
1N4004,3c,27,1,
1N4004,40,1,1,
1N4004,40,5,1,
1N4004,41,1,1,
1N4004,41,5,1,
1N4004,42,1,1,D1 C1
1N4004,42,4,1,
1N4004,43,2,2,D1 C1 R20
1N4004,43,6,1,
1N4004,44,8,1,
1N4004,44,13,1,
1N4004,9z,23,1,D201 Q201 C201
1N4004,a0,17,2,D201 D201 R201
1N4007,10,5,6,D508 L506 C514
1N4007,11,5,6,D508 L506 C514
1N4007,12,5,6,D508 L506 C514
1N4007,2c,2,1,
1N4007,2c,9,1,
1N4007,2c,17,2,
1N4007,2c,44,9,D4 D4 C18
1N4007,2c,75,10,
1N4007,2c,76,1,
1N4007,2c,83,1,
1N4007,2e,1,6,D4 C18 L6
1N4007,2f,2,1,
1N4007,2f,9,1,
1N4007,2f,13,1,
1N4007,2f,16,2,
1N4007,2f,43,12,D4 C18 C18
1N4007,2f,75,10,
1N4007,2f,76,1,
1N4007,2f,83,1,
1N4007,2g,2,1,
1N4007,2g,10,1,
1N4007,2g,12,1,
1N4007,2g,16,2,
1N4007,2g,38,11,D5 C19 C19
1N4007,2g,68,10,
1N4007,2g,69,1,
1N4007,2h,2,1,
1N4007,2h,10,1,
1N4007,2h,12,1,
1N4007,2h,14,2,
1N4007,2h,36,11,D5 C19 C19
1N4007,2h,66,10,
1N4007,2h,67,1,
1N4007,2i,2,1,
1N4007,2i,10,1,
1N4007,2i,12,1,
1N4007,2i,14,2,
1N4007,2i,35,12,D4 D4 C18
1N4007,2i,64,10,
1N4007,2i,65,1,
1N4007,2m,2,1,
1N4007,2m,10,1,
1N4007,2m,12,1,
1N4007,2m,14,2,
1N4007,2m,44,12,D4 D4 C18
1N4007,2m,73,10,
1N4007,2m,74,1,
1N4007,2n,1,6,D4 C18 L6
1N4007,2o,1,6,D4 C18 L6
1N4007,2p,1,6,D4 C18 L6
1N4007,2q,1,6,D4 C18 L6
1N4007,2s,15,1,
1N4007,2s,16,2,
1N4007,2t,35,1,
1N4007,2t,36,1,D6 C20 L10
1N4007,2t,37,2,D6 C20 L10
1N4007,2w,6,1,
1N4007,2w,9,1,
1N4007,2w,24,1,
1N4007,2w,43,5,D7 C15 C15
1N4007,2w,55,10,
1N4007,2w,56,2,
1N4007,2w,58,1,
1N4007,2x,6,1,
1N4007,2x,9,1,
1N4007,2x,23,1,
1N4007,2x,42,6,D7 C15 C15
1N4007,2x,54,10,
1N4007,2x,55,2,
1N4007,2x,57,1,
1N4007,5g,1,1,
1N4007,6,1,2,
1N4007,61,1,3,
1N4007,6b,1,2,
1N4007,6l,1,2,
1N4007,9z,28,1,
1N4007,9z,29,1,
1N4007,9z,30,3,D3 C9 L7
1N4007,a0,19,5,
1N4007,ab,1,2,
1N4007,e,2,1,
1N4007,e,15,1,
1N4007,e,20,1,
1N4007,e,21,2,
1N4007,g,2,1,
1N4007,g,15,1,
1N4007,g,20,1,
1N4007,g,23,2,
1N4007,k,6,12,D508 L506 C514
1N4007,l,6,12,D508 L506 C514
