part,doc,page,times,near
0B2,2p,69,1,
0B2,2v,62,1,
0B2,2x,47,1,
0B2,30,114,3,
0B2,31,61,1,
0B2,34,37,1,
0B2,35,46,1,
0B2,3i,137,1,
0B2,3j,33,1,
0B2,3j,35,2,
0B2,3j,36,1,
0B2,3z,43,1,
0B2,5o,45,2,
0B2,5r,45,1,
0B2,5r,74,1,V2
0B2,6l,32,1,
0B2,7f,41,2,
0D3,1x,34,1,V5 X20 C14
0D3,24,82,2,
0D3,27,45,1,
0D3,2d,49,2,
0D3,2g,38,1,
0D3,2h,66,1,
0D3,2i,36,1,
0D3,2j,27,1,
0D3,2j,64,1,
0D3,2o,35,5,
0D3,2o,36,1,
0D3,2r,26,1,
0D3,2t,55,1,
0D3,2x,72,1,
0D3,2x,73,1,
0D3,34,37,1,
0D3,35,46,1,
0D3,3c,131,1,
0D3,3c,132,2,
0D3,3f,124,1,
0D3,3h,51,1,V1
0D3,3n,76,1,
0D3,3o,47,1,
0D3,3o,48,1,
0D3,3q,82,1,
0D3,3q,158,1,
0D3,3u,89,1,
0D3,3z,39,1,V6
0D3,40,87,2,
0D3,40,94,1,
0D3,45,88,1,
0D3,46,90,1,V2
0D3,47,110,1,
0D3,4a,26,1,
0D3,4b,34,1,
0D3,4d,81,1,V4 C12 R6
0D3,58,53,1,
0D3,5w,99,1,R2
0D3,73,37,1,
0D3,7f,41,2,
0D3,7f,49,1,
12AH7,2j,49,2,
12AH7,2j,50,1,
12AH7,2k,45,2,
12AH7GT,3q,158,1,
12AN7,3e,84,1,V17 V12
12AT7,1e,30,1,R1
12AT7,1m,32,2,
12AT7,1p,35,3,
12AT7,1q,40,4,
12AT7,1u,52,3,
12AT7,1y,46,2,
12AT7,1z,52,1,
12AT7,26,74,2,
12AT7,26,76,1,
12AT7,29,21,1,
12AT7,2a,32,6,
12AT7,2a,33,3,
12AT7,2a,70,1,
12AT7,2b,31,1,
12AT7,2b,60,3,
12AT7,2e,116,2,
12AT7,2e,126,1,
12AT7,2f,49,1,
12AT7,2i,32,1,
12AT7,2i,47,2,
12AT7,2i,116,1,
12AT7,2j,33,1,
12AT7,2j,52,2,
12AT7,2l,34,1,
12AT7,2m,115,1,
12AT7,2n,104,1,
12AT7,2n,119,3,V3 R455 R454
12AT7,2o,68,1,
12AT7,2o,70,2,
12AT7,2p,52,1,
12AT7,2q,38,2,
12AT7,2t,40,2,
12AT7,2t,41,2,
12AT7,2t,42,3,
12AT7,2t,44,1,
12AT7,2t,45,1,
12AT7,2t,49,1,
12AT7,2v,30,1,L109
12AT7,2v,31,2,
12AT7,2w,88,1,
12AT7,2w,101,1,
12AT7,2x,43,1,
12AT7,2x,47,1,
12AT7,2z,46,1,
12AT7,2z,47,4,
12AT7,2z,48,4,
12AT7,2z,60,1,
12AT7,30,37,2,
12AT7,30,42,1,
12AT7,30,46,1,
12AT7,30,52,1,
12AT7,30,62,1,
12AT7,30,122,5,
12AT7,31,47,1,
12AT7,31,51,3,
12AT7,31,52,1,C5
12AT7,31,53,2,
12AT7,31,66,1,
12AT7,31,96,1,
12AT7,32,51,1,
12AT7,32,86,1,
12AT7,32,98,1,
12AT7,32,160,1,
12AT7,33,55,2,
12AT7,33,56,1,
12AT7,33,62,1,
12AT7,34,39,1,
12AT7,34,40,1,
12AT7,34,68,1,
12AT7,34,132,1,
12AT7,35,62,2,X100 X10 X100
12AT7,35,64,1,
12AT7,36,45,2,R9 C5 C2
12AT7,36,48,3,
12AT7,36,54,1,
12AT7,38,30,1,
12AT7,38,51,4,
12AT7,38,52,3,L3
12AT7,3a,30,1,
12AT7,3a,54,4,
12AT7,3a,67,2,
12AT7,3b,40,1,
12AT7,3b,42,1,R3 R5 C2
12AT7,3b,44,1,
12AT7,3b,45,1,
12AT7,3b,71,1,
12AT7,3b,105,1,
12AT7,3c,34,2,
12AT7,3c,49,5,
12AT7,3c,50,4,
12AT7,3c,51,1,
12AT7,3c,65,1,
12AT7,3c,72,1,
12AT7,3c,130,3,
12AT7,3d,42,2,
12AT7,3d,43,3,S3 L4
12AT7,3d,54,1,
12AT7,3d,55,2,
12AT7,3d,67,2,
12AT7,3e,64,3,
12AT7,3e,95,2,
12AT7,3e,132,3,
12AT7,3f,60,2,C091 R107 R103
12AT7,3f,62,1,
12AT7,3f,72,3,
12AT7,3f,77,2,
12AT7,3g,59,3,
12AT7,3g,66,3,
12AT7,3g,71,2,
12AT7,3h,35,1,R4 V2 R5
12AT7,3h,63,2,
12AT7,3h,64,4,
12AT7,3i,137,2,
