part,doc,page,times,near
0B2,6,128,1,V6 V5 V7
0B2,a,97,1,V1 V2 V5
0D3,4,158,1,V4 V3 V2
0D3,5,76,1,
12AT7,1,43,1,
12AT7,2,51,2,
12AT7,2,52,1,
12AT7,3,75,1,V4
12AT7,3,76,1,
12AT7,4,26,3,
12AT7,4,27,6,
12AT7,4,28,6,
12AT7,4,47,1,
12AT7,4,49,1,V1 R4 R3
12AT7,4,54,4,
12AT7,4,55,1,
12AT7,4,56,2,L3
12AT7,4,57,3,
12AT7,4,222,3,
12AT7,4,223,6,
12AT7,4,224,6,
12AT7,4,243,1,
12AT7,4,245,1,V1 R4 R3
12AT7,4,250,4,
12AT7,4,251,1,
12AT7,4,252,2,L4 L3
12AT7,4,253,3,
12AT7,6,29,5,
12AT7,6,30,5,
12AT7,6,31,6,
12AT7,6,32,1,
12AT7,6,33,3,
12AT7,6,35,1,L2
12AT7,6,36,1,
12AT7,7,25,1,
12AT7,7,26,1,
12AT7,7,27,3,
12AT7,8,42,2,
12AT7,8,43,8,
12AT7,8,44,2,
12AT7,8,47,1,
12AT7,8,49,2,
12AT7,8,121,1,U15
12AT7,8,122,3,
12AT7,8,123,1,V1 L2 L1
12AT7,e,98,2,
12AT7,e,99,2,
12AT7,e,129,3,
12AT7,e,130,1,
12AT7,o,32,1,
12AT7,q,70,1,R1 R4 C6
12AT7,q,71,1,V2A R5 C8
12AT7,z,20,1,
12AT7,z,21,1,
12AT7,z,22,1,
12AU7,1,43,1,
12AU7,1,49,4,
12AU7,1,50,3,
12AU7,1,51,1,
12AU7,2,51,2,
12AU7,2,52,1,
12AU7,2,102,4,
12AU7,2,103,1,
12AU7,2,104,1,
12AU7,3,75,5,
12AU7,4,158,2,V2 V3 V1
12AU7,5,127,3,
12AU7,5,131,2,
12AU7,6,152,1,
12AU7,9,29,1,
12AU7,9,30,2,C3 C4 R4
12AU7,a,68,1,
12AU7,e,95,2,
12AU7,g,39,1,
12AU7,z,20,1,
12AU7,z,22,2,
12AU7A,6,37,3,
12AU7A,6,38,1,R3 R2 R1
12AV6,1,58,2,
12AV6,1,114,1,
12AV6,1,115,1,
12AV6,1,116,4,
12AV6,2,60,1,
12AV6,2,111,1,
12AV6,3,83,1,
12AV6,4,135,1,
12AV6,8,108,1,R3 R2
12AV6,o,26,2,V3 R7 C26
12AV6,x,57,2,
12AV6,x,59,1,
12AV6,y,63,2,
12AV6,y,64,1,
12AV6,y,65,1,
12AX7,1,101,2,
12AX7,1,102,1,
12AX7,2,34,2,
12AX7,2,35,4,
12AX7,3,76,1,
12AX7,4,158,1,V1 V2 V3
12AX7,8,149,1,
12AX7,8,151,1,
12AX7,a,68,1,
12AX7,z,20,1,
12AX7,z,22,1,
12AX7A,8,80,2,V2 V3 C8
12AX7A,e,52,1,V2 R6 R4
12AY7,6,152,1,
12B4,z,20,1,
12BH7,5,69,2,
12BH7,5,70,2,
12BH7,6,31,1,
12BH7,6,35,1,
12BH7,6,125,1,R21 C8B
12BH7,6,126,2,C8
12BH7,6,127,2,
12BH7,6,128,1,V7 V8 V6
12BH7,7,45,1,
12BH7,8,46,1,
12BH7,8,47,1,
12BH7,8,48,3,L6
12BH7,8,49,1,
12BH7,z,20,1,
12BH7,z,21,1,
12BH7,z,22,1,
12BZ7,z,20,1,
12BZ7,z,22,1,
12SJ7GT,0,142,1,
12SJ7GT,0,143,1,
12SN7,1,127,1,
12SN7,u,22,2,
12SN7,z,22,1,
12SN7GT,0,75,1,
12SN7GT,1,126,1,
12SN7GT,1,127,2,
1N1489,d,97,2,
1N1693,f,111,2,J1
1N1763,d,97,2,
1N2070,m,38,1,D1 C1 R2
1N2070,q,71,1,C18
1N2071,r,73,1,C118 T1 C12
1N2090,m,88,1,
1N2091,h,82,1,
1N23,a,102,2,
1N2482,n,92,2,D2 Q3 R4
1N2484,8,142,1,
1N2484,a,97,1,
1N2612,d,97,2,
1N2861,d,97,2,
1N295,6,157,1,
1N295,m,35,1,
1N30E,j,45,1,
1N34,0,87,2,
1N34,0,88,1,
1N34,0,89,1,
1N34,0,95,1,
1N34,0,131,1,
1N34,1,60,1,
1N34,1,75,1,
1N34,1,122,1,
1N34,2,39,1,
1N34,2,84,1,
1N34,2,85,4,
1N34,2,121,1,
1N34,3,127,1,
1N34,4,85,1,
1N34,4,131,1,
1N34,4,154,1,
1N34,4,281,1,
1N34,4,327,1,
1N34,5,102,1,
1N34,6,32,1,
1N34,6,36,3,
1N34,6,111,1,L1 L2 C8
1N34,6,145,1,
1N34,7,42,1,
1N34,8,47,1,
1N34,8,49,2,
1N34,8,125,1,C2 J1 C1
1N34,8,143,2,
1N34,9,92,1,
1N34,9,137,1,
1N34,9,146,1,C13 D1 C12
1N34,a,80,1,D1 D2 D3
1N34,j,117,1,
1N34,n,92,2,D1 R3 R6
1N34,o,26,1,R6 C27 R8
1N34,o,33,1,
1N34,q,38,2,C5 C4 C1
1N34,s,10,1,
1N34,v,21,1,
1N345,3,10,1,
1N34A,1,75,1,
1N34A,14,46,2,C2 R2 C1
1N34A,2,121,1,
1N34A,3,127,1,
1N34A,5,102,1,
1N34A,5,110,1,
1N34A,5,112,1,
1N34A,9,86,1,
1N34A,b,66,2,
1N34A,g,91,1,
1N34A,j,54,1,
1N34A,r,45,2,D1
1N35,2,47,1,L2
1N3712,o,31,1,
1N38,4,52,1,D2 D1 T1
1N38,4,248,1,D2 D1 T1
1N38,n,92,1,
1N3823A,j,91,1,
1N4003,12,32,2,R2 Q1 R4
1N456,a,77,1,
1N456,a,78,1,D3 S1 R33
1N456,a,80,1,
1N4731,16,60,2,D2 R8 Q3
1N48,0,95,1,
1N48,1,89,1,
1N48,2,19,1,
1N48,3,127,1,
1N48,4,52,2,D1 D2 T1
1N48,4,131,1,
1N48,4,154,1,
1N48,4,248,2,D1 D2 T1
1N48,4,327,1,
1N48,5,30,1,
1N48,5,109,2,R2
1N48,6,145,1,
1N48,8,40,2,R2
1N48,9,146,1,C13 D1 C12
1N48,n,24,1,
1N48,v,12,1,
1N48,v,21,1,
1N48D,5,107,1,
1N51,2,113,1,
1N536,n,92,4,
1N538,n,92,1,
1N539,i,59,1,
1N54A,6,46,1,R2 R1
1N56,n,92,1,
1N60,1,75,1,
1N60,2,27,1,
1N60,2,28,1,
1N60,2,39,1,
1N60,2,121,1,
1N60,5,102,1,
1N60,6,94,1,T2 T1 L5
1N60,9,66,1,
1N60,g,91,1,
1N60,n,24,1,
1N60,v,12,1,
1N64,3,127,1,
1N64,4,124,1,
1N64,4,320,1,
1N64,5,30,1,
1N64,5,44,1,
1N64,5,45,1,
1N64,6,54,1,
1N64,6,131,1,C3 R1 R2
1N64,7,35,1,
