part,doc,page,times,near
12AX7,4n,1,2,
1N4002,10,1,1,
1N4002,19,1,1,
1N4002,1d,1,1,
1N4002,1f,1,1,
1N4002,1k,1,1,
1N4002,1o,1,2,
1N4002,1q,1,1,
1N4002,1r,1,1,
1N4002,2,1,1,
1N4002,2b,1,1,
1N4002,2h,1,1,
1N4002,33,1,1,
1N4002,3i,1,2,
1N4002,3m,1,1,
1N4002,3o,1,1,
1N4002,3r,1,1,
1N4002,3t,1,1,
1N4002,3x,1,1,
1N4002,4d,1,1,
1N4002,7,1,1,
1N4002,8,1,1,
1N4002,9,1,1,
1N4002,a,1,1,
1N4002,b,1,1,
1N4002,c,1,1,
1N4002,g,1,1,
1N4004,4g,1,1,
1N4004,4i,1,1,
1N4004,t,1,1,
1N4007,20,1,1,
1N4007,2o,1,1,
1N4007,2q,1,1,
1N4007,3c,1,1,
1N4007,3f,1,1,
1N4007,3p,1,2,
1N4007,3s,1,1,
1N4007,3u,1,1,
1N4007,3w,1,1,
1N4007,3z,1,1,
1N4007,41,1,1,
1N4007,48,1,1,
1N4007,4b,1,1,
1N4007,4u,1,1,
1N4148,10,1,1,
1N4148,11,1,1,
1N4148,14,1,1,
1N4148,18,1,1,
1N4148,1e,1,1,
1N4148,1l,1,1,
1N4148,1m,1,1,
1N4148,1n,1,1,
1N4148,1s,1,2,
1N4148,1u,1,1,
1N4148,1v,1,1,
1N4148,1w,1,1,
1N4148,1z,1,1,
1N4148,2,1,1,
1N4148,21,1,1,
1N4148,23,1,1,
1N4148,24,1,1,
1N4148,27,1,1,
1N4148,2d,1,1,
1N4148,2e,1,1,
1N4148,2f,1,1,
1N4148,2i,1,1,
1N4148,2j,1,1,
1N4148,2m,1,1,
1N4148,2n,1,1,
1N4148,2p,1,1,
1N4148,2v,1,1,
1N4148,2w,1,1,
1N4148,2y,1,2,
1N4148,2z,1,1,
1N4148,30,1,3,
1N4148,31,1,1,
1N4148,33,1,1,
1N4148,34,1,1,
1N4148,36,1,1,
1N4148,37,1,1,
1N4148,3a,1,1,
1N4148,3g,1,1,
1N4148,3h,1,1,
1N4148,3i,1,2,
1N4148,3j,1,1,
1N4148,3l,1,1,
1N4148,3m,1,1,
1N4148,3n,1,1,
1N4148,3p,1,1,
1N4148,3y,1,1,
1N4148,40,1,1,
1N4148,41,1,1,
1N4148,42,1,1,
1N4148,43,1,1,
1N4148,44,1,1,
1N4148,48,1,1,
1N4148,4a,1,1,
1N4148,4c,1,1,
1N4148,4e,1,1,
1N4148,4g,1,1,
1N4148,4h,1,1,
1N4148,4j,1,1,
1N4148,4p,1,1,
1N4148,4r,1,1,
1N4148,4s,1,1,
1N4148,6,1,1,
1N4148,d,1,1,
1N4148,h,1,1,
1N4148,k,1,1,
1N4148,s,1,1,
1N4148,u,1,1,
1N4148,x,1,1,
1N4148,z,1,1,
1N5402,29,1,1,
1N5408,3f,1,1,
1N5819,1p,1,2,
1N5819,1w,1,2,
1N5819,37,1,1,
1N5819,3l,1,3,
1N5819,3q,1,2,
1N5819,46,1,2,
2N3055,29,1,2,
2N3055,4h,1,2,
2N3055,6,1,2,
2N3819,1q,1,1,
2N3819,23,1,1,
2N3819,35,1,1,
2N3819,36,1,1,
2N3819,3b,1,1,
2N3819,3j,1,1,
2N3819,4g,1,1,
2N3819,4i,1,1,
2N3819,4n,1,2,
2N3819,4o,1,1,
2N3819,4v,1,1,
2N3819,c,1,1,
2N3904,2a,1,1,
2N3906,2a,1,1,
2N3906,4w,1,1,
2N6037,2l,1,1,
2N6038,2l,1,1,
2N6039,2l,1,1,
