part,doc,page,times,near
12AH7,ee,1,1,R271 C454 R222
12AK7,8j,1,1,V4 V5 V3
12AK7,am,1,1,
12AK7,ks,1,1,
12AK7WA,53,2,1,R144 R145 R143
12AT7,0,1,1,V3 T0
12AT7,1,1,3,V5A V5A V5B
12AT7,1,2,2,V5A V5B V6
12AT7,103,1,1,
12AT7,1b,1,2,
12AT7,1b,2,2,
12AT7,1c,1,2,
12AT7,1d,1,3,V7A V78 V5A
12AT7,1l,1,1,
12AT7,1l,2,1,
12AT7,1m,1,1,
12AT7,1m,2,1,
12AT7,1n,1,2,
12AT7,1n,2,2,
12AT7,1o,1,2,
12AT7,1o,2,2,
12AT7,1p,1,2,V6
12AT7,1q,1,3,V6
12AT7,1r,1,4,V6
12AT7,1s,1,2,
12AT7,1t,1,1,
12AT7,1t,2,1,
12AT7,1w,1,1,V3 TR4
12AT7,1w,2,1,TR4
12AT7,1x,1,3,V6A V6B V8
12AT7,1x,2,2,V6A V6B V7
12AT7,1y,1,2,V6A V6B V8
12AT7,2,1,3,V5A V5A V5B
12AT7,27,1,2,TR3 TR3
12AT7,27,2,2,
12AT7,28,1,1,
12AT7,28,2,1,
12AT7,29,1,1,V2 TR3
12AT7,2j,1,1,
12AT7,2j,2,1,
12AT7,2k,1,1,
12AT7,2k,2,1,
12AT7,2l,1,2,
12AT7,2l,2,2,
12AT7,2m,1,2,
12AT7,2n,1,2,
12AT7,2o,1,2,
12AT7,2o,2,2,
12AT7,2p,1,2,V6
12AT7,2q,1,2,V6A V6B
12AT7,2r,1,1,V5 V4B
12AT7,2t,1,1,V3
12AT7,2u,1,2,
12AT7,2v,1,2,V6A V6B V8
12AT7,2v,2,2,V6A V6B V9
12AT7,2w,1,2,V6A V6B
12AT7,2x,1,1,
12AT7,2x,2,1,
12AT7,30,1,1,
12AT7,30,2,1,
12AT7,31,1,1,
12AT7,31,2,1,
12AT7,32,1,1,
12AT7,33,1,1,
12AT7,34,1,2,
12AT7,35,1,4,
12AT7,36,1,2,V6
12AT7,3h,1,1,R117 C189 C1
12AT7,3i,1,2,
12AT7,3i,2,2,
12AT7,3j,1,2,
12AT7,3j,2,2,
12AT7,3j,3,2,
12AT7,3j,4,2,
12AT7,3k,1,2,
12AT7,3k,2,2,
12AT7,3l,1,2,
12AT7,3l,2,2,
12AT7,3m,1,2,
12AT7,3m,2,2,
12AT7,3n,1,1,V58 V5A
12AT7,3o,1,1,V5B V4B V5A
12AT7,3u,1,1,
12AT7,3u,2,1,
12AT7,3v,1,1,
12AT7,3v,2,1,
12AT7,43,1,2,
12AT7,43,2,2,
12AT7,44,1,2,V6
12AT7,44,2,2,V6 V5
12AT7,45,1,2,V6
12AT7,45,2,2,V6 V5
12AT7,46,1,2,
12AT7,48,1,1,R124 C106 R117
12AT7,4e,1,2,
12AT7,4e,2,1,
12AT7,4f,1,1,
12AT7,4g,1,2,
12AT7,4g,2,2,V6A V6B V7
12AT7,4h,1,2,
12AT7,4h,2,2,
12AT7,4i,1,2,
12AT7,4i,2,2,
12AT7,4k,1,2,
12AT7,4k,2,2,
12AT7,4l,1,2,
12AT7,4l,2,2,
12AT7,4p,5,1,
12AT7,4p,7,3,V18 V1B R7
12AT7,4q,1,1,V3 C14 R25
12AT7,4r,5,1,
12AT7,4r,8,2,C13 C13 R25
12AT7,4s,4,1,
12AT7,4s,6,1,V3A V38 C19
12AT7,4t,1,6,R54 R51 R49
12AT7,4x,1,3,C15 V3A R29
12AT7,53,1,1,R65 R64 C33
12AT7,53,2,1,P211 P218 D215
12AT7,56,1,6,V5A R6 C22
12AT7,56,2,2,V8A C12 R19
12AT7,5a,4,1,
12AT7,5a,6,1,
12AT7,5a,8,1,C13 C13 R25
12AT7,5c,4,1,
12AT7,5c,6,2,C14 R25 R25
12AT7,6,1,2,
12AT7,6,2,2,
12AT7,7,1,1,
12AT7,7,2,1,
12AT7,8,1,1,
12AT7,9,1,1,
12AT7,9,2,2,
12AT7,a,1,2,
12AT7,b,1,2,
12AT7,bz,1,1,C3 TR2 R5
12AT7,c,1,2,
12AT7,c,2,2,
12AT7,d,1,2,V6A V6B V7
12AT7,dt,1,1,V2
12AT7,dt,2,1,
12AT7,e,1,2,V6A V6B
12AT7,e1,2,2,U4B U4B C213
12AT7,eh,1,1,
12AT7,ek,1,1,
12AT7,el,1,1,
12AT7,em,1,1,
12AT7,f,1,2,
12AT7,f,2,1,
12AT7,g7,1,1,V4 V2 V5
12AT7,g9,1,2,
12AT7,km,2,1,
12AT7,ko,1,1,
12AT7,l,1,1,
12AT7,l,2,1,
12AT7,m,1,1,
12AT7,n,1,1,
12AT7,n,2,1,
12AT7,o,1,1,
12AT7,o,2,1,
12AT7,o8,1,2,V4 V1
12AT7,p,1,1,
12AT7,pq,1,3,
12AT7,q,1,2,
12AT7,r,1,1,V3
12AT7,r0,1,2,
12AT7,r1,2,1,
12AT7,r4,1,1,
12AT7,r5,2,1,C17 R29 R20
12AT7,rj,1,1,V103 C119 C124
12AT7,rk,2,3,V205 R236 R239
12AT7,rt,2,1,
12AT7,s,1,1,
12AT7,si,3,1,V6 C24 R30
12AT7,u,1,1,V4
12AT7,v,1,1,V3
12AT7,v6,1,2,V6 R72 R72
12AT7,v6,2,2,V8 R69 R70
12AT7,va,1,2,V2A R106 R130
12AT7,vg,1,1,
12AT7,vl,1,2,T3 P3
12AT7,vm,1,2,T3 P3
12AT7,vr,1,1,
12AT7,vs,1,1,J9
12AT7,w,1,1,V3
12AT7,x,1,2,V3
12AT7,x,2,3,V3
12AT7,zj,1,1,C16 R28 C18
12AT7WA,wq,2,1,
12AU6,eo,1,1,
12AU6,eo,2,2,
12AU6,ep,1,2,
12AU6,ew,1,3,R2 R3
12AU6,i7,1,2,V1
12AU6,i8,1,1,
12AU6,if,1,1,R5 R4 T1
12AU6,ig,1,1,
12AU6,j2,1,1,R2 R2 C1
12AU6,ja,1,3,C3
12AU6,jb,1,2,R4A
12AU6,jg,1,1,R9
12AU6,jk,1,2,
12AU6,jo,1,4,
12AU6,jt,1,1,
12AU6,ms,1,2,
12AU6,mu,1,2,R3
12AU6,mu,2,2,C1 R3 R4
12AU7,7w,1,1,V2
12AU7,81,1,1,V3 V2 C12
12AU7,8l,1,1,V3 V5 T2
12AU7,8n,1,1,V3 V2 T3
12AU7,8u,1,1,V3 V2
12AU7,8w,1,2,V3A
12AU7,94,1,3,V4A
12AU7,97,1,1,
12AU7,99,1,1,V8
12AU7,9d,1,2,V4A T3 V4A
12AU7,9e,1,1,T3 C7 C6
12AU7,9f,1,1,V3 V2 V6
12AU7,9l,1,2,V5 V4 V6
12AU7,9o,1,1,V3 V2 V4
12AU7,9w,1,2,C15 R30 R29
12AU7,a3,1,2,V8
12AU7,a4,1,2,V6A C24 R35
12AU7,a7,1,2,V2 V5
12AU7,ac,1,1,V3 V2
12AU7,aq,1,1,R44
12AU7,at,1,1,L2
12AU7,aw,1,1,R19 C41
12AU7,b4,1,2,V1A
12AU7,b7,1,1,
12AU7,bm,1,1,R28 C16 C16
12AU7,cb,1,1,V4 C24 R57
12AU7,d4,1,1,V4
12AU7,d8,1,1,V4
12AU7,da,1,1,V4
12AU7,dj,1,1,V3 C42 J13
12AU7,dj,2,1,R123 R11 V6
12AU7,gb,1,1,
12AU7,gy,1,2,
12AU7,gz,2,1,
12AU7,h1,1,1,
12AU7,h2,1,1,
12AU7,hg,1,1,Q4
12AU7,hj,1,3,
12AU7,il,1,1,C2 J1 J1
12AU7,im,1,1,C2 J1
12AU7,in,1,1,
12AU7,j3,1,1,C2 C2 R6
12AU7,j4,1,1,C2 C2
12AU7,ju,1,3,
12AU7,k0,1,1,
12AU7,k1,1,1,
12AU7,k5,1,1,
12AU7,k7,2,2,
12AU7,k7,3,2,
12AU7,k7,5,2,
12AU7,ka,1,2,
12AU7,kd,1,1,V2B
12AU7,ko,1,1,
12AU7,kp,1,2,V2
12AU7,kp,3,2,V2
12AU7,kp,4,5,
12AU7,kp,6,2,V2
12AU7,kp,8,1,
12AU7,kw,1,1,R20 R17 R21
12AU7,ky,1,1,
12AU7,kz,1,1,
12AU7,l0,1,4,
12AU7,l0,2,3,
12AU7,l1,1,4,
12AU7,l1,2,3,
12AU7,l2,1,1,
12AU7,l3,1,1,R2
12AU7,l4,1,1,
12AU7,l9,1,1,
12AU7,o6,1,3,
12AU7,pg,1,2,
12AU7,pi,1,1,
12AU7,pj,1,1,
12AU7,pk,1,2,V5
12AU7,pl,1,1,
12AU7,pm,1,2,
12AU7,pn,1,2,
12AU7,po,1,1,
12AU7,s2,1,2,V3B C118 C119
12AU7,s8,1,1,
12AU7,vp,1,1,
12AU7,vq,1,1,
12AU7,vw,1,2,V4b V4a
12AU7,wn,2,3,V1 R57 R63
12AU7,wo,2,2,R1 V1A V1B
12AU7,wq,1,1,
12AU7,x2,1,1,
12AU7,x6,1,1,
12AU7,xb,1,1,
12AU7,xr,9,1,V1B
12AU7,z6,1,1,V2 R27 R27
12AU7A,2s,1,1,V2
12AU7A,38,1,1,
12AU7A,3n,1,1,
12AU7A,8i,1,1,V4 V5 V3
12AU7A,8x,2,1,
12AU7A,90,1,1,V7
12AU7A,91,1,1,L4
12AU7A,9c,1,1,
12AU7A,9g,1,1,V4 V3 V5
12AU7A,9h,1,1,V5 V4 V6
12AU7A,a6,1,2,V3 V2 V4
12AU7A,dj,2,1,J176 V3 V2
12AU7A,k5,1,1,
12AU7A,kx,1,1,
12AU7A,oo,1,1,
12AU7A,vs,1,1,J9
12AV6,ep,1,2,
12AV6,jo,1,3,
12AV6,jt,1,1,
12AX7,101,1,1,
12AX7,101,2,1,
12AX7,103,1,3,
12AX7,103,2,3,
12AX7,104,1,1,C2
12AX7,11,1,1,
12AX7,11,2,1,
12AX7,12,1,1,
12AX7,12,2,1,
12AX7,13,2,1,
12AX7,13l,1,2,
12AX7,17,1,3,
12AX7,17,2,4,
12AX7,1a,1,2,
12AX7,1a,2,2,
12AX7,1b,1,2,S2
12AX7,1b,2,2,
12AX7,1c,1,2,
12AX7,1h,1,1,
12AX7,1h,2,1,
12AX7,1i,1,1,
12AX7,1i,2,1,
12AX7,1j,1,1,
12AX7,1k,1,2,
12AX7,1k,2,2,
12AX7,1l,1,1,
12AX7,1l,2,1,
12AX7,1m,1,1,
12AX7,1m,2,1,
12AX7,1n,1,1,
12AX7,1n,2,1,
12AX7,1o,1,1,
12AX7,1o,2,1,
12AX7,1u,1,2,
12AX7,20,2,1,
12AX7,21,2,1,
12AX7,22,1,1,
12AX7,22,2,1,
12AX7,23,1,2,
12AX7,23,2,1,
12AX7,24,1,2,
12AX7,24,2,1,
12AX7,25,2,1,
12AX7,27,1,3,T450
12AX7,27,2,3,
12AX7,28,1,2,
12AX7,2d,1,1,
12AX7,2e,1,1,
12AX7,2e,2,1,
12AX7,2f,1,1,
12AX7,2f,2,1,
12AX7,2g,1,1,
12AX7,2g,2,1,
12AX7,2i,1,2,
12AX7,2i,2,2,
12AX7,2j,1,1,
12AX7,2j,2,1,
