part,doc,page,times,near
12AU7,10,1,1,
12AU7,11,1,1,
12AU7,c,1,1,
12AX7,17,1,2,VT1
12AX7,i,1,1,
1N400,1i,1,1,C2 R1
1N4001,1i,1,4,IC8
1N4001,1j,1,3,R9
1N4001,1k,1,2,
1N4007,15,1,1,
1N4007,c,1,1,
1N4148,18,1,2,
1N4148,19,1,1,
1N4148,1a,1,1,
1N4148,1b,1,1,
1N4148,1d,1,1,
1N4148,1g,1,2,
1N4148,1s,1,1,
1N4148,1u,1,1,
1N4148,4,1,1,
1N4148,9,1,1,
1N4148,e,1,1,
1N4148,h,1,1,
1N4148,u,1,1,
1N5401,1k,1,1,
2N3055,l,1,1,
2N3904,18,1,1,
2N3906,18,1,1,
2N390X,6,1,1,
2N390X,e,1,1,
2N4391,6,1,1,
2SA1349,1,1,1,
2SA1349,16,1,1,IC16
2SC1583,1,1,1,
2SC1583,15,1,1,
2SC1583,6,1,3,
2SC1583,k,1,2,
2SC3381,1,1,1,
3D6,f,1,1,
4066B,1l,1,1,
4069UB,e,1,1,
5Z3,t,1,1,
6E5,f,1,1,
6J1B,10,1,1,
6J1B,11,1,1,
6J1BS,5,1,1,
6J32,a,1,1,
6J5,f,1,1,
6J8,f,1,1,
6L7,s,1,1,
6N1P,13,1,2,V1a
6N1P,5,1,1,
6N1P,a,1,2,
6N1P,c,1,1,
6Y3,s,1,1,
6Y3,t,1,1,
74HC14,q,1,1,
74HC4053,g,1,1,
74HC573,1n,1,1,
BA6110,16,1,2,IC2a
BA6110,d,1,1,
BC428,f,1,1,
BC547,h,1,1,
BC547B,1i,1,1,T2 C14 IC9
BC548,12,1,1,
BC548,18,1,1,
BC548,1a,1,1,
BC548,1f,1,1,
BC548,1n,1,2,
BC548,1p,1,1,
BC548,1u,1,1,
BC548,h,1,1,
BC548A,g,1,1,
BC548C,1,1,1,
BC548C,14,1,1,
BC548C,1h,1,1,R24
BC548C,1t,1,1,T1 T2
BC548C,e,1,1,
BC550,18,1,1,
BC550,k,1,1,
BC550C,1l,1,1,
BC557,13,1,1,T1
BC558,18,1,1,
BC558,1a,1,1,
BC558,1f,1,1,
BC558C,1,1,1,
BC558C,14,1,1,
BC558C,1h,1,1,
BC558C,1q,1,1,
BC558C,1t,1,1,T2 T1
BC558C,e,1,1,
BC560,18,1,1,
BC560C,1,1,1,
BC560C,1l,1,1,
BC848CS,1o,1,1,
BCS47,1d,1,1,
BD241,1j,1,2,T1 R9
BD241,1k,1,1,
BF245,1e,1,1,
BF245A,r,1,1,
BF245B,1s,1,1,
BF245B,r,1,1,
BS7,f,1,1,
BUZ71,u,1,1,
CA3046,1,1,2,
CA3046,12,1,2,T3
CA3046,2,1,1,
CA3046,6,1,2,
CA3046,7,1,1,
CA3046,u,1,1,
CA3046,v,1,1,
CA3080,0,1,5,
CA3080,1m,1,2,
CA3080,1q,1,3,
CA3080,8,1,1,
CA3080,d,1,1,
CA3080,o,1,1,
CA3080,x,1,1,
CA3080A,0,1,1,
CA3080A,x,1,1,
CA3086,7,1,1,
CA3086,k,1,1,
CA3086,v,1,1,
CA3140,1s,1,1,
CA3140,6,1,1,
CD4001,1b,1,1,
CD40106,1r,1,4,
CD40106,q,1,1,
CD4066,1b,1,2,
CD4066,1g,1,1,
CD4069,o,1,2,
CD4069UB,1m,1,1,
CD4069UB,m,1,1,
DE15,t,1,1,
ECC82,c,1,1,
ECC83,17,1,3,VT1
ECC83,z,1,1,
ECC88,c,1,1,
EF86,10,1,1,
EF86,11,1,1,
EF86,13,1,1,V2
EF86,a,1,1,
EL26,s,1,1,
EM43,t,1,1,
EY23,f,1,1,
K24,t,1,1,
LF398,1u,1,1,
LF398,r,1,1,
LM13600,0,1,3,
LM13600,d,1,1,
LM13700,0,1,2,
LM317,16,1,1,
LM317,1i,1,1,IC8
LM317,l,1,2,
LM337,1i,1,1,IC9 T2
LM358,1d,1,1,
LM3900,1f,1,1,
LM3900,j,1,1,
LM393,16,1,2,
LM394,6,1,1,
LR8,s,1,1,
MAT02,6,1,1,
MAT02,n,1,1,
MC1496,k,1,1,
NE566,b,1,1,
OP27,n,1,1,
PH2,s,1,1,
PT2399,3,1,1,
PT2399,4,1,2,
PT2399,y,1,3,
PY57,f,1,1,
S3G,s,1,1,
SSM2040,o,1,1,
TL071,1f,1,1,
TL071,1g,1,1,
TL072,1o,1,1,
TL072,g,1,1,
TL072,v,1,1,
TL074,1q,1,1,
TL074,4,1,1,
TL074,w,1,1,
TL081,13,1,1,
TL081,14,1,1,
TL081,1c,1,1,
TL081,1n,1,1,
TL081,1s,1,1,
TL081,c,1,1,
TL082,p,1,1,
TL084,1b,1,2,
TL084,4,1,1,
TL084,w,1,1,
Z80,f,1,1,
