part,doc,page,times,near
1N100,78,6,1,
1N100,78,13,1,
1N105,4l,1,1,
1N107,1o,1,5,
1N107,3k,1,5,
1N108,1o,1,5,
1N108,3k,1,4,
1N115,3l,1,1,
1N126,3l,1,1,
1N144,6o,29,1,
1N144,6p,29,1,
1N21,6r,2,1,
1N21,6r,22,1,
1N21,77,18,1,
1N21,78,2,1,
1N21,78,6,1,
1N23E,5q,1,1,
1N250A,54,1,1,
1N263,4x,1,1,
1N295,77,27,2,
1N305,6o,16,1,
1N305,6p,16,1,
1N307,6o,17,1,
1N307,6p,17,1,
1N3116,46,1,1,
1N34,13,1,2,
1N34,1v,1,2,
1N34,20,1,1,
1N34,29,1,1,
1N34,2g,1,8,
1N34,3l,1,1,
1N34,4,1,1,
1N34,6i,2,4,
1N34,6i,4,2,
1N34,6i,7,5,
1N34,6i,10,1,
1N34,6i,14,2,
1N34,6i,18,1,
1N34,6r,3,2,
1N34,6r,22,2,
1N34,6s,2,1,
1N34,6s,3,1,
1N34,7,1,1,
1N34,70,1,3,
1N34,70,2,2,
1N34,70,14,1,
1N34,73,1,1,
1N34,77,6,1,
1N34,77,18,2,
1N34,77,31,1,
1N34,77,32,1,
1N34,78,1,1,
1N34,78,2,5,
1N34,78,4,1,
1N34,78,5,1,
1N34,78,6,1,
1N34,78,7,3,
1N34,78,12,3,
1N34,78,14,2,
1N34,78,15,4,
1N34,78,16,5,
1N34,78,17,3,
1N34,78,18,3,
1N34,78,19,2,
1N34,b,1,6,
1N34,n,1,1,
1N34,s,1,2,
1N34A,1o,1,1,
1N34A,29,1,1,
1N34A,2g,1,5,
1N34A,3l,1,1,
1N34A,6i,2,4,
1N34A,6i,9,1,
1N34A,6i,10,3,
1N34A,6i,18,1,
1N34A,70,2,2,
1N34A,77,32,2,
1N34A,78,1,1,
1N34A,78,2,2,
1N34A,78,5,1,
1N34A,78,7,2,
1N34A,78,10,1,
1N34A,78,11,1,
1N34A,78,12,2,
1N34A,78,17,5,
1N34A,78,18,4,
1N34A,b,1,3,
1N35,78,12,1,
1N3712,2d,1,5,
1N3712,3q,1,4,
1N3712,6s,2,1,
1N3712,6s,3,1,
1N3712,b,1,3,
1N38,78,12,1,
1N38,78,17,1,
1N39,78,12,1,
1N39,78,17,1,
1N40,78,12,1,
1N40,78,17,1,
1N42,78,17,1,
1N43,3l,1,1,
1N43,6s,3,1,
1N43,78,16,2,
1N434B,6s,3,1,
1N434B,6v,2,1,
1N45,3l,1,1,
1N46,3l,1,1,
1N48,3l,1,1,
1N48,78,12,1,
1N51,1o,1,5,
1N51,3k,1,4,
1N51,3l,1,1,
1N51,78,12,1,
1N51,78,14,2,
1N52,78,12,1,
1N52,78,14,1,
1N54,78,12,1,
1N54,78,14,1,
1N54,78,17,1,
1N54A,78,12,1,
1N55,78,12,1,
1N55A,78,12,1,
1N55B,78,12,1,
1N56,78,12,1,
1N56,78,13,1,
1N56,78,16,2,
1N58,78,12,1,
1N58,78,17,1,
1N58A,78,14,1,
1N60,78,13,1,
1N61,78,14,1,
1N63,78,13,1,
1N64,3h,1,2,
1N64,78,13,1,
1N64,78,20,2,
1N65,78,13,1,
1N66,2g,1,6,
1N66,3l,1,2,
1N66,6o,18,2,
1N66,6o,37,2,
1N66,6p,18,2,
1N66,6p,37,2,
1N66,6v,2,1,
1N66,b,1,1,
1N67,78,13,1,
1N67A,78,13,1,
1N69,3l,1,1,
1N69,78,13,1,
1N70,78,13,1,
1N71,78,13,1,
1N73,78,13,1,
1N74,78,13,1,
1N75,78,13,1,
1N81,13,1,5,
1N81,29,1,1,
1N81,3h,1,4,
1N81,3n,1,1,
1N81,7,1,2,
1N81,78,1,1,
1N81,78,2,3,
1N81,78,5,1,
1N81,78,7,2,
1N81,78,13,1,
1N81,78,19,4,
1N81,78,20,3,
1N81,78,21,1,
1N81,b,1,1,
1N81A,4,1,1,
1N85,6k,1,1,
1N90,3l,1,1,
1N93,4y,1,1,
1N99,3h,1,1,
1N99,78,20,1,
2N1003,74,2,3,
2N1004,6s,3,1,
2N1004,7,1,1,
2N1004,74,1,3,
2N1004,74,2,4,
2N101,21,1,1,
2N101,2x,1,2,
2N101,3v,1,3,
2N101,6o,23,1,
2N101,6p,23,1,
2N1015,2u,1,1,
2N1015,4e,1,1,
2N1015,4p,1,1,
2N1015C,4e,1,2,
2N1016,2u,1,1,
2N1016,4e,1,1,
2N1016,4p,1,1,
2N1016C,4e,1,1,
2N1017,6z,8,5,
2N1017,6z,9,2,
2N102,21,1,1,
2N102,2x,1,2,
2N102,3v,1,2,
2N1029B,4m,1,1,
2N104,z,1,1,
2N1047,4o,1,1,
2N105,3b,1,2,
2N105,w,1,1,
2N105,z,1,1,
2N1050,4o,1,1,
2N106,5t,1,2,
2N107,0,1,2,
2N107,16,1,1,
2N107,17,1,2,
2N107,18,1,9,
2N107,19,1,9,
2N107,1g,1,1,
2N107,1h,1,1,
2N107,20,1,1,
2N107,28,1,1,
2N107,2f,1,1,
2N107,2j,1,1,
2N107,31,1,2,
2N107,3i,1,8,
2N107,3j,1,4,
2N107,4v,1,1,
2N107,59,1,3,
