part,doc,page,times,near
12AU7,5o,1,1,V131 R145 C135
12AX7,5o,1,1,C133 C136 R147
2N2219A,11,1,1,
2N2219A,y,1,1,
2N2905A,11,1,1,
2N2905A,y,1,1,
2N4304,5n,1,1,
2SA539,5p,1,1,
2SA566,5p,1,1,
2SC1161,5p,1,1,
2SC815,5p,1,1,
2SJ79,p,1,1,
2SJ79,s,1,1,
2SK216,p,1,1,
2SK216,s,1,1,
AC101,5j,1,2,
AC125,5j,1,2,
AC128,5j,1,2,
AC128,n,1,1,
AD161,5j,1,5,D162
AD161,n,1,1,
AD797,2d,1,1,
AD797,2j,1,1,
AD797,2r,1,4,
AD797,36,1,1,
AD797,37,1,5,
AD797,38,1,4,
AD797,39,1,1,
AD797,3a,1,5,
AD797,3c,1,5,
AD797,3d,1,5,
AD797,3f,1,4,
AD797,3g,1,4,
AD797,3i,1,4,
AD797,3j,1,4,
AD797,3v,1,4,
AD797,3y,1,1,
AD797,3z,1,5,
AD797,40,1,4,
AD797,44,1,1,
AD797,45,1,5,
AD797,4j,1,1,
AD797,4k,1,1,
AD797,4r,1,2,
AD797,4t,1,2,
AD797,r,1,1,
AD797,s,1,1,
AD797ANZ,m,1,1,
AD823,m,1,1,
AD825,1,1,20,
AD825,2r,1,2,
AD825,36,1,1,
AD825,37,1,3,
AD825,38,1,2,
AD825,39,1,1,
AD825,3a,1,3,
AD825,3c,1,3,
AD825,3d,1,3,
AD825,3f,1,5,
AD825,3g,1,5,
AD825,3i,1,5,
AD825,3j,1,5,
AD825,3v,1,2,
AD825,3y,1,1,
AD825,3z,1,3,
AD825,40,1,2,
AD825,44,1,1,
AD825,45,1,3,
AD825,4j,1,1,
AD825,4k,1,1,
AD825,4r,1,6,
AD825,4t,1,6,
AD825,5e,1,1,R1 C9
AD825,5r,1,1,R1 R1 R1
AD825,5s,1,1,R1 C9 C6
AD825,m,1,2,
AD8397,m,1,1,
AD8599,m,1,1,
AD8610,0,1,3,
AD8610,12,1,2,
AD8610,13,1,4,
AD8610,14,1,2,
AD8610,15,1,2,
AD8610,16,1,7,
AD8610,17,1,17,
AD8610,1c,1,2,
AD8610,1d,1,2,
AD8610,1e,1,1,
AD8610,1f,1,7,
AD8610,1g,1,12,
AD8610,1j,1,2,
AD8610,1k,1,2,
AD8610,1l,1,1,
AD8610,1m,1,7,
AD8610,1n,1,12,
AD8610,1r,1,1,
AD8610,1v,1,1,
AD8610,2r,1,1,
AD8610,37,1,1,
AD8610,38,1,1,
AD8610,3a,1,1,
AD8610,3c,1,1,
AD8610,3d,1,1,
AD8610,3f,1,1,
AD8610,3g,1,1,
AD8610,3i,1,1,
AD8610,3j,1,1,
AD8610,3v,1,1,
AD8610,3z,1,1,
AD8610,40,1,1,
AD8610,45,1,1,
AD8610,4r,1,1,
AD8610,4t,1,1,
AD8610,h,1,3,
AD8610,i,1,3,
AD8610,j,1,3,
AD8610,k,1,3,
AD8610,r,1,1,
AD8610,s,1,1,
AD8620,1w,1,1,
AD8620,4n,1,1,
AD8620,4o,1,3,
AD8620,4p,1,1,
AD8620,4q,1,7,
AD8620,4w,1,3,
AD8620,53,1,1,
AD8620,54,1,1,
AD8620,55,1,6,
AD8620,5u,1,1,R18
AD8620,m,1,2,
AD8620,t,1,2,
BC148,5j,1,1,
BC148,n,1,1,
BC149,5j,1,1,
BC149,n,1,1,
BC547,2f,1,1,
BC547,2j,1,1,
BC548,n,1,1,
BC550,2e,1,1,
BC550,2i,1,2,
BC550,2j,1,3,
BC550,p,1,2,
BC550,s,1,2,
BC550C,2i,1,2,
