part,doc,page,times,near
1N3064,10,1,1,
1N3064,2s,1,3,
1N3070,10,1,1,
1N3070,2t,1,3,
1N3595,10,1,1,
1N3595,2u,1,3,
1N4001,10,1,1,
1N4001,1an,6,2,R5 C8 R1
1N4001,1an,7,4,
1N4001,1an,8,1,C8 C7
1N4001,1ao,2,2,R1 D21 R4
1N4001,1ao,6,6,D1 C3 R1
1N4001,1ao,7,1,C8 C7
1N4001,1ao,8,1,C8 C7
1N4001,1c,1,1,
1N4001,1o,1,1,
1N4001,1q,1,2,
1N4001,1r,1,1,
1N4001,1s,1,1,
1N4001,1t,1,1,
1N4001,1u,1,4,
1N4001,1v,1,1,
1N4001,1x,1,1,
1N4001,1y,1,1,
1N4001,2v,1,1,
1N4001,m,1,1,
1N4001G,1gz,1,1,
1N4001G,1gz,2,3,
1N4001G,1gz,3,1,
1N4001G,1gz,4,1,
1N4001G,1gz,5,1,
1N4001G,lc,1,1,
1N4001GP,2w,1,3,
1N4001GP,2w,2,2,
1N4002,1aj,11,1,
1N4002,1hf,6,2,D1 C1 R1
1N4002,1hg,6,2,D1 C1 R1
1N4002,1hh,6,2,D1 C1 R1
1N4002,1hi,6,2,D1 R1 C1
1N4002,1hj,7,2,D1 R1 C1
1N4002,1hk,6,1,D1 C1 C2
1N4002G,1gz,2,2,
1N4003G,1gz,2,2,
1N4004,1im,13,1,
1N4004,1io,10,1,
1N4004,1ip,18,1,D101 D102 L201
1N4004G,1gz,2,2,
1N4005G,1gz,2,2,
1N4006G,1gz,2,2,
1N4007,17,1,1,C7 C6 R7
1N4007,1in,10,4,D1 D2 C58
1N4007,1is,16,4,D1 D2 D3
1N4007,1it,17,4,D1 D2 C58
1N4007,1it,18,4,D1 D2 D3
1N4007,24,1,1,
1N4007,2v,1,1,
1N4007G,1gz,1,1,
1N4007G,1gz,2,3,
1N4007G,1gz,3,1,
1N4007G,1gz,4,1,
1N4007G,1gz,5,1,
1N4007GP,10,1,1,
1N4007GP,2w,1,3,
1N4007GP,2w,2,2,
1N4148,1,1,1,
1N4148,10,1,1,
1N4148,17,1,4,U3 R9 C9
1N4148,19w,7,2,
1N4148,1ad,15,2,D1 U1A R5
1N4148,1ah,10,1,
1N4148,1e,1,3,D1 Q1
1N4148,1f,1,3,
1N4148,1h8,4,1,
1N4148,1hr,4,2,
1N4148,1hr,8,1,C16 R29 C23
1N4148,1hr,10,3,C9 C11 L2
1N4148,1ht,8,1,R29 C22 Q3
1N4148,1ij,17,1,D1 D2 D3
1N4148,1ik,16,1,D1 D2 D3
1N4148,1il,16,1,D1 D2 D3
1N4148,1in,10,2,D7 D6 D8
1N4148,1ip,15,1,D102 D101 D103
1N4148,1it,17,2,D7 D6 D8
1N4148,20,1,6,D3 D6 D4
1N4148,21,1,2,
1N4148,2e,1,1,
1N4148,3,1,1,
1N4148,6,1,1,
1N4148,7,1,1,
1N4148,d,1,1,
1N4148,e,1,1,
1N4148,lc,1,1,
1N4148WT,10,1,1,
1N4148WT,2y,1,4,
1N4148WT,2y,2,2,
1N4148WT,2y,3,2,
1N4148WT,2y,4,2,
1N4148WT,2y,5,2,
1N4148WT,2y,6,3,
1N4149,10,1,1,
1N4149,2z,1,3,
1N4150,10,1,1,
1N4150,30,1,2,
1N4150,30,2,1,
1N4151,10,1,1,
1N4151,31,1,3,
1N4152,10,1,1,
1N4152,32,1,3,
1N4153,10,1,1,
1N4153,33,1,3,
1N4153,33,2,3,
1N4154,10,1,1,
1N4154,34,1,1,
1N4305,10,1,1,
1N4305,35,1,3,
1N4370A,10,1,1,
1N4370A,36,1,4,
1N4370A,36,2,3,
1N4370A,36,3,2,
1N4371A,36,1,1,
1N4371A,36,2,1,
1N4372A,36,1,4,
1N4372A,36,2,3,
1N4372A,36,3,2,
1N4446,10,1,1,
1N4446,1ag,12,1,R4 R2
1N4446,37,1,3,
1N4448WT,2y,1,7,
1N4448WT,2y,2,2,
1N4448WT,2y,3,2,
1N4448WT,2y,4,2,
1N4448WT,2y,5,2,
1N4448WT,2y,6,3,
1N4454,10,1,1,
1N4454,38,1,3,
1N4454,38,2,1,
1N456A,10,1,1,
1N456A,39,1,3,
1N457,10,1,1,
1N457,1ax,18,1,D1 Q4 R2
1N457,1ax,22,3,Q2 C1 R4
1N457,3a,1,5,
1N457A,3a,1,4,
1N458A,10,1,1,
1N458A,3b,1,3,
1N459,10,1,1,
1N459,3c,1,4,
1N459A,3c,1,6,
1N4611,1ax,8,2,R1 R2
1N4611,1ax,9,2,D1 R1 R2
1N4728A,10,1,1,
1N4728A,3d,1,4,
1N4728A,3d,2,3,
1N4728A,3d,3,2,
1N4728A,3d,4,3,
1N4729A,3d,1,1,
1N4729A,3d,2,1,
1N4730A,3d,1,1,
1N4730A,3d,2,1,
1N4731A,3d,1,1,
1N4731A,3d,2,1,
1N4732A,3d,1,1,
1N4732A,3d,2,1,
1N4733A,3d,1,1,
1N4733A,3d,2,1,
1N4734A,3d,1,1,
1N4734A,3d,2,1,
1N4735A,3d,1,1,
1N4735A,3d,2,1,
1N4736A,3d,1,1,
1N4736A,3d,2,1,
1N4737A,3d,1,1,
1N4737A,3d,2,1,
1N4738A,3d,1,1,
1N4738A,3d,2,1,
1N4739A,3d,1,1,
1N4739A,3d,2,1,
1N4740A,3d,1,1,
1N4740A,3d,2,1,
1N4741A,3d,1,1,
1N4741A,3d,2,1,
1N4742A,3d,1,1,
1N4742A,3d,2,1,
1N4743A,3d,2,2,
1N4744,1ir,13,1,D103 R101
1N4744A,1io,11,1,
1N4744A,3d,2,2,
1N4745A,3d,2,2,
1N4746,1ij,17,1,ZD1 D4 D3
1N4746,1ik,16,1,ZD1 D3 D2
1N4746,1il,16,1,ZD1 D3 D2
1N4746A,3d,2,2,
1N4747A,1ht,8,2,D6 R3 C2
1N4747A,3d,2,2,
1N4748A,3d,2,2,
1N4749A,3d,2,2,
1N4750A,3d,2,2,
1N4751A,3d,2,2,
1N4752A,3d,2,2,
1N4753A,3d,2,2,
1N4754A,3d,2,2,
1N4755A,3d,2,2,
1N4756A,3d,2,2,
1N4757A,3d,2,2,
1N4758A,3d,1,3,
1N4758A,3d,2,4,
1N4758A,3d,3,2,
1N4758A,3d,4,3,
1N483B,10,1,1,
1N483B,3e,1,3,
1N483B,3e,2,3,
1N485B,10,1,1,
1N485B,3f,1,3,
1N486B,10,1,1,
1N486B,3g,1,3,
1N4933,10,1,1,
1N4933,3h,1,1,
1N4937,3h,1,1,
1N4938,10,1,1,
1N4938,3i,1,3,
1N5221B,10,1,1,
1N5221B,3j,1,4,
1N5221B,3j,2,3,
1N5221B,3j,3,2,
1N5221B,3j,4,3,
1N5222B,3j,1,1,
1N5222B,3j,2,1,
1N5223B,3j,1,1,
1N5223B,3j,2,1,
1N5224B,3j,1,1,
1N5224B,3j,2,1,
1N5225B,3j,1,1,
1N5225B,3j,2,1,
1N5226B,3j,1,1,
1N5226B,3j,2,1,
1N5227B,3j,1,1,
1N5227B,3j,2,1,
1N5228B,3j,1,1,
1N5228B,3j,2,1,
1N5229B,3j,1,1,
1N5229B,3j,2,1,
1N5230B,3j,1,1,
1N5230B,3j,2,1,
1N5231B,3j,1,1,
1N5231B,3j,2,1,
