part,doc,page,times,near
0B2,p,1,1,
0D3,78,1,1,
0D3,p,1,1,
1N21,l,1,1,
1N270,a,1,1,
1N270,n,1,1,
1N277,x,1,1,
1N32,x,1,1,
1N34,52,1,1,
1N34,53,1,1,
1N34,57,1,1,
1N34,a,1,1,
1N34,n,1,1,
1N34A,3t,3,2,D1 C1 Q1
1N34A,55,1,1,
1N34A,x,1,3,
1N400,4i,3,1,
1N4001,2b,1,1,
1N4001,2d,1,1,
1N4001,3v,6,2,D2 C3 D1
1N4001,3w,1,1,D2 R12 SW1
1N4001,6c,1,1,
1N4001,6p,1,1,
1N4001,7z,1,1,
1N4001,80,1,1,
1N4001,x,1,1,
1N4002,16,1,1,
1N4002,1g,1,1,
1N4002,2n,1,3,
1N4002,2o,1,1,
1N4002,3,1,1,
1N4002,5j,1,1,
1N4002,5q,1,1,
1N4002,5r,1,1,
1N4002,71,1,1,
1N4002,7s,1,2,
1N4002,7s,2,1,
1N4002,7w,1,1,
1N4002,7y,1,4,C1 R1
1N4002,8p,1,1,
1N4002,8r,1,2,
1N4002,8x,1,1,
1N4002,9s,1,1,
1N4002,f,1,1,
1N4003,6l,1,1,
1N4003,6m,1,1,
1N4003,6v,1,1,
1N4003,8j,1,1,
1N4003,9m,1,1,
1N4003,9o,1,1,
1N4003,9p,1,1,
1N4004,3v,6,2,D1 C3 D2
1N4004,7r,1,1,
1N4004,8f,1,1,
1N4004,97,1,1,
1N4004,9k,1,1,
1N4004,9q,1,1,
1N4004,9r,1,1,
1N4004,9z,1,1,
1N4005,aa,1,2,
1N4007,3u,5,2,D1 R4 R3
1N4007,3u,6,2,D2 C7 R3
1N4007,3v,6,1,IC1C IC1D
1N4007,49,1,1,D1 SW2 R5
1N4007,4z,1,2,
1N4007,9f,1,1,
1N4007,9k,1,1,
1N4007,9y,1,1,
1N4007,a8,1,2,
1N4007,a9,1,2,
1N4007,ac,1,2,
1N4007,af,1,4,
1N400X,3r,3,1,R6 T1
1N4148,16,1,1,
1N4148,19,1,3,
1N4148,1t,1,1,
1N4148,1u,1,2,IC2
1N4148,21,1,2,
1N4148,22,1,3,D1 V1 R13
1N4148,23,1,2,D1 Q3 R11
1N4148,24,1,7,R4 R2 R13
1N4148,2b,1,1,
1N4148,2d,1,1,
1N4148,2h,1,2,
1N4148,2n,1,4,
1N4148,2x,1,2,
1N4148,2z,1,2,
1N4148,3t,2,4,D1 R3 IC1C
1N4148,3t,3,6,D1 VR1 R2
1N4148,3u,6,2,D1 Q1 IC2
1N4148,3y,1,2,D1 R4 C5
1N4148,42,1,2,D2 D3 R17
1N4148,45,2,2,D1 SW1 IC3
1N4148,47,3,2,D1 C1 Q1
1N4148,4a,1,2,D1 SW1 C1
1N4148,4e,2,10,D4 D5 C4
1N4148,4g,7,10,D1 C1 D2
1N4148,4i,3,1,
1N4148,4p,1,1,
1N4148,4x,1,2,
1N4148,4y,1,2,
1N4148,5h,1,1,
1N4148,5i,1,3,D3 C5
1N4148,5j,1,1,
1N4148,7o,1,1,
1N4148,84,1,2,
1N4148,8a,1,1,
1N4148,a0,1,1,
1N4148,a1,1,1,
1N4149,84,1,1,
1N4150,bb,1,1,
1N4151,84,1,1,
1N4244,84,1,1,
1N4376,84,1,1,
1N4448,37,1,1,
1N4448,8,1,1,
1N4454,6b,1,1,
1N4454,x,1,2,
1N4715,4x,1,2,
1N4715,v,1,1,
1N4739,6c,1,2,
1N4739,8n,1,1,
1N4739,8o,1,1,
1N4742,8q,1,1,
1N4743,a2,1,1,
1N4744,8q,1,1,
1N4750,75,1,1,
1N4764,3u,5,1,D3 Q3 C4
1N4764,4z,1,1,
1N5273A,6t,1,1,
1N5282,84,1,1,
1N5290,56,1,1,
1N5290,57,1,1,
1N5442,84,3,5,
1N5442,84,4,1,
1N5711,18,1,1,
1N5711,27,1,1,
1N5711,28,1,1,
1N5711,29,1,2,
1N5711,2a,1,1,
1N5711,2j,1,1,
1N5711,2p,1,2,
1N5711,2x,1,1,
1N5711,2z,1,1,
1N5711,34,1,1,
1N5711,35,1,1,
1N5711,38,1,1,
1N5711,3a,1,1,
1N5711,3r,1,2,D1 C1 C2
1N5711,3s,1,1,D1 C1 C2
1N5711,3t,1,1,D1 C1 C2
1N5711,3u,1,1,D1 C1 C2
1N5711,3u,8,2,D2 C1 R1
1N5711,3v,1,1,D1 C1 C2
1N5711,3w,1,2,D1 R1 C1
1N5711,42,1,4,D1 C6 R6
1N5711,4n,4,1,
1N5711,4o,6,1,
1N5711,59,1,1,
1N5711,5a,1,1,
1N5711,62,1,1,
1N5711,6s,1,2,
1N5711,6v,1,1,
1N5711,6y,1,1,
1N5711,79,1,1,
1N5711,7p,1,1,
1N5711,84,1,2,
1N5711,84,3,4,
1N5711,85,2,1,
1N5711,a,1,3,
1N5711,a7,1,1,
1N5711,an,1,2,
1N5711,ao,1,2,
1N5711,as,1,1,
1N5711,ay,1,1,
1N5711,b0,1,2,
1N5711,bm,1,1,
1N5711,bo,1,1,
1N5711,j,1,1,
1N5711,k,1,1,
1N5711,x,1,2,
1N5711,y,1,2,
1N5712,84,1,1,
1N5818,1e,1,1,
1N5818,3,1,1,
1N5818,3v,7,2,R5 IC1
1N5818,42,2,4,C3 C2 SW1
1N5818,45,6,4,C1 C2 C3
1N5818,4g,5,6,R3 SW1
1N5818,4g,6,6,R3 R2 R1
1N5818,6q,1,1,
1N5819,3v,6,2,D1 D2 C4
1N60,3d,1,1,
1N60,a,1,3,
1N60,n,1,1,
1N60,x,1,1,
1N6263,5c,1,1,D1 L1 C1
1N6263,y,1,1,
1N750,1e,1,1,
1N750,3,1,1,
1N750,87,4,2,
1N750A,3,1,1,
1N750A,9e,1,1,
1N751,7k,1,1,
1N753,7k,1,1,
1N914,1j,1,1,
1N914,1k,1,1,
1N914,1l,1,1,
1N914,1w,1,2,
1N914,1y,1,1,
1N914,1z,1,1,
1N914,20,1,1,
1N914,3f,1,1,
1N914,3h,1,1,
1N914,3l,1,1,
1N914,3m,1,1,
1N914,3p,1,1,
1N914,3s,3,2,D1 R1 R2
1N914,3s,4,6,D2 R3 R2
1N914,3t,4,4,D1 R2 R1
1N914,3u,4,2,D1 R5 R9
1N914,3u,5,2,D1 D2 C6
1N914,3u,7,2,D1 R16 C13
1N914,3u,8,2,D1 C2 VR1
1N914,3v,3,2,D2 C7 D1
1N914,3x,1,6,D1 C4 R3
1N914,3z,1,4,D1 C4 R6
1N914,41,1,4,D1 C4 R6
1N914,43,1,4,D1 D2 R7
1N914,45,1,6,D1 D2 R5
1N914,4g,5,1,D1 R21 R22
1N914,4g,6,1,D1 IC6 R21
1N914,4t,1,1,
1N914,5c,1,2,D2 D3 R16
1N914,69,1,2,
1N914,6b,1,1,
1N914,6i,1,2,
1N914,6t,1,1,
1N914,6v,1,1,
1N914,6x,1,1,
1N914,6y,1,1,
1N914,74,1,1,
1N914,79,1,1,
1N914,7s,1,1,
1N914,7s,2,1,
1N914,84,1,2,
1N914,84,3,3,
1N914,8e,1,2,
1N914,8g,1,4,
1N914,8h,1,2,
1N914,8m,1,1,
1N914,8v,1,2,
1N914,8x,1,1,
1N914,91,1,2,
1N914,9f,1,1,
1N914,9u,1,1,
1N914,9y,1,1,
1N914,a,1,1,
1N914,a0,1,1,
1N914,a1,1,1,
1N914,ab,1,1,
1N914,ac,1,1,
1N914,ao,1,1,
1N914,ap,1,1,
1N914,as,1,1,
1N914,at,1,1,
1N914,aw,1,3,
1N914,ax,1,2,
1N914,az,1,2,
1N914,b1,1,2,
1N914,b5,1,1,
1N914,b7,1,2,
1N914,bb,1,1,
1N914,be,1,1,
1N914,bm,1,1,
1N914,o,1,1,
1N914,x,1,1,
1N914B,6b,1,1,
1N914B,m,1,1,
1N916,84,1,1,
1N959,4t,1,1,
1S4,78,1,1,
2N2219,8,1,1,
2N2219A,3w,1,1,Q4 R9 C8
2N2219A,5a,1,1,
2N2219A,n,1,1,
2N2219A,y,1,1,
2N2222,15,1,1,
2N2222,2c,1,2,
2N2222,3t,5,2,Q2 R5 C2
2N2222,6u,1,1,
2N2222,76,1,1,
2N2222,9l,1,1,
2N2222,ak,1,1,
2N2222,al,1,1,
2N2222,am,1,1,
2N2222,x,1,1,
2N2222A,5s,1,1,
2N2322A,a7,1,1,
2N2369,r,1,1,
2N2484,g,1,1,
2N2905,70,1,1,
2N2906,76,1,1,
2N3055,5y,1,1,
2N3055,6d,1,1,
2N3055,7g,1,1,
2N3055,7h,1,1,
2N3055,8s,1,1,
2N3055,8t,1,1,
2N3440,6t,1,1,
2N3440,ag,1,1,
2N3819,3s,2,1,Q1 R1 R2
2N3819,44,1,4,Q1 Q2 R1
2N3819,45,3,4,Q1 Q2 R1
2N3819,4f,1,2,Q1 R3 C1
2N3819,7b,1,1,
2N3821,v,1,1,
2N3824,v,1,1,
2N3904,0,1,1,
2N3904,10,1,1,
2N3904,14,1,4,Q2 R1 Q4
2N3904,22,1,1,Q1 R2 R11
2N3904,23,1,2,Q3 D1 R11
2N3904,26,1,4,Q4 C4
2N3904,2u,1,1,
2N3904,3t,5,8,Q2 C2 C3
2N3904,3t,6,2,Q1 R2 R1
2N3904,3v,4,4,Q1 C1 Q2
2N3904,55,1,1,
2N3904,5f,1,1,Q3
2N3904,5g,1,3,R1 R4 C1
2N3904,5t,1,1,
2N3904,6g,1,1,
2N3904,6t,1,1,
2N3904,6u,1,1,
2N3904,72,1,1,
2N3904,74,1,1,
2N3904,9l,1,1,
2N3904,b2,1,1,
2N3904,i,1,4,
2N3904,n,1,1,
2N3904,o,1,1,
2N3906,26,1,1,Q1
2N3906,2t,1,1,
2N3906,2v,1,1,
2N3906,3t,6,2,Q2 R2 C1
2N3906,5h,1,2,Q3
2N3906,6b,1,1,
2N3906,6g,1,1,
2N3906,n,1,1,
2N3906,o,1,1,
2N3908,22,1,1,Q2 C8 R10
2N3918,3s,2,2,Q1 R1 R2
2N401,4i,3,4,Q3 R29 R31
2N401,4i,7,4,Q1 R10 R23
2N401,5c,1,1,T1 C4 R3
2N4117,0,1,2,
2N4117,2q,1,1,
2N4117,6t,1,2,
