part,doc,page,times,near
12AT7,4,1,3,R6 R31 P4
12AT7,6,1,2,R144 R162 R52
12AT7,6,2,4,R138 C71 R130
12AT7,7,3,2,V4A R372 R319
12AT7,9,1,1,V3
12AT7,b,1,1,
12AT7,b,2,1,
12AT7,k,1,2,C13 C13 R25
12AX7,0,1,5,R4 R9 V3A
12AX7,0,2,1,C34 R45 V3B
12AX7,13,1,1,
12AX7,13,2,1,
12AX7,14,1,1,
12AX7,14,2,1,
12AX7,15,1,1,
12AX7,15,2,1,
12AX7,16,2,1,
12AX7,17,2,1,
12AX7,18,1,1,
12AX7,18,2,1,
12AX7,19,1,2,
12AX7,19,2,1,
12AX7,1a,1,2,
12AX7,1a,2,1,
12AX7,1e,1,1,
12AX7,1f,1,1,
12AX7,1f,2,1,
12AX7,1g,1,1,
12AX7,1g,2,1,
12AX7,1h,1,1,
12AX7,1h,2,1,
12AX7,1j,1,2,
12AX7,1j,2,2,
12AX7,1l,1,3,
12AX7,1l,2,2,
12AX7,1l,3,3,
12AX7,1l,4,3,T025
12AX7,1o,1,1,
12AX7,1p,1,1,
12AX7,1p,2,1,
12AX7,1q,1,1,
12AX7,1q,2,2,
12AX7,1r,1,1,
12AX7,1r,2,1,
12AX7,1s,1,2,
12AX7,1s,2,2,
12AX7,1u,1,2,
12AX7,1u,2,2,
12AX7,1v,1,2,
12AX7,1v,2,2,
12AX7,1w,1,2,
12AX7,1w,2,4,
12AX7,1x,1,3,
12AX7,1x,2,4,
12AX7,1y,1,2,
12AX7,1y,2,2,
12AX7,2,2,1,
12AX7,2,10,2,
12AX7,2,11,2,
12AX7,2,12,1,
12AX7,2,14,1,
12AX7,2,16,1,
12AX7,20,1,1,
12AX7,20,2,1,
12AX7,21,1,2,
12AX7,22,1,1,
12AX7,22,2,1,
12AX7,23,1,1,
12AX7,23,2,2,
12AX7,24,1,1,
12AX7,24,2,2,
12AX7,26,1,2,
12AX7,26,2,2,
12AX7,27,1,2,
12AX7,27,2,2,
12AX7,28,1,2,
12AX7,28,2,2,
12AX7,29,1,1,
12AX7,29,2,2,
12AX7,2a,1,4,
12AX7,2a,2,3,
12AX7,2b,1,2,
12AX7,2b,2,2,
12AX7,2c,1,2,
12AX7,2c,2,2,
12AX7,2c,3,2,
12AX7,2c,5,1,
12AX7,c,2,1,R46 S6 R62
