part,doc,page,times,near
12AT7,0,1,3,
12AT7,12,1,1,
12AT7,1i,3,1,
12AT7,1o,10,2,
12AT7,1o,12,2,
12AT7,1o,13,2,
12AT7,1o,14,4,
12AT7,2d,1,2,
12AT7,4,1,1,
12AT7,5,1,1,
12AT7,5w,1,2,
12AT7,5z,1,2,
12AT7,ad,1,1,
12AT7,af,1,1,
12AT7,ag,1,1,
12AT7,ak,1,1,
12AT7,an,1,1,
12AT7,ao,1,1,
12AT7,aq,1,2,
12AT7,au,1,2,
12AT7,ax,1,1,
12AT7,az,1,1,
12AT7,b0,1,1,
12AT7,b3,1,1,
12AT7,b6,1,1,
12AT7,bf,1,1,
12AT7,bm,1,5,
12AT7,by,1,1,
12AT7,c6,1,1,
12AT7,cg,4,1,
12AT7,cg,9,2,J7 J8 R2
12AT7,cg,10,2,J7 J8 R6
12AT7,cg,12,2,
12AT7,d,1,1,
12AT7,e,1,1,
12AT7,e0,1,4,
12AT7,e2,1,4,
12AT7,eq,1,2,
12AT7,ex,1,2,
12AT7,f,1,1,
12AT7,fh,1,1,
12AT7,gd,4,1,
12AT7,gd,9,2,J7 J8 R2
12AT7,gd,10,2,J7 J8 R6
12AT7,gd,12,2,
12AT7,gm,1,4,
12AT7,gx,1,2,
12AT7,h,1,1,
12AT7,hr,1,2,
12AT7,hs,1,2,
12AT7,i,1,1,
12AT7,io,1,2,
12AT7,ip,1,2,
12AT7,iq,1,1,
12AT7,jn,1,1,
12AT7,m,1,2,
12AT7,y,7,1,
12AU7,0,1,22,
12AU7,12,1,1,
12AU7,1i,3,1,
12AU7,1j,11,1,
12AU7,1j,26,3,
12AU7,1j,27,2,
12AU7,1p,2,2,
12AU7,1r,16,4,
12AU7,1r,17,3,
12AU7,1x,1,1,V2
12AU7,1z,1,1,V2
12AU7,2,1,1,
12AU7,3a,1,1,
12AU7,3b,1,2,
12AU7,3c,1,2,
12AU7,4,1,5,
12AU7,4u,1,3,
12AU7,4v,1,1,
