part,doc,page,times,near
12AT7,10,1,1,
12AT7,13,1,1,
12AT7,17,1,1,
12AT7,18,1,5,
12AT7,1o,5,1,
12AT7,1r,1,1,
12AT7,29,8,1,
12AT7,29,11,1,
12AT7,2d,1,1,
12AT7,2v,1,1,
12AT7,2w,1,1,
12AT7,2x,1,2,
12AT7,3a,5,1,
12AT7,3b,10,1,
12AT7,4e,1,2,V1 C23 R23
12AT7,4e,2,3,V2 C24 C25
12AT7,9,1,2,
12AT7,a,1,1,
12AT7,g,1,1,
12AT7,k,1,1,
12AT7,l,1,5,
12AT7WA,29,15,1,
12AU7,10,1,1,
12AU7,13,1,1,
12AU7,14,1,1,
12AU7,17,1,1,
12AU7,1d,1,1,
12AU7,1k,8,1,
12AU7,1o,5,1,
12AU7,1p,1,1,
12AU7,1r,1,1,
12AU7,1w,1,1,
12AU7,24,1,1,
12AU7,25,1,1,
12AU7,29,14,1,
12AU7,3,1,1,
12AU7,3a,5,1,
12AU7,3b,10,1,
12AU7,4d,2,2,
12AU7,4e,1,2,
12AU7,4e,2,3,
12AU7,9,1,1,
12AU7,g,1,1,
12AU7,i,1,1,
12AU7,l,1,1,
12AU7,o,1,1,
12AU7A,18,1,4,
12AU7WA,29,15,1,
12AV7,10,1,1,
12AX7,1,1,1,
12AX7,10,1,1,
12AX7,13,1,1,
12AX7,14,1,3,
12AX7,17,1,1,
12AX7,1e,1,1,
12AX7,1k,5,1,
12AX7,1k,8,1,
12AX7,1o,5,1,
12AX7,1p,2,1,
12AX7,1r,1,3,
12AX7,1r,4,1,
12AX7,1r,5,2,
12AX7,1r,23,1,
12AX7,1r,31,1,
12AX7,1r,34,1,
12AX7,1s,1,1,
12AX7,1t,1,1,
12AX7,2,1,1,
12AX7,20,1,1,
12AX7,29,14,1,
12AX7,2a,1,1,
12AX7,2l,1,3,
12AX7,2r,5,1,
12AX7,2s,1,1,
12AX7,2u,1,1,
12AX7,2y,1,1,
12AX7,3,1,1,
12AX7,36,1,1,
12AX7,36,2,1,
12AX7,36,4,1,
12AX7,36,13,1,
12AX7,36,14,2,
12AX7,36,16,1,
12AX7,38,1,2,R10
12AX7,3a,5,1,
12AX7,3b,5,1,
12AX7,3b,10,1,
12AX7,4,1,1,
12AX7,4d,3,1,
12AX7,4e,1,2,
12AX7,4e,2,3,
12AX7,6,1,1,
12AX7,7,1,1,
12AX7,8,1,1,
12AX7,9,1,1,
12AX7,a,1,1,
12AX7,e,1,2,
12AX7,g,1,2,
12AX7,j,1,3,
12AX7,k,1,2,
12AX7,o,1,1,
12AX7A,18,1,4,
12AX7A,1r,1,1,
12AX7LPS,29,15,1,
12AY7,10,1,1,
12AY7,17,1,8,
12AY7,1r,1,1,
12AY7,2f,1,1,
12AY7,2g,1,1,
12AY7,9,1,1,
12AY7,a,1,2,
12AY7,g,1,1,
12AY7Q,17,1,1,
12BH7A,18,1,5,
12DW7,10,1,1,
12DW7,18,1,2,
1N34A,3q,4,2,Q1
1N34A,3q,7,2,C2 R3 C3
1N34A,3q,10,1,R12 C4 R35
1N34A,3q,11,1,D3 IC1 D2
1N4001,1l,7,1,
1N4001,2z,1,2,
1N4001,3b,11,1,
1N4001,3j,3,1,D5 C9 R4
1N4001,3j,5,1,
1N4001,3j,8,2,D1
1N4001,3j,11,1,J112 D1 D2
1N4001,3k,1,1,C9
1N4001,3m,1,2,D2 C22 R12
1N4001,3m,4,1,D2 D1 C24
1N4001,3n,1,1,
1N4001,3p,1,1,
1N4001,3q,9,1,D1 D2 IC1
1N4001,3q,11,1,D1 D2 D3
1N4001,3q,13,1,D1 D2 IC1
1N4001,3q,15,1,D1 D2 D3
1N4001,3r,3,2,D2 D2 C15
1N4001,3r,6,1,
1N4001,3s,1,1,
1N4001,3t,1,2,R1 R11 C2
1N4001,3t,3,1,D1 D2 D3
1N4001,3w,1,1,D1 R1
1N4001,3x,1,1,C13 C14 R12
1N4001,4b,1,1,D1 C1
1N4001,4c,1,1,D1 C1 C4
1N4001,4p,1,2,D4 R12 R19
1N4001,4p,3,1,D4 D3 D5
1N4001,4q,2,1,D4 C6 C1
1N4001,4q,4,1,
1N4001,4q,6,1,D4 D6 IC1
1N4001,4r,1,2,D4 C6 R12
1N4001,4r,3,1,D4 D5 D3
1N4004,3b,11,1,
1N4007,1a,1,1,
1N4007,1c,1,1,
1N4007,1d,1,1,
1N4007,1e,1,1,
1N4007,1f,1,1,
1N4007,1y,1,1,
1N4007,21,1,1,
1N4007,22,1,1,
1N4007,2c,1,1,
1N4007,2o,1,1,D2
1N4007,2p,1,1,D1
1N4007,36,8,4,D8 R16 C7
1N4007,37,1,1,D1 R10 R8
1N4007,37,2,2,R10 R4 R12
1N4007,37,3,2,D2 D4 D3
1N4007,37,4,1,D1 C10 C9
1N4007,37,5,6,D1 D2 D3
1N4007,3b,11,1,
1N4007,3d,1,2,D15 R56
1N4007,3e,1,6,D17 D18 C20
1N4007,3g,1,6,D7 R12 Q1
1N4007,3h,1,6,D14 R37 Q4
1N4007,3i,2,6,D7 R12 Q1
1N4007,3i,3,6,D14 R37 Q4
1N4007,3i,4,2,D15 R56
1N4007,3i,5,6,D17 D18 C20
1N4007,4,1,1,
1N4007,4e,1,2,D22 D21 D23
1N4007,4i,1,4,C1 D3
1N4007,4j,1,4,D4 D2 C1
1N4007,4k,1,2,D8 R16 C7
1N4007,4l,1,2,D8 R16 C7
1N4007,4m,1,2,D18 R16 C7
1N4007,d,1,6,
1N4007,g,1,1,
1N4148,1l,3,1,
1N4148,1l,8,1,
1N4148,1l,15,1,
1N4148,2n,1,1,
1N4148,2q,1,1,
1N4148,3j,3,1,D3 R6 D4
1N4148,3j,5,1,
1N4148,3j,8,1,D12 D12 C8
1N4148,3j,9,1,D5 R16 C10
1N4148,3j,11,1,D2
1N4148,3k,1,1,D2 R12 Q3
