part,doc,page,times,near
12AT7,10,1,1,
12AT7,11,1,1,
12AT7,12,1,1,
12AT7,13,1,1,
12AT7,14,1,1,V3
12AT7,15,1,1,
12AT7,16,1,1,
12AT7,17,1,1,
12AT7,19,1,1,
12AT7,1a,1,1,
12AT7,1b,1,1,
12AT7,1c,1,1,
12AT7,1r,1,1,
12AT7,1s,1,1,
12AT7,1t,1,1,
12AT7,1u,1,1,
12AT7,25,1,2,V6 V7
12AT7,26,1,1,
12AT7,27,1,1,
12AT7,28,1,1,
12AT7,29,1,1,
12AT7,2a,1,2,
12AT7,2b,1,2,
12AT7,2c,1,2,
12AT7,2d,1,2,
12AT7,2e,1,2,V6
12AT7,2f,1,2,V6
12AT7,2y,1,1,
12AT7,2z,1,1,TR3 L5
12AT7,32,1,1,
12AT7,33,1,1,TR3
12AT7,3j,1,2,
12AT7,3k,1,2,
12AT7,3l,1,2,
12AT7,3m,1,2,
12AT7,3n,1,2,
12AT7,3o,1,2,V6
12AT7,3p,1,1,
12AT7,3q,1,1,
12AT7,3r,1,1,
12AT7,3s,1,1,
12AT7,3t,1,2,
12AT7,3u,1,2,
12AT7,3v,1,1,
12AT7,3w,1,1,
12AT7,3x,1,2,V5
12AT7,3y,1,2,V6
12AT7,3z,1,2,
12AT7,40,1,2,
12AT7,44,1,2,
12AT7,45,1,2,
12AT7,46,1,1,
12AT7,47,1,1,
12AT7,48,1,1,
12AT7,49,1,1,
12AT7,4o,1,2,
12AT7,4p,1,2,
12AT7,4q,1,2,
12AT7,4r,1,2,
12AT7,4s,1,2,
12AT7,4t,1,2,
12AT7,4u,1,2,
12AT7,4v,1,2,
12AT7,4w,1,2,
12AT7,4x,1,2,
12AT7,58,1,1,
12AT7,59,1,1,
12AT7,5a,1,1,
12AT7,5b,1,1,
12AT7,5p,1,2,
12AT7,5q,1,2,
12AT7,5r,1,2,
12AT7,5s,1,2,
12AT7,5t,1,2,
12AT7,5u,1,2,
12AT7,5v,1,2,
12AT7,5w,1,2,
12AT7,6,1,1,
12AT7,65,1,2,
12AT7,66,1,2,
12AT7,67,1,2,
12AT7,68,1,2,
12AT7,69,1,1,
12AT7,6a,1,1,
12AT7,6b,1,1,
12AT7,6c,1,1,
12AT7,6d,1,2,
12AT7,6e,1,2,
12AT7,6j,1,1,
12AT7,6k,1,2,
12AT7,6l,1,2,
12AT7,6m,1,2,
12AT7,6n,1,1,
12AT7,6o,1,1,
12AT7,7,1,1,
12AT7,8,1,2,
12AT7,9,1,2,
12AT7,a,1,2,
12AT7,b,1,2,
12AT7,c,1,2,
12AT7,d,1,2,
12AT7,e,1,1,
12AT7,f,1,1,
12AT7,g,1,1,
12AT7,h,1,1,
12AT7,i,1,1,
12AT7,x,1,1,V4
12AT7,y,1,1,V3
12AT7,z,1,1,V3
12AX7,0,1,2,
12AX7,1,1,1,
12AX7,1d,1,2,
12AX7,1e,1,1,
12AX7,1h,1,1,
12AX7,1i,1,1,
12AX7,1j,1,1,
12AX7,1k,1,1,
12AX7,1l,1,1,
12AX7,1n,1,2,
12AX7,1o,1,1,
12AX7,1p,1,2,
12AX7,1q,1,2,
12AX7,1r,1,1,
12AX7,1s,1,1,
12AX7,1t,1,1,
12AX7,1u,1,1,
12AX7,1z,1,1,
12AX7,20,1,1,
12AX7,21,1,1,
12AX7,22,1,1,
12AX7,23,1,2,
12AX7,24,1,2,
12AX7,26,1,1,
12AX7,27,1,1,
12AX7,28,1,1,
12AX7,29,1,1,
12AX7,2a,1,1,
12AX7,2b,1,1,C2
12AX7,2c,1,1,
12AX7,2d,1,1,T450
12AX7,2e,1,1,V4 V6
12AX7,2g,1,1,
12AX7,2i,1,1,
12AX7,2j,1,2,
12AX7,2m,1,1,
12AX7,2n,1,2,
12AX7,2o,1,1,
12AX7,2p,1,1,
12AX7,2q,1,1,
12AX7,2r,1,1,
12AX7,2s,1,1,
12AX7,2t,1,2,
12AX7,2u,1,1,
12AX7,2v,1,1,
12AX7,2w,1,1,
12AX7,2x,1,1,
12AX7,2y,1,2,
12AX7,30,1,1,
12AX7,32,1,2,
