part,doc,page,times,near
1N34A,h,1,1,
1N4000,f,1,1,
1N4001,19,1,2,
1N4148,1f,1,1,
1N4148,f,1,1,
1N4148,n,1,1,
1N60,h,1,2,
1N914,1d,1,1,
1N914,f,1,1,
1N9148,f,1,1,
2N2222,d,1,2,
2N2222,e,1,1,
2N2222,f,1,1,
2N2222,k,1,2,
2N2222,r,1,1,
2N2222A,p,1,1,
2N3053,16,1,1,
2N3053,d,1,1,
2N3053,e,1,1,
2N3553,d,1,1,
2N3553,e,1,1,
2N3819,k,1,1,
2N3819,t,1,1,
2N3866,d,1,1,
2N3866,e,1,1,
2N3904,d,1,1,
2N3904,e,1,1,
2N3904,f,1,1,
2N3904,k,1,2,
2N3904,r,1,1,
2N3906,f,1,1,
2N4427,d,1,1,
2N5458,1d,1,2,
3000KM,1,1,3,
3000KM,2,1,1,
3000KM,8,1,1,
3000KM,9,1,1,
3000KM,c,1,2,
3000KM,d,1,1,
3000MM,1g,1,1,
6AU6,14,1,2,
BC108,1b,1,1,
BC108,r,1,1,
BC548,10,1,1,
BC548,11,1,1,
BC548,15,1,2,
BC548,17,1,1,
BC548,1a,1,2,
BC548,1e,1,2,
BC548,d,1,1,
BC548,f,1,1,
BC548,k,1,5,
BC548,p,1,5,
BC548,t,1,2,
BC548,x,1,1,
BC548,y,1,2,
BC548,z,1,1,
BC558,f,1,1,
BC640,13,1,1,
BCS48,16,1,1,
BCS58,17,1,1,
BD139,16,1,1,
BD139,d,1,2,
BD139,e,1,1,
BD139,f,1,1,
BD139,m,1,1,
BD139,o,1,1,
BD139,p,1,1,
BD140,4,1,1,
BD140,f,1,1,
BF981,11,1,1,
BF981,12,1,1,L3
BFY51,d,1,1,
IRF510,a,1,1,
IRF510,d,1,2,
IRF510,e,1,1,
LM317,19,1,1,
LM317,5,1,1,
LM317T,19,1,1,
LM386,0,1,1,
LM386,3,1,1,
LM386,6,1,1,
LM386,7,1,1,
LM386,b,1,1,
LM386,e,1,1,
LM386,f,1,1,
LM386,g,1,10,
LM386,i,1,1,
LM386,k,1,1,
LM386,o,1,6,
LM386,p,1,3,
LM386,q,1,1,
LM386,x,1,1,
LM386,y,1,2,
MC1496,d,1,1,
MPF102,1c,1,1,
MPF102,k,1,2,
MPF102,l,1,1,
MPF102,t,1,2,
MPF102,u,1,1,
MPF102,w,1,1,
MPF102,x,1,1,
MPF102,y,1,2,
NE555,18,1,1,
NE555,1b,1,1,
OA47,r,1,1,
OA90,s,1,1,
OA90,v,1,1,
OA91,r,1,1,
OA91,s,1,1,
OA91,v,1,1,
OA95,10,1,2,
OA95,r,1,1,
OA95,s,1,2,
OA95,v,1,2,
TL431,0,1,1,
TL431,j,1,1,
