part,doc,page,times,near
0B2,fj,9,1,V8 R40 C15
0B2,mv,21,2,
0B2,q6,50,1,J1
0B2C,lo,60,1,D300 D304
0B2E,lo,60,1,D300 D304
0D3,5d,102,1,
0D3,d1,57,1,
12AH7,b0,95,1,
12AH7,cn,189,1,
12AH7,d9,40,1,
12AH7GT,ec,263,1,
12AH7GT,ed,235,1,
12AT7,2p,31,1,
12AT7,2r,26,1,
12AT7,5d,148,1,
12AT7,b4,17,1,
12AT7,b5,85,1,
12AT7,bd,16,1,
12AT7,bm,42,1,
12AT7,bq,28,2,
12AT7,bt,11,1,
12AT7,bt,12,4,
12AT7,bu,25,1,R17
12AT7,c3,31,1,
12AT7,c3,32,2,C6 R2
12AT7,c3,33,1,
12AT7,ca,131,1,
12AT7,cd,67,1,
12AT7,ce,76,1,U78 D77 L77
12AT7,cg,28,6,
12AT7,ch,7,1,
12AT7,ci,16,1,
12AT7,cj,139,2,
12AT7,ck,14,2,
12AT7,ck,15,1,
12AT7,ck,129,2,
12AT7,cl,24,2,
12AT7,cl,129,2,
12AT7,cm,129,2,
12AT7,cn,26,1,
12AT7,cn,123,3,
12AT7,co,157,2,
12AT7,cp,161,3,
12AT7,cq,52,1,
12AT7,cr,127,1,
12AT7,ct,46,1,
12AT7,cw,20,1,
12AT7,cw,22,1,
12AT7,cy,49,1,V7
12AT7,d0,95,1,
12AT7,d1,57,1,
12AT7,d2,66,1,
12AT7,d4,12,1,
12AT7,d4,13,3,
12AT7,d4,15,3,V1b V2 V3
12AT7,d4,16,3,
12AT7,d4,153,1,R17 R18
12AT7,d7,46,1,
12AT7,d8,121,1,R17 R18
12AT7,d9,39,4,
12AT7,da,31,1,
12AT7,da,34,1,
12AT7,db,161,1,R17
12AT7,de,153,1,R17 R18
12AT7,dg,12,1,R23 C12 C10
12AT7,dj,153,1,R17 R18
12AT7,dk,12,1,
12AT7,dk,14,2,
12AT7,dl,25,2,R2 R1
12AT7,dl,26,1,
12AT7,dl,27,1,
12AT7,dl,29,2,V2 V4 V3
12AT7,dr,29,3,
12AT7,dr,31,1,
12AT7,du,34,1,
12AT7,dv,15,2,
12AT7,dy,48,1,
12AT7,e4,102,1,
12AT7,e6,40,2,D9 D13 D12
12AT7,e6,41,4,V2A D15 D19
12AT7,ea,142,1,
12AT7,ee,30,3,
12AT7,ej,41,1,
12AT7,eo,49,1,
12AT7,eq,26,1,
12AT7,et,42,1,
12AT7,et,73,1,
12AT7,ev,21,2,
12AT7,ev,22,2,V2 V1
12AT7,ew,30,1,
12AT7,fc,26,1,V1 V2
12AT7,fc,27,2,
12AT7,fh,6,1,C16
12AT7,fh,8,1,V2 VR2 R18
12AT7,fi,13,1,V2 V1
12AT7,fq,49,1,
12AT7,fq,50,3,V2 C3 C2
12AT7,fq,51,1,
12AT7,gs,16,2,V7a VR2 C32
12AT7,gs,17,3,V2
12AT7,hv,8,2,
12AT7,iq,99,1,
12AU7,1z,33,2,
12AU7,5d,148,1,
12AU7,b5,85,1,
12AU7,bj,34,1,
12AU7,bu,25,1,R17
12AU7,cd,67,1,
12AU7,cr,127,1,
12AU7,cs,23,3,
12AU7,cs,45,2,V14 V15 V13
12AU7,cv,41,2,
12AU7,cx,51,2,
12AU7,cx,52,4,
12AU7,d1,56,1,
12AU7,d4,15,4,V3 V2 V1b
12AU7,d4,26,1,
12AU7,d4,153,1,R17 R18
12AU7,d8,121,1,R17 R18
12AU7,d9,39,3,
12AU7,db,161,1,R17
12AU7,de,153,1,R17 R18
12AU7,dh,12,1,R20 R17 C10
12AU7,dj,153,1,R17 R18
12AU7,dy,37,1,
12AU7,e4,102,1,
12AU7,ea,142,1,
12AU7,ea,225,1,
12AU7,ed,42,1,SW18
12AU7,eg,170,1,D01
12AU7,ej,40,1,
