part,doc,page,times,near
1N41,7b,1,2,R9 R12 R17
1N414,29,1,3,D6 Q1 D5
1N4148,0,1,1,
1N4148,1,1,1,
1N4148,10,1,1,
1N4148,11,1,1,
1N4148,13,1,1,
1N4148,14,1,1,
1N4148,15,1,1,
1N4148,16,1,1,
1N4148,17,1,1,
1N4148,1b,1,1,
1N4148,1c,1,1,
1N4148,1d,1,1,
1N4148,1e,1,1,
1N4148,1f,1,1,
1N4148,1g,1,1,
1N4148,1h,1,1,
1N4148,1i,1,1,
1N4148,1j,1,1,
1N4148,1k,1,1,
1N4148,1l,1,1,
1N4148,1m,1,1,
1N4148,1n,1,1,
1N4148,1o,1,1,
1N4148,1q,1,1,
1N4148,1r,1,1,
1N4148,1s,1,1,
1N4148,2,1,2,
1N4148,23,1,8,T1 R12 R13
1N4148,2a,1,8,D1 D2 T1
1N4148,2b,1,1,D8 D7 C5
1N4148,2c,1,1,D8 D7 C4
1N4148,2e,1,1,D8 D7 C5
1N4148,2h,1,1,D8 D7 C4
1N4148,2z,1,2,C8 D3 D2
1N4148,30,1,2,C8 D3 D4
1N4148,35,1,2,D1 C8 D3
1N4148,38,1,1,R67 D2
1N4148,3h,1,6,C11 D1 R20
1N4148,3p,1,6,C11 D1 R20
1N4148,3t,1,3,R4 U1 C22
1N4148,3x,1,3,D1 R4 U1
1N4148,41,1,3,D1 R4 U1
1N4148,47,1,1,D2 R9 R8
1N4148,48,1,4,D1 U3b R21
1N4148,49,1,4,D1 U2a R11
1N4148,4c,1,4,D1 U2a R11
1N4148,4e,1,2,R14 R14 C7
1N4148,4f,1,2,R14 R14 C7
1N4148,4i,1,2,R3 D1 C3
1N4148,4j,1,7,P1 SW1 C3
1N4148,4n,1,8,D2 D1 SW1
1N4148,5,1,1,
1N4148,52,1,8,D4 T1 R15
1N4148,53,1,4,T1 R12 U2a
1N4148,57,1,8,D4 T1 R15
1N4148,58,1,1,P1 D1 R5
1N4148,5b,1,1,R13 U1b J4a
1N4148,5f,1,1,R13 U1b J4a
1N4148,5h,1,4,D2 R10 R10
1N4148,5k,1,4,D2 R10 U1a
1N4148,5n,1,4,D3 R17 J2b
1N4148,5p,1,4,D3 R17 C5
1N4148,5q,1,1,R4 R3 Q1
1N4148,5s,1,1,
1N4148,5t,1,1,R4 D1 R3
1N4148,5v,1,13,D2 R12 R11
1N4148,5w,1,16,D4 D5 R9
1N4148,5z,1,16,D4 D5 R9
1N4148,6,1,1,
1N4148,60,1,10,D4 R15 U1b
1N4148,62,1,10,D4 R15 U1
1N4148,66,1,13,D2 R12 R11
1N4148,68,1,3,D3 D28 U4
1N4148,69,1,1,D6 D15 R23
1N4148,6a,1,1,D6 D15 R23
1N4148,6b,1,3,D3 D28 U4
1N4148,6f,1,4,D1 U3b R21
1N4148,6j,1,4,D1 U3b R21
1N4148,6k,1,4,D1 IC3b R21
1N4148,6n,1,4,D1 IC3 R21
1N4148,6o,1,6,C11 R20 R20
1N4148,6q,1,1,
1N4148,6t,1,1,
1N4148,6u,1,1,
1N4148,74,1,3,
1N4148,79,1,2,D3 R12 R18
1N4148,7a,1,5,D1 D2 R14
1N4148,7d,1,2,D4 D3 R12
1N4148,7f,1,4,D4 D3 R12
1N4148,7g,1,5,D1 D2 R14
1N4148,7i,1,4,D1 D2 R14
1N4148,7k,2,1,IC1 R8
1N4148,7l,1,3,
1N4148,7m,1,5,
1N4148,7o,1,4,
1N4148,8,1,1,
1N4148,9,1,1,
1N4148,b,1,1,
1N4148,c,1,1,
1N4148,d,1,1,
1N4148,g,1,1,
1N4148,h,1,1,
1N4148,i,1,1,
1N4148,j,1,1,
1N4148,k,1,1,
1N4148,l,1,1,
1N4148,m,1,1,
1N4148,n,1,1,
1N4148,o,1,1,
1N4148,p,1,1,
1N4148,q,1,1,
1N4148,r,1,1,
1N4148,s,1,2,
1N4148,v,1,1,
1N4148,w,1,1,
1N4148,y,1,1,
1N4148,z,1,1,
1N914,3q,4,1,
1N914,6r,1,3,D2 R4 R6
2N3819,2z,1,1,Q12 C14 R39
2N3819,30,1,1,Q12 C14 R39
2N3819,31,1,1,
2N3819,34,1,1,
2N3819,35,1,1,Q12 C14 R39
2N3819,37,1,1,
2N3819,5,1,1,
2N3819,v,1,1,
2N3904,2,1,1,
2N3904,2j,1,1,R16 R16 R14
2N3904,2o,1,1,R16 R14 R12
2N3904,i,1,1,
2N3904,s,1,1,
2N3906,3,1,5,
2N3906,t,1,6,
2N414,70,1,1,U2 R2 R23
2N5138,20,2,1,
2N5172,20,2,1,
2SC1583,0,1,2,
2SC1583,10,1,9,
2SC1583,1b,1,3,
2SC1583,1t,1,1,R15 R29 R29
2SC1583,1x,1,1,Q2 Q1 R13
2SC1583,1z,1,1,R15 R29 R12
2SC1583,2,1,10,
2SC1583,2c,1,1,R17 R17 C7
2SC1583,2e,1,1,
2SC1583,2f,1,1,
2SC1583,2h,1,2,R17 C7 R18
2SC1583,3h,1,1,R35
2SC1583,3m,1,1,
2SC1583,3p,1,1,R35
2SC1583,5b,1,1,R5 R3
2SC1583,5e,1,1,R15 Q2 Q1
2SC1583,5f,1,1,R5 R3
2SC1583,5g,1,1,R15 R17 R16
2SC1583,8,1,10,
2SC1583,i,1,2,
2SC1583,q,1,2,
2SC1583,s,1,9,
3000PPM,10,1,1,
3000PPM,8,1,1,
78L12,10,1,1,
78L12,2z,1,1,U2 C3 R3
78L12,30,1,1,U2 C3 R3
78L12,31,1,1,
78L12,32,1,1,
78L12,33,1,1,
78L12,34,1,1,
78L12,35,1,1,U2 C3 R3
78L12,37,1,1,
78L12,3h,1,1,R39 C3 R1
78L12,3p,1,1,U1 R39 C3
78L12,5,1,3,
78L12,8,1,1,
78L12,v,1,2,
78L15,10,1,2,
78L15,3h,1,1,C3 C4 R1
78L15,3i,1,1,R58
78L15,3l,1,2,
78L15,3m,1,1,
78L15,3n,1,2,
78L15,3o,1,1,
78L15,3p,1,1,U1 C3 C4
78L15,6o,1,1,U1 C3 C4
78L15,8,1,2,
79L09,5,1,1,
79L12,10,1,1,
79L12,3h,1,1,R39 C3 R1
79L12,3p,1,1,U1 R39 C3
79L12,8,1,1,
79L15,10,1,2,
79L15,3h,1,1,C4 R2 C3
79L15,3k,1,1,
79L15,3l,1,1,
79L15,3m,1,1,
79L15,3n,1,1,
79L15,3o,1,1,
79L15,3p,1,1,C4 R2 C3
79L15,6o,1,1,U2 C4 R2
79L15,6p,1,1,
79L15,8,1,2,
BC182,6w,1,1,
BC212,6w,1,1,
BC327,1,1,1,
BC327,23,1,2,Q1 R35 R34
BC327,28,1,1,
BC327,29,1,2,Q1 Q2 D6
BC327,2a,1,2,Q1 R35 R34
BC327,2z,1,1,Q13 R4 R43
BC327,30,1,1,Q13 R4 R43
BC327,32,1,1,
BC327,33,1,1,
BC327,34,1,1,
BC327,35,1,1,Q13 R4 R43
BC327,37,1,1,
BC327,5,1,1,
BC327,r,1,1,
BC327,v,1,1,
BC337,1,1,1,
BC337,23,1,2,Q2 R33 R35
BC337,26,1,1,
BC337,28,1,2,
BC337,29,1,2,Q2 Q1 D5
BC337,2a,1,2,Q2 R33 R35
BC337,r,1,1,
BC517,20,2,1,
BC542,5i,1,1,
BC542,5r,1,1,D70
BC547,10,1,3,
BC547,11,1,2,
BC547,16,1,1,
BC547,1c,1,1,
BC547,1d,1,1,
BC547,1f,1,1,
BC547,1g,1,1,
BC547,1h,1,1,
BC547,1j,1,1,
BC547,1k,1,2,
BC547,1l,1,1,
BC547,1m,1,1,
BC547,1q,1,1,
BC547,1r,1,1,
BC547,2,1,3,
BC547,2r,1,1,
BC547,2w,1,1,T2
BC547,2y,1,6,C47 C47
BC547,30,1,1,Q2 Q3 R34
BC547,34,1,3,
BC547,37,1,2,
BC547,3a,1,3,R36 Q3 R33
BC547,3b,1,1,
BC547,3h,1,1,R35
BC547,3p,1,1,R35
BC547,3u,1,2,
BC547,3w,1,1,R16
BC547,3y,1,2,
BC547,4,1,1,
BC547,5,1,1,
BC547,55,1,1,Q2 R4
BC547,5d,1,1,Q1
BC547,5e,1,4,Q4 R14 R25
BC547,5g,1,4,Q4 R14 R25
BC547,5j,1,4,Q1 Q3
BC547,5o,1,4,
BC547,5q,1,4,Q3 R9 U2
BC547,5r,1,1,
BC547,5s,1,10,
BC547,5t,1,4,Q3 R9 U2
BC547,5u,1,1,
BC547,5x,1,3,
BC547,5y,1,10,
BC547,64,1,15,
BC547,65,1,18,
BC547,67,1,1,
BC547,6e,1,3,R36 Q3 R33
BC547,6i,1,1,R1 R33 Q3
BC547,6m,1,1,R1 R33 Q3
BC547,6t,1,1,
BC547,70,1,1,R18 R9
BC547,7b,1,1,C47 T1 D4
BC547,7c,1,1,
BC547,7e,1,1,
BC547,7h,1,1,
BC547,7j,1,1,
BC547,7m,1,2,C547
BC547,8,1,3,
BC547,9,1,3,
BC547,c,1,1,
BC547,k,1,1,
BC547,l,1,1,
BC547,m,1,1,
BC547,o,1,1,
BC547,s,1,2,
BC547,u,1,1,
BC547,v,1,1,
BC547,y,1,1,
BC547,z,1,1,
BC547B,10,1,1,
BC547B,3o,1,1,J112
BC547B,8,1,2,
BC547C,0,1,2,
BC547C,14,1,2,
BC547C,15,1,1,
BC547C,18,1,1,
BC547C,1b,1,1,
BC547C,1e,1,1,
BC547C,1f,1,1,
BC547C,1n,1,2,
BC547C,1o,1,2,
BC547C,1s,1,1,
BC547C,1t,1,1,R15 R29 R29
BC547C,1u,1,1,Q1 R29
BC547C,1v,1,1,Q1 R29
BC547C,1w,1,1,R29
BC547C,1x,1,2,R28 Q1 R29
BC547C,1z,1,1,R15 R29 R12
BC547C,21,1,2,R28 R28 Q1
BC547C,2r,1,6,Q4 Q6 C6
BC547C,2s,1,6,Q2 C5 Q4
BC547C,2t,1,6,Q2 C5 Q4
BC547C,2u,1,1,
BC547C,2v,1,2,R21 R21
BC547C,2w,1,6,Q4 Q6 C6
BC547C,30,1,2,Q1 D10 D10
BC547C,39,1,3,R35 Q3 Q1
BC547C,3t,1,4,Q3 C8 R17
BC547C,3u,1,1,R37 C22
BC547C,3w,1,1,R37 R12 C22
BC547C,3x,1,4,Q2 C8 R16
BC547C,3z,1,3,Q2 C8 R16
BC547C,41,1,1,R7 Q1 C22
BC547C,48,1,1,R33 Q3 R32
BC547C,4e,1,2,Q1 R5 R3
BC547C,4f,1,2,Q1 R5 R3
BC547C,4i,1,2,Q1 R5 R3
BC547C,4p,1,4,Q3 R28 R24
BC547C,4q,1,4,Q3 R25 C5
BC547C,4t,1,4,Q3 R28 R24
BC547C,52,1,2,R11 Q1 R5
BC547C,53,1,2,Q1 R5 R8
BC547C,57,1,2,R11 Q1 R5
BC547C,5b,1,2,R5 R3
BC547C,5f,1,2,R5 R3
BC547C,5h,1,4,Q2
BC547C,5k,1,4,Q2 R14
BC547C,5n,1,4,Q2 R9 C8
BC547C,5p,1,4,Q2 R9 C8
BC547C,5v,1,18,Q1 R5 R3
BC547C,5w,1,11,Q3 R10 R12
BC547C,5y,1,1,
BC547C,5z,1,11,Q3 R10 R11
BC547C,6,1,1,
BC547C,66,1,18,Q1 R5 R3
BC547C,68,1,4,Q1 R5 R4
BC547C,69,1,3,Q1 R7 C1
BC547C,6a,1,3,Q1 R7 C1
BC547C,6b,1,4,Q1 R5 R4
BC547C,6d,1,3,R35 Q3 Q1
BC547C,6f,1,1,Q3 R33 R32
BC547C,6j,1,1,Q3 R33 R32
BC547C,6k,1,1,Q3 R33 R18
BC547C,6n,1,1,Q3 R33 R18
BC547C,6q,1,4,R6 Q1 R5
BC547C,6u,1,4,R6 Q1 R5
BC547C,6x,1,3,Q3 R11 R11
BC547C,6y,1,3,Q3 R11 R11
BC547C,72,1,3,Q3 R11 R11
BC547C,79,1,1,R13 Q1 C5
BC547C,7a,1,1,R13 Q1 C5
BC547C,7d,1,1,R13 Q1 C5
BC547C,7f,1,1,R13 Q1 C5
BC547C,7g,1,1,R13 Q1 C5
BC547C,7i,1,1,R13 Q1 C5
BC547C,7n,1,3,Q3 R11 C4
BC547C,7p,1,3,Q3 R11 C4
BC547C,e,1,1,
BC547C,g,1,1,
BC547C,h,1,1,
BC547C,i,1,1,
BC547C,j,1,1,
BC547C,k,1,1,
BC547C,p,1,1,
BC547C,q,1,2,
BC547C,w,1,1,
BC557,16,1,1,
BC557,2,1,1,
BC557,20,2,1,
BC557,2j,1,1,R16 R16 R14
BC557,2o,1,1,R16 R14 R12
BC557,2r,1,1,T2 R12 R12
BC557,2w,1,1,T2 R12 R13
BC557,2y,1,1,
BC557,3,1,5,
BC557,32,1,1,
BC557,33,1,1,
BC557,34,1,3,
BC557,4,1,1,
BC557,5,1,1,
BC557,c,1,1,
BC557,s,1,1,
BC557,t,1,6,
BC557,u,1,1,
BC557,v,1,1,
BC557B,1,1,1,
BC557B,1l,1,1,
BC557B,1m,1,1,
BC557B,22,1,2,Q101 R120 R122
BC557B,24,1,8,Q101 R109 R109
BC557B,25,1,1,U2 C20 R231
BC557B,27,1,2,Q101 R120 R122
BC557B,48,1,1,Q1 R6 R7
BC557B,4r,1,1,R8 U1
BC557B,6f,1,1,Q1 R12 R13
BC557B,6j,1,1,Q1 R12 R13
BC557B,6k,1,1,Q1 R12 R13
BC557B,6n,1,1,Q1 R12 R13
BC557B,r,1,1,
BC557B,y,1,1,
BC557B,z,1,1,
BC557C,18,1,1,
BC557C,2r,1,1,R13 R12 R12
BC557C,2s,1,1,Q1 R12 R3
BC557C,2t,1,1,Q1 R12 R3
BC557C,2w,1,1,Q1 R13 R12
BC557C,2z,1,1,Q6 R23 Q5
BC557C,30,1,3,R26 R26 Q1
BC557C,35,1,1,Q6 R23 Q4
BC557C,4e,1,2,R7 R5 Q2
BC557C,4f,1,2,R7 R5 Q2
BC557C,4i,1,2,R7 R5 Q2
BC557C,4p,1,2,Q1 R7 Q2
BC557C,4t,1,2,Q1 R7 Q2
BC557C,e,1,1,
BC567,20,2,1,
BCM857BS,3h,1,1,R35
BCM857BS,3p,1,1,R35
BF245,17,1,2,
BF245,d,1,2,
BF245B,11,1,1,
BF245B,1k,1,1,
BF245B,9,1,1,
BF245C,3t,1,1,C5 R14 U2b
BF245C,3x,1,1,C5 Q5 R14
BF245C,41,1,1,C5 Q5 R14
BF245C,4j,1,2,C3 D3 R7
BF245C,4k,1,1,
BF245C,4l,1,1,U2 R7
BF245C,4m,1,2,U2 D3 D0
BF245C,4n,1,2,Q1 C3 D3
BS170,15,1,2,
BS170,17,1,2,
BS170,1e,1,2,
BS170,1m,1,1,
BS170,4j,1,2,Q2 D4 R10
BS170,4n,1,2,Q2 D4 R10
BS170,5h,1,2,Q3 Q1 C3
BS170,5k,1,2,Q3 Q1 C3
BS170,6k,1,1,Q2 C4 R5
BS170,6n,1,1,Q2 C4 R5
BS170,6x,1,1,J1 R12 R17
BS170,72,1,1,J1 R12 R17
BS170,d,1,2,
BS170,j,1,2,
BS170,z,1,1,
BS250,1e,1,2,
BS250,5h,1,2,Q4 R7 R6
BS250,5j,1,2,R17 R17 D2
BS250,5k,1,2,Q4 R6 R7
BS250,j,1,2,
CA3046,2r,1,1,T2 R13 R14
CA3046,2s,1,2,R13 R16 C5
CA3046,2t,1,2,R13 R13 R16
CA3046,2u,1,2,R16
CA3046,2v,1,2,
CA3046,2w,1,1,T2 R13 C8
CA3046,2x,1,1,
CA3046,2y,1,2,C47 C47
CA3046,2z,1,1,
CA3046,30,1,2,
CA3046,31,1,1,
CA3046,32,1,1,
CA3046,33,1,1,
CA3046,34,1,1,
CA3046,35,1,1,
CA3046,36,1,1,
CA3046,37,1,1,
CA3046,4,1,2,
CA3046,5,1,4,
CA3046,u,1,2,
CA3046,v,1,4,
CA3086,2u,1,3,R16
CA3086,2v,1,3,
CA3086,32,1,1,
CA3086,34,1,1,
CA3086,4,1,1,
CA3086,5,1,1,
CA3086,u,1,1,
CA3086,v,1,1,
CA3130,6r,1,1,C1
CA3146,4,1,1,
CA3146,5,1,1,
CA3146,u,1,1,
CA3146,v,1,1,
CD4051,1g,1,4,
CD4051,5r,1,1,
CD4051,5s,1,1,
CD4051,5u,1,1,
CD4051,69,1,1,C051 R2 U4
CD4051,6a,1,1,C051 R2 U4
CD4051,l,1,5,
CD4051,p,1,1,
IN3,24,1,1,R6 R330 R327
IN3,2p,1,1,
IN3,4x,1,1,R38 R25 R27
IN3,5y,1,1,
IN3,69,1,1,R17
IN3,6a,1,1,R17
IN3,77,1,1,
IN3,7e,1,1,
IN3,7j,1,1,
